Nome: BARUERI
Codigo Estacao: A755
Latitude: -23.52388888
Longitude: -46.86944443
Altitude: 776.5
Situacao: Operante
Data Inicial: 2011-03-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-03-28;0;927,2;19,5;29,6;23,8;20,1;78;54;7,5;1,6;
2011-03-29;0;928,1;19,6;27,8;null;20;85,5;57;8,8;2,1;
2011-03-30;null;928,7;18,1;22,7;19,9;19,2;89,3;75;11,6;2,6;
2011-03-31;0;927,6;17,5;25,6;20,6;17,7;83;59;10;2,1;
2011-04-01;0;927;17,2;30,2;22,1;18,4;75,8;40;8,7;2,1;
2011-04-02;0;925;18,3;29;22,4;17,2;78,9;52;9,2;1,7;
2011-04-03;10,6;925,2;18;21,3;19,1;18,4;93,2;83;10,5;1,5;
2011-04-04;9,8;924;18,3;24,4;19,9;18;90,7;73;7,1;1,2;
2011-04-05;1,2;924,8;17,8;27,8;20,1;17,6;87,8;56;12;1,2;
2011-04-06;1,4;927,4;15,5;27,9;19,7;15,4;80,2;37;7,3;1,4;
2011-04-07;0;929,2;15,5;25,5;19,7;15,6;78,4;49;7,2;2;
2011-04-08;0;929,3;16,1;27,2;20,6;17,1;77,1;46;8,2;1,7;
2011-04-09;0;928,9;15;25,7;18,4;14,1;83,1;39;13,5;1,9;
2011-04-10;,8;928,4;15,2;24,8;18;13,9;84,4;56;8,4;1,7;
2011-04-11;9,6;927,4;15,6;28,4;20,4;14,4;75,9;44;8,3;1,6;
2011-04-12;0;925,9;17;29,2;21,5;16;78,5;45;9,5;1,6;
2011-04-13;33,8;926,8;16,7;25,6;19,8;17,3;83,3;58;9;1,9;
2011-04-14;0;928,2;16,9;30,5;21,9;14,8;76,4;42;5,2;1,4;
2011-04-15;0;929;17,9;30,4;22,7;17;77,4;38;6,5;1,4;
2011-04-16;0;928,5;19;30,4;24,2;20,5;74,9;40;6,6;1,9;
2011-04-17;0;929,1;17,9;28,8;22,4;18,6;77,6;43;6,4;2;
2011-04-18;0;930,4;18,7;29,6;23;19,4;78,6;42;6,7;1,7;
2011-04-19;0;931,2;18,1;26,3;21,5;18,6;82,1;57;7,6;2,2;
2011-04-20;0;929,3;17,2;28,3;21,3;18;79,4;44;8,6;1,8;
2011-04-21;11,2;927,4;16,5;28,4;21,4;15,4;76,4;43;7,5;1,2;
2011-04-22;0;927,3;17,2;30;22,9;17,8;73,6;36;5,8;1,3;
2011-04-23;0;927,4;17,4;29,2;22,7;16,9;74,5;43;6,6;1,2;
2011-04-24;0;928,8;17;22,7;19,1;17,2;87,5;73;9,4;2,4;
2011-04-25;,2;929,3;16,8;25,9;19,7;17,3;83,8;56;9,4;1,9;
2011-04-26;,4;932,1;14;20,7;17,9;16,3;78,1;62;8,9;2,5;
2011-04-27;0;933,6;12,4;21,7;17,4;13,7;73,3;54;9,4;2,9;
2011-04-28;2,4;931,4;13,7;18,2;15,4;13,3;89,6;60;7,7;1,2;
2011-04-29;3,2;928,5;15,8;26,7;18,5;14,8;86;46;8,1;1,6;
2011-04-30;0;926,8;14,5;26,7;20,5;16,4;72;33;8,4;1,4;
2011-05-01;0;925,9;14,8;26;18,1;14,5;81,8;58;13,5;1,5;
2011-05-02;6,6;927,2;15,9;21,9;17,4;14,7;91,1;75;7,7;1,3;
2011-05-03;,6;931;12;20,4;15,3;11,6;82;49;7,6;1,9;
2011-05-04;0;930,7;12,5;23,9;16,2;10,7;80,6;47;6,6;1,5;
2011-05-05;0;928,8;13,2;26,3;19;14;72,8;36;7,6;1,4;
2011-05-06;0;929;13,5;26,8;19,1;13,1;72,8;42;6,4;1,4;
2011-05-07;0;931;14,4;23,5;17,9;13,4;80,8;54;6,3;1,7;
2011-05-08;0;929,3;14,1;26,8;18,9;13,2;77,1;39;6,8;1,3;
2011-05-09;0;928,8;15;23,1;17,1;13,2;87,7;66;8,5;1,9;
2011-05-10;0;929,5;15,4;24,6;18,9;16,2;81;54;6,7;2,1;
2011-05-11;0;929,6;16;26,4;20;15,9;79,6;49;6,3;1,5;
2011-05-12;0;929,2;16;24,5;19,1;15,3;83,7;55;8,1;1,6;
2011-05-13;1;929,3;15,2;20,3;17,5;16,5;86,9;72;7,8;1,9;
2011-05-14;0;929,7;12,6;20,6;16,4;14,1;79,7;55;6,7;1,9;
2011-05-15;0;926;13,4;23,5;15,5;10,9;88,3;61;10,3;1,7;
2011-05-16;13,8;927,4;12,2;20,1;14,9;12,4;85,3;58;10;2,5;
2011-05-17;1;930,1;10,7;17,3;13,5;11,1;84;63;10,3;2,4;
2011-05-18;,2;930;10,8;18,6;14,1;11,6;81,6;56;8;2,3;
2011-05-19;0;928,8;11,6;21,7;15,7;13,7;77,9;45;8,5;2,3;
2011-05-20;0;931,1;12,3;21,6;15,6;11,6;82;51;6,6;1,9;
2011-05-21;0;933,7;12,5;22,5;17;13,3;76,7;43;8;2,4;
2011-05-22;0;933,3;11,5;23,6;17,7;13,7;70;34;7,1;1,9;
2011-05-23;0;931,9;10,2;23,5;15,8;8,8;72,6;39;8,7;1,4;
2011-05-24;0;931,3;12,4;23,7;16,8;10,5;76,8;48;5,9;1,2;
2011-05-25;0;930,8;13,1;25,3;18,4;13,1;75,2;38;7;1,2;
2011-05-26;0;930,7;13,4;24,2;17,6;13,3;77,9;44;6,8;1,4;
2011-05-27;0;931,4;13,6;18,8;15,9;14,2;86,8;72;7,2;2,2;
2011-05-28;,2;931,5;11,3;17;13,6;12,3;86,2;67;9;2,6;
2011-05-29;0;931,3;8,1;17,6;12,1;7;78,9;45;7,3;1,7;
2011-05-30;,2;932;10;19,2;13,2;9,7;82,5;50;6,7;2;
2011-05-31;0;930,1;10,9;22,4;15,3;11,6;77,1;36;7,9;2,1;
2011-06-01;,2;928,7;10,1;21;13,6;7,7;82,3;42;5;1,5;
2011-06-02;,2;928,8;11,5;22,4;14,3;9,7;85,3;51;5,5;1,6;
