Nome: BELA VISTA
Codigo Estacao: A757
Latitude: -22.10166666
Longitude: -56.54083333
Altitude: 206.09
Situacao: Fechada
Data Inicial: 2011-08-08
Data Final: 2023-02-09
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-08-08;null;null;null;null;null;null;null;null;null;null;
2011-08-09;null;null;null;null;null;null;null;null;null;null;
2011-08-10;null;null;null;null;null;null;null;32;5;null;
2011-08-11;null;988,3;17;34,2;25,7;18;62,1;33;7,4;1,9;
2011-08-12;0;985,8;15;35,6;26;16,3;56,1;25;10,2;2,2;
2011-08-13;0;985,8;14,4;36,7;25,9;15,3;54,5;22;8,4;1,6;
2011-08-14;0;987,6;15,8;32,8;24,3;17;61;36;5,7;1,7;
2011-08-15;0;985,8;12,7;36,1;24,7;15,3;59,4;15;11,2;2;
2011-08-16;0;984,3;8,6;35,5;26,4;16,8;35,5;16;13,9;2,4;
2011-08-17;6,8;986,5;16,6;28,2;23,6;19,9;67,9;34;12;2,1;
2011-08-18;24,2;981,9;16,1;34,3;26,5;19,6;55,5;33;15,2;3;
2011-08-19;0;982,8;17,5;32,2;22,7;23,5;74,4;46;15;3,8;
2011-08-20;5;998,5;5,6;14,1;11,6;10,1;67,9;48;14,3;4,9;
2011-08-21;0;1001,1;2,5;13,9;11,1;9,5;55,8;45;10,7;3,8;
2011-08-22;1,2;998,8;6,8;10,7;9,6;8,1;83,8;59;7,2;2,5;
2011-08-23;5;998,2;7,8;16,9;11,8;8,1;78,8;44;6,3;2,4;
2011-08-24;0;992,5;11;28,8;17,1;7,6;71,5;35;8,3;1,5;
2011-08-25;0;991,4;14,7;32,9;22,7;13,4;64,9;29;7,9;1,6;
2011-08-26;0;990,4;15,6;34,6;23,1;14,4;69,9;23;6,4;1,2;
2011-08-27;0;985,2;13;35,9;25,8;15,6;52,3;20;13,1;2,2;
2011-08-28;0;984,5;14,9;36;28,5;20,4;45,5;26;13,1;2,7;
2011-08-29;0;983,8;17,2;36,1;29,2;23,3;50,6;29;13,4;2,6;
2011-08-30;0;986,9;17;30,2;25,9;24,9;58,3;42;10,6;3,2;
2011-08-31;0;997,6;6,7;26,4;20,1;15,1;47,2;18;11,8;3,5;
2011-09-01;0;997,3;4,6;29,5;17,6;4,8;47,8;18;7,5;1,6;
2011-09-02;0;992,4;6,1;32,5;21,4;11,9;42,7;15;8;2,1;
2011-09-03;0;988,1;6,2;34,8;24,5;15,2;33,1;17;10,1;2,6;
2011-09-04;0;985,4;11,3;36,4;27,9;19,4;36,7;25;12,4;2,4;
2011-09-05;0;986,9;17,2;33,9;27,3;22,6;55,6;34;8,6;2,1;
2011-09-06;0;989,7;15,2;26;20,3;15,3;73,7;53;6,9;2,3;
2011-09-07;0;986,6;17,1;33,8;22,9;14,5;74,3;36;7,4;1,5;
2011-09-08;0;985,7;17,3;25,9;19,8;19,1;85,8;66;10,5;2,4;
2011-09-09;7;989,5;13,4;24,1;17,3;14,4;80,2;42;6,4;1,5;
2011-09-10;,2;989,9;14,4;26,9;18,2;10,6;80,9;50;7,5;1,3;
2011-09-11;0;995,7;12;29,9;21;12,3;65;22;8,6;2,2;
2011-09-12;0;994,1;7,7;32,9;18,6;6,5;63,3;11;6,3;,9;
2011-09-13;0;990,8;9,2;34,8;20,4;8,2;59,7;13;8,4;,9;
