Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Operante
Data Inicial: 2011-08-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-08-03;null;null;null;null;null;null;null;null;null;null;
2011-08-04;null;null;null;null;null;null;null;null;null;null;
2011-08-05;null;987;5;27,3;18,6;null;42,9;23;8,5;2,3;
2011-08-06;0;null;null;32,3;null;11,9;65,1;28;9,1;null;
2011-08-07;null;null;null;null;null;null;null;null;null;null;
2011-08-08;null;null;null;null;null;null;38,7;27;10,9;null;
2011-08-09;0;984,3;17;33,9;27;19,9;56,7;34;6,7;1,3;
2011-08-10;0;984,3;17,7;35;25,7;17,5;65,3;33;5,7;1;
2011-08-11;0;983,8;16,3;33,9;26,8;21;54,8;30;6,4;1,8;
2011-08-12;0;981,5;14,6;35,3;27,5;17,6;48,7;25;10,6;2,1;
2011-08-13;0;981,5;13,5;36;26,7;16,4;50,1;21;9,9;1,8;
2011-08-14;0;982,7;13,7;35,5;25,8;15,9;52,5;21;7;1,4;
2011-08-15;0;981,3;12,4;35,7;26;17,6;53,5;15;11,4;2,3;
2011-08-16;0;980,4;7,3;35,4;27,2;19,8;30,5;15;12,5;2,9;
2011-08-17;0;982,1;15,8;27,8;23,8;20,4;63,7;31;8,4;1,2;
2011-08-18;9,6;978;15,8;33,9;26,5;19,8;54,5;31;14,4;2,6;
2011-08-19;0;977,8;18;32,4;23,9;23,4;70,8;45;12,9;3,1;
2011-08-20;3;992;5,9;16,6;12,8;10,3;64,1;39;11,8;2,9;
2011-08-21;0;994,7;3,4;18,6;12,5;9,8;54,5;35;7,9;1,9;
2011-08-22;0;992,5;6,6;13,8;11,4;9,6;72,5;57;8,5;1,9;
2011-08-23;0;992,1;8,1;20,3;13,4;10,1;72,2;35;7,1;1,7;
2011-08-24;0;987,5;10,5;29,6;18,8;9,6;62,6;33;8,6;1,7;
2011-08-25;0;986,6;13,2;34,4;23,8;13,3;58,1;21;7,3;1,3;
2011-08-26;0;985,5;14,9;35,2;26;16,6;56;22;7,4;1,3;
2011-08-27;0;981,1;12,9;36,2;26,2;16,4;51,5;18;13,4;2,3;
2011-08-28;0;980,5;15;36,6;28,5;20,1;46,8;27;12,9;2,8;
2011-08-29;0;979,8;16,9;36,3;29,4;22,6;49,4;25;13,7;2,9;
2011-08-30;0;981,6;17,6;35;27,4;20,8;56,6;34;10,8;1,7;
2011-08-31;0;991,1;5,9;30,3;22,6;16,7;41,5;12;11,3;1,9;
2011-09-01;0;991,8;5,1;30;19;7,4;43,6;22;7,8;1,4;
2011-09-02;0;988;5,6;32,4;21,4;9,1;43,1;14;8,5;1,6;
2011-09-03;0;983,8;5,3;35,9;25,4;16,5;29,1;14;9,4;2,4;
