Nome: COSTA RICA
Codigo Estacao: A760
Latitude: -18.49277777
Longitude: -53.17138888
Altitude: 727.34
Situacao: Operante
Data Inicial: 2012-12-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-12-03;null;null;null;null;null;null;null;null;null;null;
2012-12-04;null;null;null;null;null;null;null;null;null;null;
2012-12-05;null;null;null;null;null;null;null;null;null;null;
2012-12-06;null;null;null;null;null;null;null;34;11,8;null;
2012-12-07;0;928,7;18,9;32,1;25,4;20,8;68,6;42;14,7;4,1;
2012-12-08;2,2;930,3;19,3;34,7;26,9;21,1;66,3;33;8,7;2,8;
2012-12-09;8,4;930,9;20,2;33,4;25,1;20,3;76,6;40;18,5;2,6;
2012-12-10;28,2;928,4;20,3;30,8;23,8;20,8;81,8;52;12,2;2,9;
2012-12-11;5,4;928,1;19,3;29,5;24,4;20,8;74,6;50;11,6;3,8;
2012-12-12;0;927,5;20;30,7;24,4;20,7;78,4;47;10,3;2,7;
2012-12-13;,8;927,6;20,5;30,6;22,9;20,6;86,8;54;13,9;3,2;
2012-12-14;8,6;926,9;20,4;29,9;23,9;20,3;82,3;54;10,6;3,4;
2012-12-15;6,2;927,9;20,3;30,4;23,4;21,1;83,8;53;11,7;4,3;
2012-12-16;1,8;928,7;19,7;30;23,3;20,2;82,1;50;13,6;4,7;
2012-12-17;27,6;930,5;19,4;23,9;21,5;19,7;88;70;13,2;4;
2012-12-18;1,4;929,4;19,2;30,1;23,2;19,6;80,3;46;16,6;3,3;
2012-12-19;15;928,7;18,8;31,6;24,3;19,1;73,7;41;11,1;4,1;
2012-12-20;1,6;928,5;18,3;33,1;24,7;19,6;70;38;14,1;3,7;
2012-12-21;0;930,2;19,5;33,4;25,1;20,9;73,3;35;22,6;2,7;
2012-12-22;35,4;930,8;20,2;32;24,8;20,7;77,3;45;12,4;2,9;
2012-12-23;10,6;929,9;20,2;31,9;24,8;20,7;77,1;50;19,5;3,2;
2012-12-24;8,6;929,9;19,4;32,5;23,5;18,4;79,5;43;17,1;3,3;
2012-12-25;20,4;929,4;18,6;32,2;24,4;18,6;72,2;41;12,6;3,8;
2012-12-26;0;931,1;18,2;32,2;25,5;20;67;40;9,5;3,3;
2012-12-27;0;930,1;19,5;32;24,2;21,1;76,6;45;21,3;2,1;
2012-12-28;28,6;930,5;18,7;30,6;22,7;17,7;79,8;44;17,4;3,1;
2012-12-29;0;930,8;17,2;30,7;23,6;18;70,9;37;7;2,4;
2012-12-30;0;931,1;19,3;31,4;23,7;21,2;77,4;44;12,3;2,3;
2012-12-31;5,8;931;19,6;31,8;24,5;20,2;76,7;43;11,4;2,9;
2013-01-01;,2;930,9;19,7;32,2;23,7;20,4;80,8;38;14,6;3,1;
2013-01-02;1,2;931,4;19,3;29,7;23,4;19,5;79,2;52;7,3;2,7;
2013-01-03;0;931,9;19,1;34,1;25,5;20,6;70,7;30;9;2,7;
2013-01-04;34,6;932,8;20;32,1;23,8;20;80,8;43;9,7;3,2;
2013-01-05;,4;932,2;19,5;32,2;24,4;20,6;76,2;42;10,9;3;
2013-01-06;0;930,8;19,9;30,4;24;20,6;78,9;52;9,1;3,2;
2013-01-07;0;929,4;20,1;32,1;25,7;22;72,9;44;10,2;3,6;
2013-01-08;0;930,1;21;30,8;24,6;21,6;81;56;12,6;3;
2013-01-09;12,6;930,5;20,6;31,5;24;20,5;82,8;48;13,3;3,8;
2013-01-10;15,6;928,8;20,2;30;23,2;20,3;84,2;51;10,8;2,9;
2013-01-11;50,2;927,1;19,7;26,3;22,2;19,5;86,1;68;12,6;3,6;
2013-01-12;0;926,2;19,7;29,4;22,7;19,3;84,1;52;12,7;3,2;
2013-01-13;84,8;928,4;18,8;27,4;22,3;19,4;81,4;59;16,6;6;
2013-01-14;,4;929,8;18,8;27,9;21,7;18,6;84,6;61;9,5;4,5;
2013-01-15;44,2;928,2;19,5;28,4;22,5;17,7;84,1;56;14,7;3;
2013-01-16;7,4;927,1;18,7;29,6;23;18,1;78,9;51;11,3;4;
2013-01-17;0;929,2;19,5;31,2;24,6;18,7;75,6;43;10,4;3,9;
2013-01-18;9,2;929,6;19,8;31,8;24,4;20,3;77,3;41;13,2;2,5;
2013-01-19;,8;929,1;19,9;31,2;24,1;21;78,9;50;8,7;2,4;
2013-01-20;0;928,8;19,8;30,4;24,2;20,1;78,5;48;12,7;2,8;
2013-01-21;9,8;930,2;20,2;28,6;23,2;20,3;84,4;57;10,4;2,1;
2013-01-22;107,6;931,6;19,9;29,9;22,8;20,2;85;51;15,7;2,9;
2013-01-23;53,2;930,4;20,1;31,2;24,4;20;79,2;47;8,2;2,6;
2013-01-24;5,6;928,7;20,3;30,1;24,2;20,2;80,4;55;9,3;2,9;
2013-01-25;,4;927,7;21;29,7;24,1;21,5;83,9;56;12;3,5;
2013-01-26;3,8;928,6;20,7;26,7;22,9;21,1;87,8;67;8,1;2,4;
2013-01-27;0;930;20,6;30,3;24,1;20,1;81,9;51;10;2;
2013-01-28;5;930,6;20,6;31,7;25,6;21,5;76,3;45;8,6;2,6;
2013-01-29;0;930,2;19,1;32,4;25,3;19,6;70,7;42;8,6;2,5;
2013-01-30;0;929,3;21;30,9;25;21,7;79,3;50;8,8;3,4;
2013-01-31;37,4;929,1;20,7;26,5;22,6;20,4;89,1;72;14,5;4,1;
2013-02-01;4,6;929,2;19,5;29,3;23,7;20,9;78,8;48;12,4;4,9;
2013-02-02;,6;931,1;19,5;30,3;24,3;20,1;75,8;50;10,7;4,2;
2013-02-03;1,2;930,3;20;31,4;25;21,6;75,1;43;10,4;4,2;
2013-02-04;18,2;928,9;19,9;29,7;23,6;19,9;81,1;53;10,6;3,9;
2013-02-05;3,8;929,3;19,5;31,4;24,2;20,1;77,5;37;10,3;2,5;
2013-02-06;0;929,1;19,3;31,8;23,8;19,6;77,8;46;14,3;3,4;
2013-02-07;0;929,7;19;27,7;21,3;20,1;87;61;12,7;3,3;
