Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Operante
Data Inicial: 2012-11-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-11-29;null;null;null;null;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;null;null;null;null;
2012-12-01;null;null;null;null;null;null;null;null;null;null;
2012-12-02;null;null;null;null;null;null;null;null;null;null;
2012-12-03;null;null;null;null;null;null;62,1;49;10,5;null;
2012-12-04;0;955,1;20,7;31,5;26,2;22,5;73,7;46;12,5;4,5;
2012-12-05;0;954,8;20;31,8;25,9;21,5;72,1;43;11,5;3,8;
2012-12-06;0;953,2;19,8;32,3;26,1;21,4;70,5;44;11,9;3,9;
2012-12-07;0;953,2;20,6;33,1;26,5;21,9;71,6;44;10,4;4,3;
2012-12-08;,4;955,1;21,3;34,8;28,3;23,6;68,9;37;9,4;3,1;
2012-12-09;3;956;21,6;33,2;26,6;22,2;76,3;43;10,5;2,5;
2012-12-10;0;952,9;21,5;34,2;27,4;23,1;72,3;41;14,9;3,3;
2012-12-11;0;952,6;20,5;31,8;25,4;22,6;74,6;55;14,9;4;
2012-12-12;,4;952,2;21,7;31;26;23,4;78,3;55;10,2;3,8;
2012-12-13;1,4;952,3;21,7;30,3;25,4;22,9;80,5;59;12,6;4,4;
2012-12-14;0;951,9;21,3;28,9;24,8;21,9;81,7;64;10,6;4;
2012-12-15;0;952,8;21,1;29,4;23,9;22,1;85,2;60;9,3;3,4;
2012-12-16;15,2;953,6;21,4;29,8;24,4;21,6;84,1;58;14,9;4,5;
2012-12-17;4,2;955,4;21,1;24,5;22,9;21,4;89,3;80;10,2;2,9;
2012-12-18;1,2;953,8;20,7;32;25,6;21,9;75,3;49;11,1;3,5;
2012-12-19;,2;953;21;31,7;26,7;22,8;72,4;44;8,4;3,2;
2012-12-20;0;953;20,9;34,2;27,7;21,9;68,5;42;10,3;3,2;
2012-12-21;0;954,7;20,3;34;27,6;22,4;65,8;44;8,9;2,3;
2012-12-22;64,8;955,8;20,7;32,2;26;20;74,1;46;17,1;3,1;
2012-12-23;21;954,6;21,4;32,3;26,2;21,2;75,7;47;10,2;4;
2012-12-24;4,2;954,4;21,2;32;25,2;21,5;78,9;56;19,8;3,1;
2012-12-25;,2;954,2;20,2;32,4;25,6;21,6;73,5;48;19;3,8;
2012-12-26;0;955,9;20,2;32,7;26,7;22,1;69,4;42;8,9;3;
2012-12-27;0;955,2;20,7;32,8;26,2;21,2;72,9;44;6,2;2,3;
2012-12-28;0;955,6;19,6;31,5;23,4;20,6;80,9;46;22,5;2,6;
2012-12-29;14,2;955,9;19,8;30,6;24,1;20,3;78,6;49;5,7;2,2;
2012-12-30;0;955,9;20,9;32,6;25,5;22,5;77,4;43;14,4;2,5;
2012-12-31;,2;955,6;21,1;32,9;25;22,1;80,1;43;13,6;3;
2013-01-01;,6;955,7;21,5;30,7;25,4;22,4;79,8;57;13,4;3;
2013-01-02;1;956,6;20,8;29,2;24,2;20,9;82,8;58;8,9;3,1;
2013-01-03;0;956,7;20,9;34,4;26,4;21,9;73,9;35;7,3;3;
