Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-14;null;null;null;null;null;null;null;null;null;null;
2017-05-15;null;null;null;null;null;null;null;null;null;null;
2017-05-16;null;null;null;null;null;null;null;67;3,5;null;
2017-05-17;null;939,9;14,9;24,9;19,6;15,9;74,7;57;8,1;2;
2017-05-18;0;938,2;16,2;20,5;18,3;16,8;87,9;79;8;2,8;
2017-05-19;38,4;935;17,2;21,7;18,1;17,2;94,5;88;10,9;2,6;
2017-05-20;65;937,8;16,7;21,5;18,5;16,1;89,3;78;11,5;2,2;
2017-05-21;52,6;939,1;18,3;22;19,5;18;93,3;85;8,5;2,1;
2017-05-22;16,4;940,6;17,7;25,2;20,2;16,6;86,5;67;7,5;1,5;
2017-05-23;0;942,5;15,3;24,7;19,3;15,4;78,3;59;10,4;2,3;
2017-05-24;0;942,3;16,6;27;21,4;16,5;75;56;7,5;1,5;
2017-05-25;0;942,2;18,1;28,9;23,4;19,3;73,1;52;7,6;1,7;
2017-05-26;0;942,1;17,7;29;24,4;21,1;67;52;7,8;1,7;
2017-05-27;0;942,8;18,4;29,3;24;20,4;71,2;50;4,6;1,2;
2017-05-28;0;943,2;17,6;26;21,3;18,4;79,9;59;7,9;1,9;
2017-05-29;0;943,1;16,6;27,1;21,7;18,1;74,2;49;5,2;1,3;
2017-05-30;0;942,2;16,4;25,9;21,7;18,9;72,4;51;7;1,5;
2017-05-31;0;939,6;15,6;26,4;21,4;17,6;71,1;49;6,7;1,9;
2017-06-01;0;940,5;13,1;22,9;16,8;14,2;79,5;58;8,8;2,4;
2017-06-02;0;943,1;9,7;21,8;14,5;9,7;74,7;44;4;,9;
2017-06-03;0;942,6;11,4;24,1;17,6;12,3;68;49;6,5;1,7;
2017-06-04;0;941,1;14,6;29,3;22,8;16,1;60,3;47;9;1,9;
2017-06-05;0;939,6;18,4;25,5;22,7;20,2;77;62;8,6;1,7;
2017-06-06;1,2;939,6;18,8;28,2;23,3;19,1;76,3;59;5,9;1,6;
2017-06-07;0;939,1;17,7;28,6;24,2;19;68,7;45;6,9;1,7;
2017-06-08;0;937,2;15,4;29;24,4;20,8;57,2;45;11,8;2,6;
2017-06-09;0;940,8;12,2;24,7;15,8;14,5;79,5;60;8,7;2,1;
2017-06-10;0;943,2;4;18,7;11,4;4,9;63,2;33;7,3;,9;
2017-06-11;0;941,6;3,8;22,9;14,8;9;48,7;29;5,6;1;
2017-06-12;0;941,7;9,1;19,7;16;12,8;66,1;40;10;1,2;
2017-06-13;3;942,7;14,8;17,2;16,2;12,6;91,6;82;6,2;1,4;
2017-06-14;20,4;944,9;14,8;21,2;17;14;87,4;72;5,8;1,5;
2017-06-15;0;945,5;13,4;23,1;17,8;13,9;76,7;54;10,8;2,6;
2017-06-16;0;943,7;12,9;24,7;19,3;15,2;68;42;8,3;2,1;
2017-06-17;0;941,1;11,8;27,2;21,5;18;54,5;37;8,2;2;
2017-06-18;0;941;null;26,2;22,2;19,4;51,1;45;6,7;1,9;
2017-06-19;0;940,8;null;27,5;22,6;20;null;null;7;1,7;
2017-06-20;0;943,5;null;21,8;17,9;15,4;null;null;8,6;2,2;
2017-06-21;0;947;12,9;24;17,4;13;75,6;54;9,7;2,5;
2017-06-22;1,8;945;13,4;24,3;18,7;14,3;73,7;47;10,2;2,7;
2017-06-23;0;945,3;12,9;24,5;19,7;16;65,8;48;9,8;2,7;
2017-06-24;0;946,5;12,4;24,4;19;15;67,6;35;7,9;2,3;
2017-06-25;0;946,6;12,2;23,5;18,5;14,1;69;41;9,4;2,3;
2017-06-26;0;945,4;11,3;23,7;17,8;12,9;67,4;40;8;2,2;
2017-06-27;0;944,7;10,6;24,1;19,2;15,5;58,4;41;10,1;2,9;
2017-06-28;0;945,9;10,8;25,7;20;16,3;56,1;36;6,8;1,6;
2017-06-29;0;944,7;12,6;25,8;21,1;18,1;59;35;8;1,7;
2017-06-30;0;944,6;11,6;25,8;20,4;16,9;57,3;39;7,6;1,4;
2017-07-01;0;946;13,7;26,1;20;15,9;68,5;41;5;,9;
2017-07-02;0;948,6;11;20,3;16;12,8;73,5;52;10,9;2,6;
2017-07-03;0;949,8;8,4;20;14,3;10,9;68,6;51;12;3,5;
2017-07-04;0;949;7,2;20;14;9,7;65;44;12,4;3,2;
2017-07-05;0;948,9;7,2;21,3;15,7;11,4;57,7;41;10,2;2,6;
2017-07-06;0;947,4;8,8;21,8;17,1;13,5;58,3;43;9;2,2;
2017-07-07;0;947,2;9,8;23,6;18,1;13,2;59,7;40;8,4;2,4;
2017-07-08;0;946,9;10,1;22,8;18,8;15,5;57,4;46;9,7;3;
2017-07-09;0;946,5;10,3;24,4;19;15,4;57,5;43;9,3;2,3;
