Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2017-01-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-01-31;null;null;null;null;null;null;null;null;null;null;
2017-02-01;null;null;null;null;null;null;81,8;62;3,2;null;
2017-02-02;8,4;1009,1;22,2;29,9;25,4;22,4;83,4;56;5,6;1;
2017-02-03;6,6;1008,7;22,3;32;27,6;23,4;74,3;51;10;1,6;
2017-02-04;,6;1009,6;22,9;33,2;26,5;24,1;81,3;50;6,7;1,4;
2017-02-05;19,6;1008,7;23;31,6;27,1;22,9;79,1;56;5,8;1,3;
2017-02-06;0;1007,2;23,9;32;26,9;23,8;84,2;56;10,4;1,3;
2017-02-07;7,6;1009,3;22,7;30,7;25,7;22,6;83,6;66;9,3;1,5;
2017-02-08;2;1012,7;22,2;30,7;27,3;25,1;74;62;6,9;2;
2017-02-09;3,8;1013,9;20,9;31,8;26,9;22;71;53;9,8;2,2;
2017-02-10;0;1013;21,7;31;26,9;23,1;73,8;58;8,7;1,7;
2017-02-11;0;1010,7;23,6;32;27,5;23,8;80,3;60;7,1;1,6;
2017-02-12;0;1008,4;23,9;33,6;28;24;79,5;51;6;1,5;
2017-02-13;0;1009,5;23,3;35;28,5;24,8;75,1;44;6,2;1,7;
2017-02-14;0;1013,7;23,1;33,1;28;23,3;76,5;51;6;1,4;
2017-02-15;0;1017,1;23,5;32,4;27,4;23,2;80;59;5;1,4;
2017-02-16;0;1015,8;23,2;32,3;26,7;22,5;82;61;6,4;1,4;
2017-02-17;0;1012,9;22,9;31,2;26,2;22,5;82,8;65;5,9;1,3;
2017-02-18;0;1012,7;22,7;31,4;26,5;23,1;80,3;57;6,9;1,4;
2017-02-19;0;1014,4;22,8;30;26,1;22,9;83;68;5,5;1,1;
2017-02-20;0;1016,3;23,3;32,5;26,3;23,9;84;61;7;1,2;
2017-02-21;0;1016,2;22,6;32;26,3;21,9;81,3;61;6,5;1,4;
2017-02-22;0;1014;22,9;32,2;27,1;23,2;78,8;58;6;1,4;
2017-02-23;0;1011,6;23,7;33,1;27,7;23,5;79,9;59;6,6;1,3;
2017-02-24;0;1011,4;22,6;32,4;26;24,4;82,1;60;12,9;1,7;
2017-02-25;15,2;1010,3;21,4;31;25,3;21,6;80,3;53;6,1;1,1;
2017-02-26;,2;1011,3;22,9;31,2;25,3;23,4;86,8;62;5,5;1,1;
2017-02-27;5,4;1011;22,3;29,9;25,3;22,3;84,2;64;6,4;1,2;
2017-02-28;0;1008;22,1;30,4;25,6;21,8;82,1;63;6,4;1,5;
2017-03-01;5,4;1006;23,4;36,9;28,4;23,6;77,4;43;9,1;1,5;
2017-03-02;0;1010,1;23,3;32,7;26,4;23,9;83,5;61;11,3;1,4;
2017-03-03;40,8;1011,6;22,5;30,8;26,9;22,5;77,7;53;9;1,5;
2017-03-04;0;1008,4;22,4;33,1;28,8;24,8;69,4;52;8,1;1,4;
2017-03-05;0;1006,1;22,3;37;29,5;26,6;67,2;45;11,4;2,7;
2017-03-06;15,4;1010,3;23,8;30,5;25,9;24,1;88,4;68;7,7;1,1;
2017-03-07;2,4;1012,9;23,9;30,3;26,4;23,8;86,7;70;7,1;1,4;
2017-03-08;11,6;1013,8;23,5;30,2;26,1;23,6;85,8;69;9,3;2;
2017-03-09;0;1011,6;23,4;31,3;27,1;23,4;81,4;64;7,9;1,5;
2017-03-10;0;1010,4;24,1;33,4;27,9;24,2;81,2;52;5;1,3;
2017-03-11;0;1012,8;24,3;31,9;27,4;25;84;65;6,6;1,3;
2017-03-12;0;1010,8;24,1;31,1;27;23,4;84,7;63;5,6;1,2;
2017-03-13;36,8;1012,8;22,5;28,5;24,6;22,6;88,9;71;15,1;1,5;
2017-03-14;22,4;1015,4;22,1;25,1;23,3;22,3;93;84;6,9;1,1;
2017-03-15;9,2;1014,8;23,3;30;25,4;22,7;88,3;69;5,5;1;
2017-03-16;1,6;1012,3;23;30,5;26;22,6;84,5;58;6,1;1,2;
2017-03-17;7,6;1012,4;22,7;27,9;24,6;22,8;89,3;74;12,2;1,5;
2017-03-18;174;1016,8;21;23;21,8;21,8;95,1;92;8,8;1,4;
2017-03-19;113,2;1017,9;19,5;21,4;20,4;19,5;94,6;92;7,9;1,2;
2017-03-20;28,8;1018,4;19,6;27,7;22,7;19,9;84;57;7,4;1,2;
2017-03-21;,2;1019,5;19,6;27,8;22,7;18,7;83,5;61;6,1;1,3;
2017-03-22;0;1019,3;20,2;28,5;23,8;19,3;81,1;58;6;1,3;
2017-03-23;0;1016,8;19,7;28,9;23,7;19,8;79,6;60;8,4;1,7;
2017-03-24;0;1013,6;20,3;28,6;24,2;20,3;80;61;6,2;1,3;
2017-03-25;0;1012,8;20,9;30,6;24,4;21,3;82,1;53;7,2;1,2;
2017-03-26;0;1014;20,5;29,6;23,8;20;82,4;58;7,2;1,2;
2017-03-27;0;1014,7;20,6;28,3;23,8;20,6;83,2;64;5,4;1;
2017-03-28;,2;1015,8;21,2;28,9;24,3;22;83,5;63;7;1,4;
2017-03-29;4,6;1016,7;19,7;28,3;23,6;20,3;80,1;54;9,4;1,6;
2017-03-30;2,6;1015,9;19,5;27,7;22,7;20,1;83,2;58;6,3;1,4;
2017-03-31;2,4;1017,9;18,5;26,9;22,1;19,6;81;56;6,1;1,3;
2017-04-01;9,6;1018,9;18,9;27,7;22,4;19,1;81,8;58;5,9;1,3;
2017-04-02;28;1016,4;19,7;28,4;22,8;19,4;84,3;54;6,7;1,3;
2017-04-03;,2;1015;20;28;23,5;19,4;82,3;60;5,7;1,4;
2017-04-04;0;1014,1;20,5;29;24,1;20,2;81,9;60;5,7;1,3;
2017-04-05;0;1011,6;22;31,2;25,3;20,7;83,2;57;5,3;1,2;
2017-04-06;2,2;1011,4;22,8;28,4;25,6;23,2;84,8;65;6,8;1,4;
2017-04-07;48;1013,3;22,7;27,6;24,2;23;91,3;74;6,9;1,7;
