Nome: SAO SEBASTIAO
Codigo Estacao: A767
Latitude: -23.81083333
Longitude: -45.4025
Altitude: 24
Situacao: Desativada
Data Inicial: 2017-10-24
Data Final: 2022-03-15
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-24;null;null;null;null;null;null;null;null;null;null;
2017-10-25;null;null;null;null;null;null;null;null;null;null;
2017-10-26;null;null;null;null;null;null;null;null;null;null;
2017-10-27;null;null;null;null;null;null;null;null;null;null;
2017-10-28;null;null;null;null;null;null;null;null;null;null;
2017-10-29;null;null;null;null;null;null;null;null;null;null;
2017-10-30;null;null;null;null;null;null;null;null;11,1;null;
2017-10-31;10,8;1009,4;null;24,7;22,5;21,5;null;null;15,4;5,4;
2017-11-01;,8;1017,8;null;24,7;21,3;18,4;null;null;11;2,4;
2017-11-02;,2;1019,7;null;26,8;22,7;19,9;null;null;14,3;4,2;
2017-11-03;0;1014,4;null;27;23,2;20,5;null;null;13,9;6,1;
2017-11-04;0;1008,3;null;31,2;24;21,2;null;null;20,5;3,9;
2017-11-05;6,4;1011,9;null;24,5;22,8;21,7;null;null;20,2;4,8;
2017-11-06;,6;1016,7;null;23,9;21,6;20,3;null;null;9,9;3;
2017-11-07;0;1016,3;null;26,4;22,1;19,5;null;null;10,9;3,9;
2017-11-08;0;1014,3;null;25,9;22,7;20,5;null;null;12,9;5,1;
2017-11-09;5,4;1013;null;23,6;21,7;20,3;null;null;11,7;3,9;
2017-11-10;,8;1008,3;null;27,5;23;20,2;null;null;10;3,8;
2017-11-11;14,2;1006,7;null;23,5;21,9;20,9;null;null;16,2;5,5;
2017-11-12;,4;1006,5;null;29,1;22;16,2;null;null;14,7;3,3;
2017-11-13;0;1012;null;24,4;22;19,1;null;null;12,4;4,1;
2017-11-14;0;1015,2;null;25,1;21,2;16,6;null;null;8,9;2,9;
2017-11-15;0;1013,2;null;27;23,3;21;null;null;13,9;6,5;
2017-11-16;0;1009,3;null;37,4;27,6;21,4;null;null;12,3;3,8;
2017-11-17;0;1009,6;null;29,7;25,2;23,4;null;null;16,4;4,6;
2017-11-18;2,2;1006,5;null;33,7;25,6;22,4;null;null;12,6;3,9;
2017-11-19;17,8;1008,3;null;25,1;23,1;22,4;null;null;9,2;2,8;
2017-11-20;3,6;1012,1;null;24,6;22,9;21,8;null;null;10,6;3,3;
2017-11-21;,8;1010,5;null;26,2;23,2;21,1;null;null;11,7;4,6;
2017-11-22;21;1008,2;null;24;22,2;22,2;null;null;16,9;4,7;
2017-11-23;11,4;1014,7;null;25,1;22;20;null;null;10,6;3,4;
2017-11-24;0;1014,9;null;27;23,3;21,3;null;null;9,8;4,5;
2017-11-25;0;1013,4;null;28,2;24,4;21,5;null;null;10,4;4,2;
2017-11-26;0;1008,1;null;30;25,6;23,1;null;null;14,1;2,9;
2017-11-27;7,8;1011,3;null;27,8;25;23,1;null;null;12,4;3,3;
2017-11-28;16,6;1015,6;null;25,3;23,8;22,5;null;null;11,5;3,1;
2017-11-29;,8;1015,2;null;27,6;23,5;19,6;null;null;9,5;2,7;
2017-11-30;0;1011,5;null;26,7;23,6;21,1;null;63;10,8;3,8;
2017-12-01;0;1010,5;19,9;26,9;23,8;22,1;79;66;9;2,9;
2017-12-02;7,6;1012,2;20,2;26,6;23,3;21,1;83,2;68;10;2;
2017-12-03;,2;1010,7;20,1;28,3;24,6;22,5;76,2;61;10,1;3,4;
2017-12-04;0;1009,8;21,4;28,9;24,9;23,5;81,3;67;9,4;4,1;
2017-12-05;0;1012,7;21,7;27,8;24,8;23,6;83;70;9,4;4,2;
2017-12-06;,2;1013,3;19;27,8;25;23,7;69,3;58;12,3;6,1;
2017-12-07;0;1009,1;19,4;26,9;24,2;22,7;74,6;64;13;5,6;
2017-12-08;1,6;1005,9;21,1;26,7;23,6;22;86;76;10;3,1;
2017-12-09;,2;1007,3;21,8;27;24,7;23,6;84,3;70;13,5;4,7;
2017-12-10;0;1005,2;20;29,1;24,3;20,8;77,6;58;10,3;3,4;
2017-12-11;0;1005,6;19,6;30,5;25,3;21,3;71,8;41;12,1;3,8;
2017-12-12;4,4;1015,2;18,9;26,1;22,6;21,6;79,6;65;8,9;3;
2017-12-13;0;1017,3;17,2;26,7;23,6;21,2;67,3;58;9,7;4,1;
2017-12-14;0;1015,7;19,1;28,3;24,6;23;71,6;57;10,6;4,5;
2017-12-15;0;1012,2;20,4;28,6;24;20,4;80,4;61;13,6;4,3;
2017-12-16;0;1012,2;20,8;29,7;25,3;22,7;76,5;59;11,1;3;
2017-12-17;0;1011,2;22,1;31,6;27;24;75,7;53;11,1;4,8;
2017-12-18;0;1013,8;22,5;28,7;26,8;24,9;77,8;62;13,5;5;
2017-12-19;0;1016,2;22,5;28,7;26,2;24,7;80,5;68;9,6;3,7;
2017-12-20;0;1012,9;22,1;30,4;26,6;24,2;76,7;59;10,4;3,7;
2017-12-21;,4;1011,4;21,9;26,5;24,5;23,5;85,7;72;10,8;2,8;
2017-12-22;7,6;1011,5;21,8;30,6;24,9;23,2;83,6;56;9,2;2,4;
2017-12-23;15,6;1009,8;21,3;34,4;27,1;23,1;73,5;42;13,4;2,8;
2017-12-24;5;1007,7;21,6;35,6;28,4;23,9;68,6;41;10,2;2,4;
2017-12-25;,2;1009,6;23;29,9;26,2;25,3;82,4;55;11,3;4;
2017-12-26;11,6;1012,4;22,9;27,8;25,3;23,1;86,7;75;8,5;2,4;
2017-12-27;0;1012,8;23,2;30,1;26,2;24,5;83,8;68;8,2;2,7;
2017-12-28;1,6;1012,3;22,9;26,7;25,1;24,4;87,7;80;8,7;2,6;
2017-12-29;25,8;1010,5;22,9;26,1;24,9;24;88,7;78;13,1;4,3;
2017-12-30;5;1007,1;22,6;27,6;25,4;23,6;84,4;71;10,5;2,1;
2017-12-31;2,2;1007,3;22,4;31,6;26,2;23,6;80,5;54;16,9;1,9;
2018-01-01;8;1008,4;22,3;32;27;22,9;76,2;56;10,6;3,2;
2018-01-02;,2;1004,5;22,6;34,6;29,1;24,7;69,4;45;10,2;2,7;
2018-01-03;0;1004,9;22,6;29,4;26,4;26,4;79,9;64;12,3;3,8;
2018-01-04;4,8;1012,3;20,6;30,6;25,6;22,1;74,5;42;10,5;2,7;
2018-01-05;0;1012,9;19,6;30,4;26,3;23,8;67;47;10,5;4,2;
2018-01-06;0;1011,1;22,2;29,6;25,8;23,8;80,5;66;8,8;3,5;
2018-01-07;,8;1013,5;20,7;26,2;23,3;23;85,2;70;8,4;2,1;
2018-01-08;26,8;1016,1;21,3;24,3;22,8;21,3;91,5;86;6,7;2,3;
2018-01-09;8,4;1017,7;22;28,9;25;22,7;83,5;70;7;2,5;
2018-01-10;0;1017,7;22,2;29,7;27;24,7;75,5;61;10,9;3,9;
2018-01-11;0;1015,2;22,6;31,6;26,9;25,5;77,9;61;12;4,5;
2018-01-12;14,8;1011,7;20,5;29,3;26;22,9;72,8;53;8,1;2;
