Nome: TUPA
Codigo Estacao: A768
Latitude: -21.927251
Longitude: -50.490251
Altitude: 498
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-11;null;null;null;null;null;null;null;null;null;null;
2017-05-12;null;null;null;null;null;null;null;48;8,9;null;
2017-05-13;null;956,5;16,1;31,4;23,9;18,5;64,1;34;8,8;2,3;
2017-05-14;0;955,1;18,3;27;23,3;20,6;74,1;52;9,1;2,3;
2017-05-15;0;956,1;18,2;27,3;22,2;19,7;79,1;54;12,6;2;
2017-05-16;15;957,2;17,7;24,4;21;18,1;82,2;68;6,1;1,9;
2017-05-17;,2;957,8;16,1;26,6;21,1;16,5;73,9;55;7,8;2,7;
2017-05-18;0;956,1;17,3;22,6;19,8;18,4;85,5;80;8,5;3,4;
2017-05-19;20,4;953;18,4;26;19,7;18,4;92,4;76;12,9;3,3;
2017-05-20;45,4;956;17,5;20,9;18,9;17,2;91,3;82;9,9;3,2;
2017-05-21;82,4;957,2;19,1;23,8;20,1;18,4;94,3;85;9,5;3,2;
2017-05-22;17,8;958,8;18,6;26,1;21,2;17,9;85,7;66;6,6;1,8;
2017-05-23;0;960,5;16,5;26,5;21,2;16,9;75,7;56;8;3,2;
2017-05-24;0;960,3;17,4;29,3;22,7;17,8;72,7;52;6,5;2,2;
2017-05-25;0;960;19,3;30,4;24,4;19,8;74,3;52;7,2;2,2;
2017-05-26;0;960;18,9;30,5;24,7;20,1;71,2;49;6,1;1,4;
2017-05-27;0;960,7;18,7;29,8;25;20,8;69,1;50;5,9;1,6;
2017-05-28;0;961,1;18,5;27,7;23,1;19,2;76,3;56;7,5;2,6;
2017-05-29;0;961,1;16,9;28,8;23,2;19;69,5;44;5,4;2;
2017-05-30;0;960,2;16,5;27,5;22,7;18,4;69,2;48;7,7;2,3;
2017-05-31;0;957,6;16,6;28;22,1;17,1;72,7;46;8;2,4;
2017-06-01;0;959,3;13,2;23,1;null;14,5;77,2;57;9,9;3,5;
2017-06-02;null;961,8;9,7;21,8;15,9;10,2;68,5;44;6,4;2,1;
2017-06-03;0;960,8;12;26,2;18,8;13,3;65,8;47;7,2;2,5;
2017-06-04;0;959;15,5;30,8;23,3;17,5;62,4;45;9,3;2,2;
2017-06-05;0;957,5;18,9;27,5;22,5;20,4;80,8;62;8,9;1,4;
2017-06-06;,2;957,5;19,6;30,4;23,9;19,6;78;54;6,8;1,5;
2017-06-07;0;956,9;18,7;30,7;24,7;20,3;71,3;44;8,5;2,1;
2017-06-08;0;955,1;16,4;31;23,5;17,7;65,9;42;12,1;2,3;
