Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2008-05-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-28;null;null;null;null;null;null;null;null;null;null;
2008-05-29;null;1006,4;15,1;20,2;17,6;null;85,3;65;6,8;,9;
2008-05-30;,8;1018,7;4,5;17,1;11,6;6,8;67,3;26;10,3;1,5;
2008-05-31;0;1024,8;3,7;17,2;8,5;1,3;76,5;35;5,7;,8;
2008-06-01;0;1023,7;9,2;19,5;12,7;6,2;81,6;52;4,4;,7;
2008-06-02;0;1020,3;12,1;21;14,8;9,1;85,5;58;5,2;,7;
2008-06-03;2,8;1015,7;14,2;16,3;14,7;12,4;96,3;92;3,2;,3;
2008-06-04;null;1012,9;14,4;23,1;null;13;85,4;55;4,4;,7;
2008-06-05;0;1011,8;14,7;25,2;17;11,9;87,8;53;7,1;,9;
2008-06-06;,2;1012;14,8;18,2;15,7;14,3;94,3;87;7;,8;
2008-06-07;8,4;1015,2;12,2;21,3;15,2;10,2;83,5;52;4;,6;
2008-06-08;0;1011,5;14,1;24,5;17,5;13;81,7;55;4,6;,7;
2008-06-09;,8;1006,2;15,5;23,9;17,8;14,1;87;65;8,6;1,4;
2008-06-10;2,4;1007,5;5;21;14,9;11,3;55,1;30;20,8;2,5;
2008-06-11;0;1015,1;4,3;19;9,4;2,1;75,6;30;4,5;,7;
2008-06-12;1;1015;9,6;19,1;12,7;8,1;82,7;49;4;,7;
2008-06-13;0;1013,9;10,9;20,8;14,4;11,1;81,7;49;5,1;,7;
2008-06-14;4,2;1004,5;13,7;27,9;17,5;10,8;81;37;7,7;1,1;
2008-06-15;,2;1009,8;5,5;18,9;12,6;7,7;71,5;17;10;1,1;
2008-06-16;0;1020;1,5;15;7,2;,7;72,6;31;5,3;,9;
2008-06-17;0;1017;3,7;17,6;7,9;,5;79;39;5;,9;
2008-06-18;,2;1013,5;5,3;20;9;1,4;81,5;39;4,9;,6;
2008-06-19;0;1011,7;9,3;18,5;11,6;6,8;86,4;65;3,2;,4;
2008-06-20;0;1004,5;13,6;20,6;16,3;10,3;84,4;57;7,6;1,1;
2008-06-21;2,2;1008,7;7,6;20;13,3;5,3;73,4;34;8,3;1,2;
2008-06-22;,2;1015,6;6,1;19,2;9,9;3,3;80,5;39;6,8;,9;
2008-06-23;,2;1020,8;5,4;17,9;9,2;2,1;80,6;38;5,3;,8;
2008-06-24;0;1022,1;11,7;16,4;12,8;7,6;92,7;79;2,4;,3;
2008-06-25;4,2;1021,2;13;19,3;14,6;10,9;90,8;67;6,6;,5;
2008-06-26;,8;1018,2;12,5;18,4;13,6;9,1;93,2;72;3,8;,3;
2008-06-27;16,8;1015,5;15;22,7;16,9;13,6;89;63;5,5;,8;
2008-06-28;15,6;1015,7;15,6;20,3;17;15,3;91,9;62;8,2;,9;
2008-06-29;8,2;1016,5;13,7;21,7;15,5;12,2;89,8;66;5,4;1;
2008-06-30;0;1016;14,1;19,4;15,3;12;92,8;77;4;,5;
2008-07-01;0;1015;14,2;18,7;15,9;14,5;89,9;75;5,2;,8;
2008-07-02;0;1017,4;13;21,9;15,2;9,8;87,4;60;9,5;,9;
2008-07-03;6,2;1017,3;14,2;17,4;15,4;12,9;92,5;84;8,2;,5;
2008-07-04;1;1016,6;14,3;21,5;16,1;13,9;89,5;66;5;,6;
2008-07-05;0;1015,4;14,4;25,8;17,4;13,2;84,5;51;4,3;,8;
2008-07-06;,4;1015,2;12,7;25,5;16,7;10,9;80,5;40;4,2;,7;
2008-07-07;0;1014,2;12,5;28,5;18,6;12,4;70,8;37;7,9;1,3;
2008-07-08;0;1014;14,6;21,7;18,4;13,2;79,5;60;5,5;,9;
2008-07-09;3,2;1018,7;16,1;20;17,2;16,2;93,5;78;4,3;,4;
2008-07-10;,6;1020,8;15,7;25,8;18,2;13,3;87,2;51;5,4;,5;
2008-07-11;0;1022,6;13,8;25,8;17,7;12,4;81,2;45;6,9;1;
2008-07-12;0;1018,9;13,1;24,1;16,9;10,1;80,3;55;9,3;1,1;
2008-07-13;,2;1016,4;13,2;26,2;17,1;10,2;81;43;6,9;,9;
2008-07-14;0;1016,5;14,1;29,4;19,7;14,1;74,3;32;6,3;,9;
2008-07-15;,2;1019,1;13,5;27,9;18,2;11,9;78,2;32;6;1;
2008-07-16;,2;1015,9;9,6;27,1;16,4;9,2;70,5;24;5,4;,9;
2008-07-17;,2;1010,1;9,2;27,5;15,4;7,2;73;25;5,3;,7;
2008-07-18;0;1009,5;11,3;31,7;17,3;8,2;73,2;24;9,1;1,1;
2008-07-19;0;1014;12,4;22;14,9;9,5;85,9;61;6,6;,6;
2008-07-20;0;1015,9;14,8;19,1;16,7;13,9;88,9;73;2,3;,2;
2008-07-21;0;1012;15,9;25,5;18,7;15,8;85,2;53;7,1;,5;
2008-07-22;,4;1006,2;14,2;26;19,2;13,2;75,5;38;16,5;1,6;
2008-07-23;0;1012,2;11;20,8;14,5;8,3;81,6;48;6,5;,8;
2008-07-24;,2;1011,7;13,6;22,7;16,6;13,2;83,5;62;7,8;,7;
