Nome: SAO JOAQUIM
Codigo Estacao: A815
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.06
Situacao: Operante
Data Inicial: 2008-04-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-11;null;null;null;null;null;null;null;null;null;null;
2008-04-12;null;null;null;null;null;null;null;73;9,8;null;
2008-04-13;null;855,4;12,2;16;13,9;12,4;89,6;70;24,8;4,5;
2008-04-14;31,4;857,6;6,9;13,4;8,4;5,9;91;61;10;3,7;
2008-04-15;,2;862,2;2,6;15,6;6,8;-,5;77,3;41;9,8;2,6;
2008-04-16;4,2;864;10,2;13,3;11,1;8,1;93,9;89;11,4;2,7;
2008-04-17;5,2;865,2;11,2;16,4;12,9;10,1;90,2;71;6,2;1,6;
2008-04-18;,2;865,4;8,4;20,1;13;8;77;38;7,3;2,2;
2008-04-19;0;864,1;9,2;19,7;14;10,3;75;32;7,7;1,8;
2008-04-20;12,2;863,1;9,4;13,9;11,2;9,3;89,2;69;14,2;4,9;
2008-04-21;18,4;861,9;11,7;19,9;13,4;9,3;90,2;60;16,4;4,3;
2008-04-22;3,2;860,4;9,9;18;13,8;10,6;78,7;55;8,8;2;
2008-04-23;0;859,1;10,7;17,3;13,1;10,3;86,3;64;9,3;2,5;
2008-04-24;,2;858,4;9,1;18,5;13,1;10;78,8;51;9,8;2;
2008-04-25;0;858,1;7,3;19,5;13,7;9,6;68;30;7,9;2,2;
2008-04-26;0;858;9,6;19,3;13,5;11;78,3;54;15,7;2,5;
2008-04-27;1,2;858;10,4;19,4;14;9,5;80,3;55;11,1;2,6;
2008-04-28;15;856,7;12,5;16,8;13,8;13,3;92,2;77;11,7;2,8;
2008-04-29;62,4;856,8;11,9;16,1;12,9;11,2;94;82;9,1;2,8;
2008-04-30;4,6;862,1;,4;13,4;4,7;-2,2;76,6;43;9,8;2;
2008-05-01;,2;863,9;4,8;13,6;8,4;1,7;78,8;66;12,4;3,4;
2008-05-02;11,4;860;9,1;14;10,5;8,1;91;80;15,6;5,3;
2008-05-03;40,8;856,5;8,1;11,3;8,5;6;96,7;88;17,7;4,4;
2008-05-04;23,2;859,3;9,5;13;10,3;7,5;95,2;86;15,8;4,2;
2008-05-05;3,2;858,8;6,2;12,6;8;6,2;88,7;57;12;3,8;
2008-05-06;,6;859,6;3,2;11,9;7,1;4,6;78;45;10,3;3,5;
2008-05-07;0;861,2;1,2;16,1;9,5;3;61,5;22;6,3;1,4;
2008-05-08;0;861;4,3;13,4;8,8;6,6;74,1;54;6,3;1,8;
2008-05-09;,4;862,5;2,4;13,8;6,5;1,3;80,3;28;5,9;2,2;
2008-05-10;0;864,6;,8;15,8;8,1;3;64,5;25;6,4;2,1;
2008-05-11;,2;866,3;4,9;14;8;2,8;81,8;53;6,9;2,5;
2008-05-12;0;867,1;6,4;15,8;9,7;6,1;81,4;49;7,8;2;
2008-05-13;,2;866,8;7;15,7;10,9;7,1;78,5;51;7,1;1,9;
2008-05-14;,2;865,3;5,4;16,6;11,7;7,7;67,6;42;7,7;1,8;
2008-05-15;0;863,8;4,6;16;11,6;8,8;62,6;51;10,2;2,5;
2008-05-16;0;864,2;4;17,1;10,3;6,3;68,7;31;6,6;2,1;
2008-05-17;0;864,9;2;17,7;11,8;6,4;55,7;19;9,5;2,5;
2008-05-18;,2;863,5;6,9;18,5;13,6;9,7;64,9;25;11,3;2,6;
2008-05-19;0;863,2;10,4;21;15,7;11,7;71,5;49;8,8;1,8;
2008-05-20;0;863,3;12,6;21,4;16,9;14;76,1;56;10,4;2,3;
2008-05-21;null;null;null;null;null;null;64,8;53;9,7;null;
2008-05-22;,2;863,2;10,3;22,5;17,7;13,6;63,4;38;7,8;2;
2008-05-23;0;862,8;10,5;21;16,9;15;66,5;44;7,4;1,6;
2008-05-24;0;859,7;10,2;18;13,8;11;78,8;58;16,6;4;
2008-05-25;0;857,7;4,3;13,1;8,5;4,6;77,1;45;12,5;3,3;
2008-05-26;0;859,7;-1;17,5;10,1;3,8;49,8;19;8,8;2,3;
2008-05-27;0;860,8;4,6;20,2;14,7;8,7;52,3;30;11,4;2,6;
2008-05-28;0;857,9;10,4;20,2;15,6;12,6;72,1;51;17,5;3,8;
2008-05-29;23,6;857,2;11;16;11,5;11,6;96,4;73;20,7;3,4;
2008-05-30;1,2;864,2;-,9;6,8;2;-,6;83;47;12,6;4;
2008-05-31;null;867,9;null;11,4;null;-3,2;50,2;21;6,3;1,7;
2008-06-01;0;868,3;3,6;12,1;6,1;,8;84,6;65;7,6;1,9;
2008-06-02;0;867;6,2;15;9,1;4,8;83,5;53;8;2,1;
2008-06-03;9,4;863,3;6,9;8,6;7,6;6,4;95,5;88;11,3;2;
2008-06-04;15,8;861,4;8;16;9,5;5,5;91,6;62;7,8;1,5;
2008-06-05;,2;862,7;9,6;17;11,6;6,9;88,1;68;13,7;3,8;
2008-06-06;0;862,8;12,7;15,7;13,4;11,1;95,6;84;16,1;5,1;
2008-06-07;13,8;863,9;11,1;16,9;12,1;9,1;93,4;73;8,8;2;
2008-06-08;,8;862,7;11,8;18,6;14,3;11,6;85,9;58;12,9;2,4;
2008-06-09;5,6;858,4;9,1;17,6;11,6;10,6;85,5;58;19,6;4,2;
2008-06-10;11,6;857,2;,7;8,1;2,6;-1,2;88,2;61;20,4;6,4;
2008-06-11;0;861,4;-6,3;13,5;5,7;-1,3;49,1;14;8,9;2;
2008-06-12;3;862,7;2,3;12,2;7,8;4,5;71,4;30;8,2;1,8;
2008-06-13;1,2;861,9;7,6;13,5;9,9;7,9;86,3;56;5,9;1,4;
2008-06-14;10,8;856,6;9,6;15,7;11,5;8,8;89;67;19,3;4,9;
2008-06-15;0;858,7;-1;9,2;4,6;3,2;70,5;31;16,9;5,7;
2008-06-16;null;864;-5;8;null;-4,2;66,6;30;13,6;2,9;
2008-06-17;0;862,8;-9,8;15,7;8,6;-2,2;32,2;7;7;2,4;
2008-06-18;0;861,3;-9,2;16,2;11,4;6,9;22,9;12;7,1;2;
2008-06-19;0;860,3;-2;17,6;13,3;10;35,2;19;9,6;2,4;
2008-06-20;0;857,2;9,5;15,2;12,6;12,5;82,7;43;16,4;5;
2008-06-21;6,8;857,9;2,1;8,2;3,1;-,5;93,3;72;10,6;4,4;
2008-06-22;,2;862,4;1,6;7,9;3,2;,1;90;64;8,5;2,6;
2008-06-23;0;865,3;-2,4;12;3,5;-2,5;73;13;5,4;1,4;
2008-06-24;,4;867;4,6;12,1;6,6;1,3;88;61;8;3,7;
2008-06-25;0;866,8;5,6;13;8,2;4,4;84,9;61;9,2;3,9;
2008-06-26;0;865,5;6,8;8,6;7,9;6,5;93,3;85;14,3;5,3;
2008-06-27;19,8;864,8;9,5;14,2;10,3;8;95;83;13,1;3,6;
2008-06-28;45;865,1;9,2;12,2;10,5;9,6;92,2;76;14;3,5;
2008-06-29;29,4;865,1;8,4;14,4;10,4;8,6;88,3;67;12,6;1,3;
2008-06-30;,2;864,1;7,6;14,8;10,4;7,9;83,5;60;9,9;2,9;
2008-07-01;,4;864,1;4,6;15,4;10,3;6,4;71,5;28;12;3,4;
2008-07-02;0;865,9;5,1;17,7;11,7;7,9;64,7;40;10,6;2,4;
2008-07-03;7,2;865,7;8;12,9;9,3;7,5;91,6;68;10,4;2;
2008-07-04;4,8;864,6;7,1;16,3;10,3;5,3;82,5;49;6,4;1,6;
2008-07-05;0;865;7,2;17,8;12,1;8,8;73,3;49;5,8;1,8;
2008-07-06;0;865,5;5,8;17;11,5;7,9;69,8;35;9,7;2,2;
2008-07-07;0;865,5;5,5;19,2;13,8;10,2;58;38;12,9;2,6;
2008-07-08;0;864,9;9,1;13,1;11,7;10,7;84,6;71;8,8;2;
2008-07-09;8;866,7;10,1;16;12,1;9,7;87,5;73;8,4;2;
2008-07-10;6,2;869,5;8,2;18,3;13;9,1;73,8;47;9,1;2,6;
2008-07-11;0;871,3;7,3;15,9;11,8;8,9;74,7;50;8,6;2,9;
2008-07-12;,2;867,6;6,9;15,9;10,5;7,5;79,3;51;17,4;6,3;
2008-07-13;0;866,5;7,7;18;12,1;8,3;76,2;47;12,9;3,9;
2008-07-14;,2;867,8;6,9;19,5;14,4;11,4;62,2;37;7,2;1,7;
2008-07-15;0;869,4;5,7;19,1;14;10,7;58,3;39;9;2,2;
2008-07-16;0;866,8;-6;21,3;14,8;10,2;24,6;12;10,4;2,7;
2008-07-17;0;862,6;-1,4;21,5;15;11,2;35,4;14;9,5;2,8;
