Nome: INDAIAL
Codigo Estacao: A817
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.24
Situacao: Operante
Data Inicial: 2006-07-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-01;null;null;null;null;null;null;null;null;null;null;
2006-07-02;null;null;null;null;null;null;null;48;7,6;null;
2006-07-03;0;1015;13,9;24,6;17;13,1;83,7;51;6,1;1,2;
2006-07-04;0;1013;13,1;24,3;16;11,8;84,5;53;7,7;2;
2006-07-05;0;1012,6;13,8;25,1;16,9;12;84;53;6,7;1,2;
2006-07-06;0;1014,2;14,4;22,4;17,3;13,8;84,1;58;5,3;1,1;
2006-07-07;0;1011,1;13,8;23,2;16,5;12,9;85,3;54;6,8;1,2;
2006-07-08;0;1005,9;14,7;27,4;18,2;12,9;82,6;48;7,3;1,1;
2006-07-09;0;1003,1;15,7;22,4;17,7;14,2;89;66;9,6;,9;
2006-07-10;1,2;1009,6;14,9;19,6;17,4;15,6;85,9;68;5,4;,8;
2006-07-11;0;1013,2;15,5;20,9;17,8;15,6;86,8;70;3,3;,4;
2006-07-12;0;1011,9;17,1;26,2;20,2;16,6;83,8;55;3;,4;
2006-07-13;0;1011,9;17,6;28,5;21,3;15,8;81,4;49;6,9;,8;
2006-07-14;0;1012,5;16,6;27,7;19,9;15,1;83;49;7,2;1,6;
2006-07-15;0;1016,7;16,8;25,2;20,1;16,3;82,7;57;5,9;,7;
2006-07-16;7,4;1016,4;18,2;24,7;19,6;18,2;92;68;4,8;,4;
2006-07-17;7,6;1015,6;15,5;24,3;18,1;15,2;86,4;53;5,7;1;
2006-07-18;0;1011,6;14,9;25,6;17,6;13,6;86,4;53;6,4;,8;
2006-07-19;0;1008,1;14;26,9;18,8;14;77,8;32;10,7;1,5;
2006-07-20;0;1008,6;13,5;27,8;18;11,6;78,1;39;5,6;,9;
2006-07-21;0;1007,9;14,3;27,8;18,6;12,6;79,8;39;6,7;1,2;
2006-07-22;0;1006,4;13,9;29,2;18,4;12;79,3;37;6,9;1,3;
2006-07-23;,2;1005,1;14,8;30,6;19,3;13;79,3;32;6,4;1;
2006-07-24;0;1007;16;24,4;18,4;13,9;87;63;5,9;,8;
2006-07-25;1;1006,5;18,1;20,4;18,9;16,3;95,2;83;6,4;,5;
2006-07-26;,4;1004,6;17,7;27,1;20;17,5;88,3;53;8,2;1;
