Nome: IVAI
Codigo Estacao: A818
Latitude: -25.01083333
Longitude: -50.85388888
Altitude: 803.58
Situacao: Operante
Data Inicial: 2006-07-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-10;null;null;null;null;null;null;null;null;null;null;
2006-07-11;null;null;null;null;null;null;null;72;8,4;null;
2006-07-12;null;928,6;13,7;26;18,1;13,8;79,1;38;11,5;2,2;
2006-07-13;0;929,7;11,6;26,4;17,2;10,3;73,7;36;6,3;1,7;
2006-07-14;0;930,4;11,2;24,4;16,2;9,9;75,2;42;7;2;
2006-07-15;0;932,6;12,2;22;15,1;11;84,2;58;5,6;1,7;
2006-07-16;0;932,6;9,8;21,7;14;8,1;78,9;42;7,1;1,6;
2006-07-17;0;932,1;9,3;20,7;12,4;7,1;83,4;44;6,3;1,6;
2006-07-18;0;929;9;22,8;13,7;7,6;76,7;39;5,7;1,5;
2006-07-19;0;927,4;8,4;23,5;14,2;6,7;71,4;37;6,4;1,6;
2006-07-20;0;927,1;7,8;24,8;14,5;6,6;68,9;29;6,1;1,8;
2006-07-21;0;926,6;8,2;25,4;15,8;7,4;65,3;31;11,2;2,6;
2006-07-22;0;924,7;8,6;27,4;19,2;10,4;52,7;27;10,3;2,2;
2006-07-23;0;924,5;9,1;27,1;19,8;11,9;52,5;31;6,7;2,3;
2006-07-24;0;925;10,5;28,6;20,1;14,1;55,8;29;10,1;2;
2006-07-25;0;923,8;10,3;28,7;20,3;13,3;57,2;26;11,3;2,3;
2006-07-26;0;922,4;8;28,7;20,3;14,6;47,6;23;10;2,3;
2006-07-27;0;922,3;8;27,9;20,3;14,5;46,9;25;14,1;2;
2006-07-28;0;922,4;13,6;27,2;19,9;15,8;69;40;16,7;2,5;
2006-07-29;14,2;924,2;7;19,1;14,7;8,7;63,8;26;9,9;1,8;
2006-07-30;0;928,8;,9;15,5;8,5;2,1;63,5;23;7,6;2;
2006-07-31;0;930,6;6,1;15,3;9,5;4,8;79,7;60;6,9;1,7;
2006-08-01;,6;931,6;9,7;16,9;11,9;8;87,1;64;6,9;,9;
2006-08-02;,4;931;11,4;18,8;14,2;10,7;84,4;62;6,5;1,8;
2006-08-03;0;930,1;11;18,1;13,7;9,4;84,7;66;7,6;1,6;
2006-08-04;0;927,8;12,9;25,1;17,2;10,5;77,8;49;6,9;1,4;
2006-08-05;0;927,2;13,1;28,4;19,4;12,7;70,8;30;8,1;1,8;
2006-08-06;0;926,6;11,5;29,8;21,2;14,8;57,3;23;7,6;1,8;
2006-08-07;0;926,3;9,3;29,7;20,5;12,2;53,8;23;9,5;2,3;
2006-08-08;0;925,4;8,5;29,3;21,2;12,2;47,2;22;11,1;2,5;
2006-08-09;0;923,1;8,5;28,9;21,3;13,8;45,8;24;14,5;2,9;
2006-08-10;0;924,4;9,9;28,2;19,7;11,9;56;33;9,3;1,6;
2006-08-11;0;925,3;10,9;30,1;20,9;12,4;57,7;25;12,5;2,6;
2006-08-12;0;924,8;10,8;30,9;22,3;12,1;51,7;26;10,7;2,1;
2006-08-13;0;924,7;10,7;31,4;22,5;14,7;51;23;7,7;1,8;
2006-08-14;0;922,8;9,9;29,9;21,9;14,2;49,2;26;12;2,4;
2006-08-15;0;922,8;11,6;24;null;16,1;62,3;43;4,8;1,8;
2006-08-16;null;923,5;15;18,5;16,3;15,4;92;73;7,2;1,3;
2006-08-17;23,4;926,5;15;20,6;16,4;13,5;92,3;71;5,8;1,1;
2006-08-18;27,6;926,6;14,8;17;15,5;14,2;95,8;83;7,1;1,8;
2006-08-19;12,8;924,6;10,5;21,4;14,4;8,9;79,7;47;6,6;1,5;
2006-08-20;,2;925,2;3,7;21,5;12,5;4,1;61,9;24;9,1;2;
2006-08-21;0;928,7;-,8;18,5;9,6;1,2;55,5;16;7;1,7;
2006-08-22;0;929;1;20;8,5;-,2;65,3;25;4,7;1,4;
2006-08-23;0;927,8;,5;23,9;12,3;3;52,4;11;5,1;1,9;
2006-08-24;0;928,2;2,9;26,3;15,1;4,8;48,7;17;6,9;1,9;
2006-08-25;0;926,1;5,5;29,6;18,1;7,6;48,9;16;7,8;1,9;
2006-08-26;0;921,2;9,2;26,6;19,2;14,9;56;29;14,7;2,8;
2006-08-27;15,8;920,7;12;19,5;15,2;11,2;82,8;55;8,6;2;
2006-08-28;,2;924,7;7,3;22,3;14,6;7,5;67,5;30;8,8;1,7;
2006-08-29;0;929,5;1;17,7;10,8;3,8;54,8;24;12,1;2,9;
2006-08-30;0;929,4;5,1;21;12,2;5,2;64,8;36;13,9;3;
2006-08-31;,2;925,8;10,1;15;12,1;8,9;88;62;10,3;1,6;
2006-09-01;30,4;921,5;13,8;18,7;14,5;12,2;95,7;82;12,4;2,1;
2006-09-02;50;918,2;12,4;21,7;16,7;13,1;78,5;46;14,5;3,6;
2006-09-03;0;922,1;2,6;20,1;10,6;2,3;63,5;20;7,3;1,5;
2006-09-04;0;928;-1,9;15,1;8,4;1,7;53,3;22;12,3;2,5;
2006-09-05;0;932,5;-3,4;15,7;6,3;-2;54,8;22;8,6;1,8;
2006-09-06;0;931,6;-,4;18,9;8,7;,4;57,1;26;9,9;2,7;
2006-09-07;0;929,6;6,1;22,6;12,6;3,9;68,3;33;12;3;
2006-09-08;0;927,4;10,8;27,4;17,2;8,3;70,1;36;9,7;2;
2006-09-09;,2;925,4;13,9;21,4;17,1;14,3;82,2;55;13,1;2,3;
2006-09-10;10,6;927,1;14;24,8;17,2;11,2;83,5;56;7,6;1,8;
2006-09-11;0;927;14;29,8;20,9;13,6;69,1;34;8,7;2,2;
2006-09-12;0;926;12,8;32,1;22,9;15,1;58,5;24;8,1;2,1;
2006-09-13;0;923,9;10,9;32,7;23,5;15,4;50,8;18;10,4;2,3;
2006-09-14;0;922,3;9,4;32,5;23,8;15,9;43,5;19;12;2,5;
2006-09-15;0;921,6;12,3;30,6;22,7;16,9;55,2;29;11,8;2,7;
2006-09-16;49,6;925,2;14,3;19,7;15,1;16,4;95;86;15,1;2,9;
2006-09-17;45;926,8;11,7;15,8;12,8;10,7;93,3;84;8,2;2;
2006-09-18;2;926,6;13;23;16,2;12,1;83,5;46;5,7;1,8;
2006-09-19;,2;925,1;11,1;22,2;15,7;9,5;76,7;43;8,4;1,5;
2006-09-20;13,6;920,6;12,4;17,2;13,8;12,7;91,5;73;13,1;2,4;
2006-09-21;26,8;921,5;11,4;23,2;15;9;82,3;48;6;1,3;
2006-09-22;0;924,2;11,6;24,9;17;10,2;73,4;37;7,9;2,3;
2006-09-23;0;924,1;13,4;18,9;15;12,7;90,5;71;10,5;1,6;
2006-09-24;21,6;925,5;11,6;18,1;13,5;11;89;68;8,4;2,1;
2006-09-25;0;928,4;10,9;23,5;15,3;11;78,3;37;5,8;1,7;
2006-09-26;0;929,8;9,6;23;15,8;11,8;69,2;40;12,4;3,2;
2006-09-27;0;929,4;10,9;27,5;17,1;9,3;70;41;13,4;2,8;
2006-09-28;0;926,6;15;25,6;18,9;14,3;79,5;52;8,1;1,4;
2006-09-29;8,2;925,6;15,1;20,1;16,4;15,2;92,4;81;10,5;1,9;
2006-09-30;18,8;928,1;12;17;14,3;12,2;86;76;10,3;2,8;
2006-10-01;6;926,3;13,2;16,1;14,3;12,6;93,2;85;11,1;2,1;
2006-10-02;28,8;922,7;14,9;23,2;17,3;14;87,3;60;13,1;,9;
2006-10-03;0;922,8;15;25,8;19,2;15,4;78,6;49;6;1,7;
2006-10-04;0;921,7;15,2;28;20,4;13,3;74,6;46;6;1,5;
2006-10-05;,2;921,3;17,5;26;20,8;19,3;82,3;62;18,4;2,2;
2006-10-06;20,2;922,9;16,4;23,1;18,8;15,5;86,8;66;8,8;1,4;
2006-10-07;0;924,1;16,8;27,4;21,1;17,5;79,3;45;6,4;1,5;
2006-10-08;0;924,8;16,3;27,9;20,2;16,1;80,3;45;10,6;2;
2006-10-09;0;926,8;15,5;28,1;20,4;15,9;75,7;48;9,5;2,1;
2006-10-10;0;926,7;14,1;30,8;21,2;13,6;68,7;26;12,8;1,8;
2006-10-11;0;923,2;16,5;28,7;22,5;18;70,2;44;8,6;2;
2006-10-12;7,8;920,4;17,6;26,6;20,7;17,4;84;57;12,4;1,7;
2006-10-13;2,6;921,2;17;28,1;21,2;17,8;78,9;40;7,3;1,8;
2006-10-14;0;921,9;16,1;28,8;21,7;14,5;73;42;9,7;2,1;
2006-10-15;0;921,7;17,7;28,7;21,9;17,4;78,1;50;7,2;1,7;
2006-10-16;28,2;922,6;18,2;22,5;19,2;17,8;94,3;76;12;2,2;
2006-10-17;22,4;924,1;14,8;22,9;17,9;15;82,8;66;11,6;3;
2006-10-18;0;923;14,5;23,4;18;14,4;80,3;64;10,5;2,8;
2006-10-19;2,8;922,2;15;20,8;17,2;14,7;87,7;74;7,8;1,7;
2006-10-20;0;925;13,3;24,8;18,6;14,8;72,5;49;8,4;2,3;
2006-10-21;0;926,9;11;25,1;18,2;14,5;65,6;29;10,7;1,8;
2006-10-22;0;925,9;11,7;26,8;18,2;11;69,2;34;7,3;1,7;
2006-10-23;0;927,4;11,2;25,7;18,6;12,6;64,9;34;11,2;2,1;
2006-10-24;0;926,8;10,5;28,1;19,2;12,1;61,5;25;11;2,4;
2006-10-25;0;925,8;14,7;29,1;20,9;13,9;70,7;35;10,4;1,8;
2006-10-26;0;923,1;15,9;30,4;23,2;15,9;66,2;39;12,1;2,4;
2006-10-27;0;919,9;18,1;31,3;23,1;17,4;75;43;14;1,4;
2006-10-28;3,6;921,1;18;31,7;23,9;17,9;73,6;34;6,8;1,3;
2006-10-29;0;921,2;14,4;31,1;22,5;14;63,8;33;7,1;1,8;
2006-10-30;,2;918,9;17,8;30,1;22,8;18,4;75;48;7,9;1,6;
2006-10-31;10;918,8;19,1;30,3;22,5;18,5;82,8;47;14,8;1,5;
2006-11-01;17,2;919,6;18,7;24,4;20,3;18;91,3;69;6,5;1,3;
2006-11-02;17,6;919,6;19,2;28,2;22,2;19,2;84,8;57;11,7;1,6;
2006-11-03;,6;921,3;18,5;29,2;23;18,1;77,5;49;6,8;1,4;
2006-11-04;6,2;921,9;18,5;24,5;20,8;18,9;87,3;73;8,3;1,9;
2006-11-05;0;921,6;16,9;25,9;21,5;16,3;75,5;59;8,9;2,4;
2006-11-06;0;919,1;16,6;25,4;18,7;16,5;88,4;66;15;1,7;
2006-11-07;9,8;921,4;15,4;26,5;20,1;15,8;77;43;7,7;1,7;
2006-11-08;0;922,5;12,2;26,6;19,2;14;67,5;27;9,9;2,2;
2006-11-09;0;922,6;12,9;20,8;16,4;11,9;81;56;7,8;1,7;
2006-11-10;4,4;922,8;12;24,4;17,8;13,7;73,1;27;7,2;2;
2006-11-11;0;925;5,1;24,9;16,7;6,9;49,9;23;9,1;2,3;
2006-11-12;0;928,3;10,5;23,4;16,4;9,6;70,5;42;10,4;2,7;
2006-11-13;0;930;11,3;23,8;17,3;12,2;70,1;43;12,7;3,6;
2006-11-14;0;926,8;12,3;26,8;19,1;12,7;67,3;39;10,5;2,7;
2006-11-15;0;923,7;14;28,6;20,4;13;70;35;9,7;1,5;
2006-11-16;0;922,8;14,2;32,3;23;14,5;61,4;31;10,9;2,2;
2006-11-17;0;922,6;17,5;31,3;24,7;18,3;65,8;46;16,6;1,8;
2006-11-18;0;921,8;18,9;30,4;23,9;19,7;75;46;9,2;1,9;
2006-11-19;8,6;922,7;18,2;24,7;19,6;18,2;92,1;71;14,3;1,3;
2006-11-20;22,8;922,4;17,1;20,5;18,5;17,4;92,1;79;8,4;1,5;
2006-11-21;3,2;924,2;14,8;27,3;20,1;14,8;73,7;45;9,6;2,1;
2006-11-22;0;922,4;17,9;28,6;21,6;16,6;80,5;51;7,1;1,6;
2006-11-23;5;922,2;16,9;30,6;23,3;17,8;71;35;6,8;1,9;
2006-11-24;0;922,6;15,7;30,8;23,5;16,9;64,3;33;7,3;1,9;
2006-11-25;4,2;921,8;18,6;27,7;21,7;18,8;83,3;60;14,9;1,8;
2006-11-26;9;920,9;19,1;25,9;21,1;18,1;89;68;7,1;1;
2006-11-27;4;920,2;19,1;25,7;21,8;19;84,8;65;7,6;1,9;
2006-11-28;13;918,6;19,2;26,3;20,9;18,4;90,6;66;9,1;1,6;
2006-11-29;39;918,3;19,7;29,3;23,3;19,8;81,3;54;7,1;1,2;
2006-11-30;0;921,9;17,5;29,1;22,6;19;74,8;42;11,4;2,8;
2006-12-01;0;924,6;14,6;27,5;20,6;16,3;70;43;13,2;2,9;
2006-12-02;0;923,6;13,9;29,2;20,8;12,9;67,1;41;12,8;2,4;
2006-12-03;0;922,2;17,4;30,2;23,2;17,2;72,1;44;8,6;1,9;
2006-12-04;,8;921,4;19,5;29,9;23,9;20,5;77,6;51;7,2;1,6;
2006-12-05;0;922,2;18,7;30,2;24,1;20,2;73,8;42;6,3;1,3;
2006-12-06;4,4;921,3;18,7;25,6;21;20,6;87,3;67;11,2;2,1;
2006-12-07;10,2;919,5;16,5;28,1;20,7;16,1;79,5;44;5,7;1,2;
2006-12-08;0;919,9;16,9;24,6;20;17,4;83;67;7,7;2,4;
2006-12-09;,2;920,3;18,1;27,4;21,7;18,3;81,2;58;5,1;1,6;
2006-12-10;0;921,5;17,8;27,7;21,4;17,5;80,9;55;6,1;1,7;
2006-12-11;0;923,2;16,3;28;22,5;17,2;70,3;44;9;2,2;
2006-12-12;0;924,4;15;27;20,5;14,6;72,3;47;11,7;2,5;
2006-12-13;0;923,1;16,6;30,4;22;15,8;72,8;47;9,7;2,2;
2006-12-14;0;921,8;18,5;31,1;22,8;17;77,8;48;9,7;1,8;
2006-12-15;4,2;922,3;19,9;30,5;24,4;19,8;78,3;51;6,7;1,5;
2006-12-16;0;921,8;19,3;32,4;25,4;19,3;71,7;42;7,6;1,8;
2006-12-17;0;922;20,1;32,4;25,4;20,2;74,3;45;6,6;1,6;
2006-12-18;0;921,1;19,7;32;26,3;21,4;69,6;43;6,7;1,7;
2006-12-19;0;920,7;19,3;31,8;23,8;20,1;77,6;41;11,3;1,6;
2006-12-20;16;920,6;19,4;26,8;21,5;19,1;88,3;63;10,2;2;
2006-12-21;23,6;921,8;19,3;25,1;21,7;19,6;87;67;10,3;2;
2006-12-22;,4;924,1;19,7;24,7;21,2;19,8;91,6;73;3,7;,9;
2006-12-23;9,2;null;null;23,5;null;19,8;93,6;84;4,5;null;
2006-12-24;null;921,3;19,2;27,6;null;null;84,1;62;13,5;2,2;
2006-12-25;null;null;null;null;null;null;null;81;4;null;
2006-12-26;null;null;null;null;null;null;80,8;72;8,5;null;
2006-12-27;0;923,3;18,5;30,1;22,6;17;79,8;48;7;1,4;
2006-12-28;0;925,6;18,8;31;24,5;20,3;72,3;35;7,8;1,7;
2006-12-29;0;926,8;17,2;28,9;23,1;18;71,5;45;8,2;2;
2006-12-30;0;925,7;17,3;28,9;22,2;16,3;74,9;52;7,9;2,2;
2006-12-31;0;924,6;18,1;30,3;22,7;18,6;76,6;47;11,6;2,1;
2007-01-01;21,6;922,5;18,5;26;21,9;18,4;81,7;66;8,9;2,2;
2007-01-02;2,4;922,1;19,7;26,5;21,6;19,5;88,7;66;7,2;1,3;
2007-01-03;3,4;921,8;20;28,5;23;20;84,2;58;9,6;1,6;
2007-01-04;0;919,5;20,2;27,3;21,9;20,1;90,2;67;19,9;1,2;
2007-01-05;31,4;916,4;20,5;26,3;21,7;20,1;92,9;73;7,6;1,1;
2007-01-06;23,6;917,5;21;28,7;23,3;21;87,5;70;11,5;1,7;
2007-01-07;1,8;922,3;18,2;25,4;21,3;18;82,5;72;12,1;3,2;
2007-01-08;1;923,6;18,4;24,6;20,7;18,4;87,3;71;9,2;1,8;
2007-01-09;7;922,8;19,5;28,2;22;18,6;86,6;61;6,2;1,4;
2007-01-10;0;922,1;20,1;30,8;24,3;20,3;78,9;50;5,4;1,7;
2007-01-11;0;921,5;19,9;29,2;22,6;19,5;85,7;60;14,6;1,7;
2007-01-12;2,4;918,1;20,5;27,3;22,4;19,5;89,3;71;9;2,1;
2007-01-13;1,8;916;18,8;29,1;23,3;18,1;78;47;5,8;1,2;
2007-01-14;0;918,2;15,9;30,7;23;17,5;69,9;29;6,2;1,7;
2007-01-15;0;921;16,6;29,9;22,5;15,3;71,8;42;8,3;1,7;
2007-01-16;12,8;923,9;18,2;27,1;21,9;18,3;80,7;58;10,7;2,8;
2007-01-17;0;922,3;16,8;26,1;19,9;14,9;83,8;52;9,9;1,3;
2007-01-18;6,6;918,9;19,7;29,3;22,6;18,6;85,5;54;8,2;1,9;
2007-01-19;,8;920,7;20,3;30,9;23,5;18,8;83,9;49;7,9;1,5;
2007-01-20;62,2;921,8;18,5;27,7;21,8;18;83,3;54;11,4;2,5;
2007-01-21;,2;923,9;16,9;29;22,3;15,7;75,4;38;6,2;1,2;
2007-01-22;0;924,5;17,5;26;21,3;18,6;79,3;62;10,3;2;
2007-01-23;,4;923;17,3;28,5;22,1;17,8;75,3;50;5,3;1,6;
2007-01-24;0;922,9;17;30;22,5;16,4;74;37;7,7;1,6;
2007-01-25;0;921,9;18;30;23,4;18,2;73,8;46;6,8;1,9;
2007-01-26;0;921;20,1;28,4;23,4;19,7;82,2;60;7,9;1,6;
2007-01-27;12,4;920,4;20,8;29,7;24;20;83,8;60;9,9;1,5;
2007-01-28;0;919,9;20,5;27,9;22,7;20,1;87,5;67;8,2;1,5;
2007-01-29;24,2;919,1;20,3;27;21,8;19,4;91,6;69;11;1,1;
2007-01-30;7,2;921,6;19,8;29;23;19,9;83,4;55;5;1,2;
2007-01-31;0;922,4;19,3;28,8;22,4;17,9;83,4;59;6,9;1,4;
2007-02-01;0;922,8;19,8;30,9;23,8;20,1;80,4;48;8,6;1,1;
2007-02-02;2,8;923,1;19,5;29;22,9;19,2;82,4;55;7,1;1,6;
2007-02-03;0;922,1;17,9;30,7;23,5;18;73,5;35;7,2;1,5;
2007-02-04;0;921,6;17,2;29,7;22,8;16,4;72,9;44;7,3;1,5;
2007-02-05;0;920,6;18;29,8;23,2;17,5;74,6;49;6,5;1,5;
2007-02-06;0;919,8;19,2;30,5;24,5;18,5;73,5;50;9,5;2,4;
2007-02-07;0;921,1;19,3;27,2;23,5;19,8;78,2;57;5,8;1,2;
2007-02-08;0;924,7;18,4;27,2;22,2;19,9;79,5;63;10,1;2,7;
2007-02-09;0;926,4;19;26,8;21,9;19,3;83,9;65;9,3;2,3;
2007-02-10;18,2;925,5;20,8;27,6;22,8;20,6;89,3;69;11;1,9;
2007-02-11;11,8;923;19;29,8;23,2;19,1;79,7;45;9,9;1,9;
2007-02-12;0;924,2;14,2;26;19,5;15,8;72,8;50;13,3;2,8;
2007-02-13;0;923,4;13,6;25,7;18,5;12,1;75,7;44;8,1;1,9;
2007-02-14;0;921,7;13,9;27,1;19,5;12,8;73,3;39;7,5;1,7;
2007-02-15;0;920,8;15;29;21;14,7;71,8;38;8,2;1,7;
2007-02-16;0;920;16,8;29,7;22,4;15,8;73,4;41;7,5;1,4;
2007-02-17;0;919,4;18,9;29;22,2;18;82,5;57;12,2;1,9;
2007-02-18;1,4;919,9;19,9;28,2;22;19,7;88,7;61;10,6;1,1;
2007-02-19;11,4;920,7;19,9;27,5;21,7;19,3;89,8;64;6,6;1,3;
2007-02-20;12,4;921,8;19,3;26,1;21;18,7;90,7;66;7,6;1,5;
2007-02-21;32;923,5;19,7;28;21,4;19,3;90,4;63;9,1;2;
2007-02-22;1,4;926,3;19,2;30,7;24;19,1;77,1;43;7,1;1,3;
2007-02-23;0;927,3;18,3;31,7;24,8;19,6;71,4;32;7,2;1,5;
2007-02-24;0;926,1;16,9;31;24,2;17;67,7;36;9,3;2,1;
2007-02-25;9,4;924,6;18,9;24,5;20,6;18,4;90;70;8,9;1;
2007-02-26;13,2;923,9;17,7;29,3;21;16,4;83,4;46;8,4;1,6;
2007-02-27;,2;923,3;17,6;28,2;21,5;16,6;80,5;52;8,2;1,6;
2007-02-28;0;923;17,9;29,3;22,8;17,6;76,5;40;7,1;1,6;
2007-03-01;0;923;19,2;29,6;23;18,7;80;49;10,7;1,9;
2007-03-02;3,2;924,9;19,4;27,3;21,5;18,5;88;64;9,4;1,4;
2007-03-03;10,2;926,5;19,1;29;21,9;18;85,3;56;8,7;1,4;
2007-03-04;0;926,2;18,2;31,4;23,5;17,5;75,3;41;6,3;1,2;
2007-03-05;0;925,7;18,5;31,8;24,1;18,4;74,1;29;5,8;1,5;
2007-03-06;0;926,8;17,7;31,2;24,1;18;70,1;37;6,6;1,3;
2007-03-07;0;927,6;15,7;30,6;23,1;17;68,4;25;6,1;1,4;
2007-03-08;0;924,8;17,3;30,2;22,2;16,5;75,4;47;11,1;1,6;
2007-03-09;,4;922,7;18;30,2;22,8;17,6;75,6;48;10,8;2,1;
2007-03-10;,2;923;18,8;29,7;22,3;18,3;82;50;11;1,4;
2007-03-11;6;923,4;18,6;28,5;22,3;17,5;81,6;53;10;1,1;
2007-03-12;1,4;924,4;19,1;28,3;21,8;18,9;85,7;59;8,3;1,3;
2007-03-13;13,8;925,1;18,9;25,5;21,1;18,5;87,9;67;4,5;,9;
2007-03-14;6;923,5;19,6;27,5;21,8;19,2;88,2;60;7,4;,9;
2007-03-15;1,4;922,4;19,5;26,7;21,6;19,6;88,2;66;8,2;1,5;
2007-03-16;4,4;922,5;19,1;28,3;21,3;18,4;88,7;53;5,3;,9;
2007-03-17;8;922,9;18,8;22,9;20;18,1;93,2;79;6,7;1,5;
2007-03-18;18,6;920,1;18,5;26,2;21,1;18,2;86,3;57;10,1;1,8;
2007-03-19;2,4;921,1;14;25,3;18,7;13,2;77,5;36;6,9;1,3;
2007-03-20;0;922,2;14;26;18,6;12,8;77,1;43;8,8;1,7;
2007-03-21;0;922,6;14,6;27,4;19,6;13,7;76,2;39;6,6;1,4;
2007-03-22;0;923,6;14,2;27,8;20,6;14,5;70,6;32;8,7;1,8;
2007-03-23;0;925,4;16,1;30;21,1;14,8;75,3;39;8,4;1,6;
2007-03-24;0;926,2;17,3;31;22,7;15,9;75,3;34;5,9;1,6;
2007-03-25;0;925,4;17,4;30,5;23,5;17,6;71,4;39;6,7;1,6;
2007-03-26;0;924,5;17,1;31,2;23,5;16,3;71;34;9,1;1,7;
2007-03-27;0;924,6;17;31,5;23,9;17;69,3;33;5,6;1,9;
2007-03-28;0;925,6;17,7;31,6;24,1;17,7;70,8;38;6,6;1,8;
2007-03-29;0;924,6;17,6;33,3;24,6;17,6;68,8;30;10;1,7;
2007-03-30;2,4;923,6;17,4;31,3;23,2;17,1;72,7;38;6,2;1,7;
2007-03-31;0;923,1;17,6;31,5;23,7;17,2;71,5;38;7;2;
2007-04-01;0;924,5;17,1;31;22,6;16,1;74;38;7,1;1,5;
2007-04-02;0;924,7;18,7;30,3;22,9;18,3;79;47;4,9;,8;
2007-04-03;0;923,7;18,3;30,5;23,6;18,6;74,9;45;7,2;1,5;
