Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2006-11-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-17;null;null;null;null;null;null;null;null;null;null;
2006-11-18;null;null;null;null;null;null;null;33;9,5;null;
2006-11-19;5,4;965,9;20;27,7;22,5;21,3;86,1;67;10;4;
2006-11-20;7;967,3;17,9;22,7;19,6;18,5;90,4;73;10;3,7;
2006-11-21;0;967,1;17,7;30,6;22,1;14,3;78,8;47;9,4;2,6;
2006-11-22;0;966;18,4;32,7;25,7;19,2;67,5;33;6,9;2,2;
2006-11-23;0;964,2;17,6;35;27,1;19,1;58,5;31;8,6;3;
2006-11-24;0;964,9;18,9;31,5;25,4;20,7;70;42;16,2;4,3;
2006-11-25;9,8;964,9;20,8;27,5;23,4;20,5;86;63;9,7;2,9;
2006-11-26;0;964,1;20,7;31,4;25,5;20;76,8;49;9,5;2,4;
2006-11-27;0;962,3;21,4;30,9;25,4;21,6;79,7;59;10;3,1;
2006-11-28;4,8;961,6;21,4;27,6;23,1;21,2;90,6;69;8,7;2,2;
2006-11-29;1;963,2;20,5;30,6;24,7;19,8;79,2;49;8,5;2,8;
2006-11-30;0;965,1;18,5;33,1;25,2;18;69,2;32;6,1;2,8;
2006-12-01;0;966;17,1;32,4;24,8;19,5;64,9;34;11,9;4,5;
2006-12-02;0;965,7;16,4;32,7;24,7;18,8;62,5;29;11;4;
2006-12-03;0;964,4;19,1;33,8;26;20,5;66,3;44;12,4;3,8;
2006-12-04;0;964,4;21,9;32,6;26,4;22,7;77,2;48;7,5;2,5;
2006-12-05;0;965,1;21,4;32,4;26,3;21,1;76,1;49;7,3;2,7;
2006-12-06;0;964,3;22;32,1;25,1;22,3;84,2;55;18,1;3,2;
2006-12-07;43,6;962,8;21,2;28,4;22,9;19;90,4;73;7,4;2,6;
2006-12-08;4,4;962,4;21;26,4;22,8;20,8;89,8;74;11,1;3,6;
2006-12-09;0;963,7;20,4;31,7;24,5;19,9;79,6;50;5,9;2,1;
2006-12-10;0;964,3;21,2;32,4;25,5;21,1;79;47;12;2,3;
2006-12-11;0;965,8;19,8;30,9;24,7;19,4;75,7;52;9,2;3,4;
2006-12-12;0;966,5;19;30,8;24,7;20;72,5;46;10,7;3,9;
2006-12-13;0;965,5;19,5;32,1;24,9;19,1;73,3;44;9,8;3,1;
2006-12-14;0;964;21,3;32,7;26,3;20,7;74,7;52;9,8;3,7;
2006-12-15;0;965,5;22,3;33,7;27,3;22,1;75,5;48;7,6;2,9;
2006-12-16;0;964,7;21;36,1;27,9;20,7;69,3;36;7,5;2,3;
2006-12-17;0;964,1;22,1;34,7;28,2;22,7;71;43;16,8;3,3;
2006-12-18;5,6;963,6;22,1;35,3;28,5;22,5;70,3;41;9,8;2,9;
2006-12-19;0;962,9;22,6;33,9;26,2;23,5;82,1;52;16,8;2,6;
2006-12-20;17,8;962,9;22,2;31,2;24,2;21,3;89;61;14;4,1;
2006-12-21;49;965,7;21,5;26,4;22,7;21,3;93;76;8,6;3,1;
2006-12-22;25,8;967,2;21,9;27,3;22,9;21,6;94,2;76;9,3;2,6;
2006-12-23;30;null;null;29,4;null;21,8;91,3;71;8,3;null;
2006-12-24;null;964,9;22,1;28,2;24;22;89,4;74;13,3;3,3;
2006-12-25;null;null;null;null;null;null;null;55;11,2;null;
2006-12-26;null;null;null;null;null;null;75,8;58;7,8;null;
2006-12-27;,2;966,9;21,7;32,1;25,4;20;81,5;51;6,7;2;
2006-12-28;0;968,7;21,9;30,2;24,6;21,6;85,8;67;9,8;2,7;
2006-12-29;0;969,7;20,4;29,8;23,7;18,4;82,6;65;8,2;2,7;
2006-12-30;0;968,8;20,8;30,8;25,2;22,1;77,4;48;8;2,8;
2006-12-31;0;967,7;21,5;30,6;25,4;21,4;80;54;8,8;2,6;
2007-01-01;0;965,3;20,9;30,9;25,5;20,8;76,8;54;10,1;3,4;
2007-01-02;6;964,8;22,3;31;24,9;21,8;86,1;58;9,3;2,6;
2007-01-03;8,6;965,2;22,2;26,3;23,1;21,5;94,5;83;16,6;2,5;
2007-01-04;31,4;961,7;22,3;26,9;23,5;21,5;93,2;79;8,3;3,3;
2007-01-05;4,6;959,7;23;29,9;25,1;22,7;88,5;68;10,7;3,3;
2007-01-06;,2;961,2;22,3;31,8;26,5;22;78,6;53;10,8;3,5;
2007-01-07;0;964,1;22;30,6;25,4;21,6;81,4;67;14;3,3;
2007-01-08;,4;965,2;22,9;31,3;25,8;21,8;84,8;61;11,3;3,6;
2007-01-09;0;965,6;22,8;26,6;24,3;23,3;91,3;72;10,8;3;
2007-01-10;11,2;965,1;22,6;32,8;25,4;21,2;85,4;56;8,5;2,7;
2007-01-11;,4;964,4;22,9;29,2;24,2;22,7;92,5;76;12;2,3;
2007-01-12;13;962,8;22,3;25,1;22,9;21,4;96,7;89;9,3;2;
2007-01-13;15,4;959,7;22,7;31,4;26,1;22,5;83,3;56;7,3;1,3;
2007-01-14;0;961,6;18;32,1;25,5;17,6;67;32;7;2,9;
2007-01-15;0;964,2;19,3;31,8;24;17,2;76,5;48;16,7;3,2;
2007-01-16;1;966,2;20,1;31,4;25,1;19,8;75,9;42;10,3;3,1;
2007-01-17;0;964,6;19,8;24,3;22,2;20,8;86,4;76;9,8;4,3;
2007-01-18;0;963,1;22,2;31,8;24,4;21,2;87,9;64;11,3;2,8;
2007-01-19;2,8;963,3;22,6;31,6;24;21,2;92,3;64;13,3;2,8;
2007-01-20;67;966,1;20,4;24,6;21,9;19,3;91,3;73;14,2;2,8;
2007-01-21;,8;968,4;20,3;29,2;23,3;18,8;84,9;55;7,1;1,1;
2007-01-22;0;966,9;20,7;30,6;24;19,5;82,7;57;9,1;2,8;
2007-01-23;0;965,6;21,1;29,8;24,6;20,8;82;59;10,3;3,6;
2007-01-24;0;965,4;21,3;31,5;25,4;21,3;79,2;50;10,3;3,7;
2007-01-25;0;964,4;21,6;31,4;25,7;20,9;79,4;59;9,9;3,4;
2007-01-26;3,4;964;22,4;30,5;25,1;22,6;85,5;64;9,6;2,6;
2007-01-27;5,6;964,1;22,3;32,2;26;21,6;81,7;53;7,2;2;
2007-01-28;,4;963,5;22;26,3;23,5;22,5;91,3;78;9;2,6;
2007-01-29;11,6;963,2;20,6;30,3;24,1;19,4;82,3;55;8,5;2,9;
2007-01-30;0;965;20,6;33,4;25,1;20,4;78,1;45;15,3;2;
2007-01-31;0;965,4;21,1;32,1;25,1;19,3;80,5;49;7,6;2;
2007-02-01;0;966,1;21,7;34,1;27,2;21,1;74,4;44;7,2;1,8;
2007-02-02;0;965,7;21;34,3;27,9;22,4;68,3;42;7,8;2,2;
2007-02-03;0;964,7;21,2;33,9;25,2;21,1;79,9;49;10;3,2;
2007-02-04;7;963,8;21,6;30,8;25,2;21,8;81,8;59;13,7;3,9;
2007-02-05;15,4;963,3;20,6;28,7;22,9;19,8;87,8;67;16,8;3,7;
2007-02-06;26;962,8;21,5;29,1;23,2;20,3;90,5;72;16,4;3,2;
2007-02-07;56,6;964,8;21;29;23,5;19,6;86,8;64;8,1;2;
2007-02-08;0;966,9;20,5;33,3;26;20,7;74,4;42;10,1;3,5;
2007-02-09;2,8;968,6;20,9;32,3;25,2;21,7;77,9;55;11,8;4,3;
2007-02-10;5,4;969,1;22,9;27,7;24,2;23,1;92,5;77;8,4;2,6;
