Nome: DOIS VIZINHOS
Codigo Estacao: A843
Latitude: -25.69916666
Longitude: -53.09527777
Altitude: 545.95
Situacao: Operante
Data Inicial: 2007-03-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-03-28;null;null;null;null;null;null;null;null;null;null;
2007-03-29;null;null;null;null;null;null;null;34;7,3;null;
2007-03-30;null;949,4;17,6;34,6;26,5;20,4;60,6;32;9;2,5;
2007-03-31;0;949,9;19,1;33,7;24,7;20,6;73,6;41;9,6;2,4;
2007-04-01;58,8;951,1;19,7;32,1;23,9;18,6;80,1;41;6,2;2,3;
2007-04-02;0;951;19,6;33,2;25,5;20,2;72,8;39;6,4;2,3;
2007-04-03;0;950,6;20;29,6;23,8;20,4;79,5;62;11;2,6;
2007-04-04;0;950,5;17,5;30,4;23,7;18,7;69,6;43;17,3;2,4;
2007-04-05;0;951,9;19,7;29,9;23,8;21,1;79,3;54;9,9;2,4;
2007-04-06;0;952,2;18,2;26,6;20,9;19,1;85,5;62;16;3,8;
2007-04-07;53,4;951,6;18,4;23,6;19,7;17,7;92,3;72;10,5;2,3;
2007-04-08;6,2;949,9;17,2;24,4;20,2;18,5;84,5;50;9;3,2;
2007-04-09;0;950,6;14,7;25,7;19;13,8;78;47;6,5;1,9;
2007-04-10;0;950,4;14,6;27,3;20;13,3;73,7;46;7,3;1,9;
2007-04-11;0;951,6;15,6;28,7;21,6;15,3;70,8;44;9,2;2,6;
2007-04-12;6,2;953,9;16,8;24,1;18,7;18,2;89,3;61;15;3,3;
2007-04-13;36,8;954,2;17,2;26,2;20,2;16,3;84;62;5,5;2,8;
2007-04-14;0;952,9;18,4;26,2;22;18,3;80,5;63;9,4;3,6;
2007-04-15;26;954,6;19,5;28;22,7;18,8;83,2;59;14,6;3,3;
2007-04-16;0;954,3;18,8;30,4;23,4;17,8;77,9;47;5,9;2,2;
2007-04-17;0;952,5;18,6;30;23,9;18,4;74,4;47;6,7;2,5;
2007-04-18;0;952,8;16,9;28,7;22,9;17,9;70,5;42;8,3;2,6;
2007-04-19;0;953,4;16,8;29,8;22,9;17,5;70,3;46;9,5;2,9;
2007-04-20;0;954,3;17,1;30,2;23,5;18,3;69,2;42;7;2,5;
2007-04-21;0;953,6;16,5;30,7;23,7;17,9;66,5;38;5,1;2;
2007-04-22;0;952,4;16,5;30,6;23,5;18,1;66,6;44;6,3;2,4;
2007-04-23;0;951,4;17,7;30,5;22,6;18,1;74,5;52;16,4;2,4;
2007-04-24;8,4;949,7;20,2;28,4;22,3;20;88;66;19,7;2,7;
2007-04-25;3;948,1;18,6;22,1;19,4;19;95,7;83;14,5;3,7;
2007-04-26;1;946,9;18,7;20,9;19,6;18,4;94,9;84;9,5;2,3;
2007-04-27;,4;955,9;8,3;18,9;14,4;10,3;68,8;42;13;5,8;
2007-04-28;0;958,6;8,4;23,2;15,2;8,8;65,7;40;9,8;3,7;
2007-04-29;0;956,9;13,6;25,3;18,4;13,9;75,1;52;7,9;2,2;
2007-04-30;0;953,7;15,2;26,4;19,4;13,7;77,8;53;7,5;2,6;
2007-05-01;,2;952,3;17,2;28,9;21,6;15,9;77,5;54;7,9;2,4;
2007-05-02;0;953,3;18;27,3;21,1;17,8;83,7;59;23;2,8;
2007-05-03;11,6;954,3;16,2;26,9;20;14,9;80,2;51;6,3;2,5;
2007-05-04;0;954,1;16,5;27,3;21,9;17,8;72,2;52;9,3;3,2;
2007-05-05;0;952,3;16,6;28,2;21,3;16,2;76,6;49;8,9;2,9;
2007-05-06;0;949,4;15,8;28,9;22,3;17,4;69,7;41;12,1;2,8;
2007-05-07;0;948,6;16,4;23;19,1;18,3;85,4;65;8;1,8;
2007-05-08;60,8;952,7;12,6;18;14,6;13,9;87,9;65;11,5;4,1;
2007-05-09;1,4;960,8;2,3;14,5;9;4,6;65,1;34;12,1;5,1;
2007-05-10;0;959,3;6,8;19,5;11,7;6;73,8;46;10,9;4,6;
2007-05-11;0;957,2;11,5;22,8;16,8;9,2;71,4;55;11,6;2,5;
2007-05-12;0;957,3;13,8;24,6;18,2;13,4;76,6;52;4,8;1,9;
2007-05-13;0;953,7;15,2;26,7;19,4;15,6;77,5;57;16,8;3,6;
2007-05-14;4;953,4;14,9;21;17,3;15,4;86,8;62;8,9;1,7;
2007-05-15;,2;952,7;14;25,1;17;10,8;83,9;59;5,5;2,6;
2007-05-16;0;948,9;16,8;23,8;19,4;12,8;85,9;69;16,8;3;
2007-05-17;38,6;950;17,5;19,8;18;17,2;97;89;11,4;2,3;
2007-05-18;30,4;953;15,2;17,6;16;14,7;95,2;92;5,6;2;
2007-05-19;2,8;953,9;14,5;20,9;16,5;13;88,1;76;9;3,7;
2007-05-20;,2;953,2;15,5;18,7;17;14,8;91,1;79;7,9;2,7;
2007-05-21;44,8;948,9;16,9;22,4;18;15,6;93,3;77;16,7;2,9;
2007-05-22;74;947,6;15,2;20,4;16,7;14;91,3;78;11,5;2,7;
2007-05-23;0;950,8;10,4;17,5;14;12,4;80,3;47;12,7;4,6;
2007-05-24;0;957,1;3,9;14;8,9;5,6;71,8;45;7,7;2,9;
2007-05-25;0;957;5,1;18,4;10,2;3,6;73,8;41;6,6;2,5;
2007-05-26;0;953,7;8,1;19,3;12,3;6,2;77;50;5,4;2;
2007-05-27;,2;952,1;10,4;21;15,2;9,2;75,2;42;5,4;2,2;
2007-05-28;0;953,4;10;18,8;12,7;7,3;84,6;61;8,6;1,9;
2007-05-29;0;958,3;,1;13;7,7;3,6;61,5;26;9;3,1;
2007-05-30;0;960;-,6;15,3;6,2;-1,5;64,3;31;12,1;3,1;
2007-05-31;0;956,2;5,6;17,3;11,2;3,4;69,7;47;8,1;2,9;
2007-06-01;0;950,9;12,1;16,6;14,9;9,6;84,4;65;5,3;1,7;
2007-06-02;21,8;953,3;9,1;15,8;12,8;9,3;79,2;50;8,3;3,1;
2007-06-03;0;956,9;5,2;14,9;8,8;4,3;79,5;42;7,8;1,8;
2007-06-04;0;957,5;5,2;16,4;9;3;80,1;39;5,5;1,5;
2007-06-05;0;955,6;6,1;21,8;12,5;4,2;68,7;36;5,4;2;
2007-06-06;0;953,1;7,9;21,4;14;7,6;68,5;41;6,1;2,6;
2007-06-07;0;952;13,3;24,3;18,7;10,3;71,5;60;5,6;1,8;
2007-06-08;0;952,4;16,9;25,8;19,5;14,6;85,7;62;9;1,9;
2007-06-09;0;951,8;15,3;28,6;21,4;15,9;71;40;12,8;2,9;
2007-06-10;0;951,9;14,5;28,6;21,5;15,5;66,7;39;11,5;2,5;
2007-06-11;null;951,8;14,1;26,7;null;16,7;66,1;41;15,5;2,5;
2007-06-12;0;952;13,3;24,1;19;15,2;70,5;47;6,6;2,2;
2007-06-13;0;950;12,2;27,7;20,5;15,4;61,5;35;13,8;3;
2007-06-14;0;949,9;12,2;27,2;20,6;14,8;59,8;38;8,8;2,4;
2007-06-15;0;949,3;14,1;27,2;19,8;15,4;70,3;47;18,3;4,2;
2007-06-16;0;955,2;8,2;18,1;13;9,4;74,1;44;11,4;3,2;
2007-06-17;0;953,6;12,7;25,8;17,3;9,9;75,3;58;7,3;2,6;
2007-06-18;0;954,4;15,7;27,2;20,3;15,2;76,9;47;7,4;2;
2007-06-19;0;953,7;13,7;27,9;20,9;17,1;65;38;9,4;2,8;
2007-06-20;0;953,9;13,1;27,7;21,4;16,9;61;37;12,2;3,5;
2007-06-21;0;954,9;12,2;27,3;20,7;15;59,8;37;9,4;2,7;
2007-06-22;0;952,8;12;26,1;19,7;13,7;63,3;38;10,9;2,8;
2007-06-23;0;950,1;11,9;26,7;20,1;13,8;61,3;34;12,5;2;
2007-06-24;0;955;10,7;21,4;14,7;13,9;78,1;53;14,1;4,6;
2007-06-25;3,8;957,8;10,7;17,8;13,3;9,4;84,8;76;9;3,6;
2007-06-26;,4;956,3;14,3;19,8;16,8;11,6;85,3;76;7,4;2,1;
2007-06-27;0;955,5;13,1;18,2;14,4;14,6;92,1;78;7,6;2,6;
2007-06-28;0;956,9;8,3;15,5;10,9;9,2;85,3;64;6,4;1,8;
2007-06-29;,2;958,2;7,4;18,4;9,9;5,1;86,8;48;6,3;2;
2007-06-30;,2;958,8;6,5;20,8;11,3;3;76;39;4,4;1,5;
2007-07-01;0;959,7;7,4;22,7;13,2;6,1;71,5;38;5,5;2,2;
2007-07-02;0;959;9;24,4;15,2;8,2;68,3;42;5,7;2,3;
2007-07-03;0;956;10,8;25,4;17;9,9;69,3;39;5,7;2,2;
2007-07-04;0;953,9;10,5;26,2;18,4;12;62,5;32;10;2,5;
2007-07-05;0;952,5;9,9;27,4;19,8;14,1;55,3;31;10,6;2,7;
2007-07-06;0;951,3;10,1;27,9;21,1;16,1;49,8;34;7,7;2,1;
2007-07-07;0;949,6;11,9;26,6;21,2;15,8;56;40;7,2;2;
2007-07-08;1,6;950;14,2;22,5;18,5;16,7;78,1;49;9,7;2,9;
2007-07-09;21,4;952;16,8;23,9;17,9;15,9;93,4;73;9,6;2,6;
2007-07-10;,8;954,4;10,8;16;11,3;10,2;96,9;90;8,1;3,9;
2007-07-11;1,8;957,1;5,4;10;7,8;5,6;85;72;9,6;3,6;
2007-07-12;0;955,2;9,3;13,1;10,8;5,9;90,2;79;5,8;2,6;
2007-07-13;5,6;952,7;13,8;20,4;15,3;11;91,2;75;3,5;1,7;
2007-07-14;,2;951,3;15,7;23;18,8;13,9;82,7;66;7,7;1,8;
2007-07-15;0;952,8;8,9;18,7;13,8;10,9;73,8;46;11,9;3,6;
2007-07-16;0;950,5;9,3;22,2;14,2;9,4;73;50;5,8;2;
2007-07-17;0;949;15,2;17,5;16,1;11,5;94,8;81;5,1;1,8;
2007-07-18;21,4;951,2;10,1;16,5;12;9,7;88,6;61;10,6;2,9;
2007-07-19;,4;953,9;7,9;16,3;10,1;4,4;87,5;59;6;1,6;
2007-07-20;0;952,8;8,6;22,7;14;7,4;72,6;41;6,2;2,2;
2007-07-21;0;949,9;9,3;22,8;14,8;8,4;72,7;40;6,6;2,7;
2007-07-22;3,6;942,7;14,7;23,1;19,8;11,4;74,2;47;23,9;3,8;
2007-07-23;33,4;949,4;6,3;18,7;12;8,5;70,2;34;9,7;2,7;
2007-07-24;0;949,1;6,9;18;9,4;3,3;85,1;61;6,9;3;
2007-07-25;10,4;952,8;6;13,6;10,1;5,1;77,8;39;11,6;3,8;
2007-07-26;0;960,2;2,1;13,9;6,9;,3;73,4;47;7,3;1,6;
2007-07-27;0;959,5;3,4;17,6;9,1;-,1;70,4;37;7,3;2,2;
2007-07-28;null;962,1;4,1;18;10,7;4,1;64,4;38;10,6;4,7;
2007-07-29;0;961,8;,3;17,5;9,1;,9;58;25;13,8;5;
2007-07-30;0;958,9;5,7;12,2;9,5;6,9;77,6;45;10,7;4;
2007-07-31;,8;955;10;21,4;14,2;8,5;77,1;52;5,5;2,1;
2007-08-01;0;953,2;12,8;26,9;17,3;10,3;76,7;49;6,2;2,5;
2007-08-02;0;953,8;15;26,1;19,4;14,1;76,7;46;5,6;2,2;
2007-08-03;0;955,3;15,2;25,3;19;15,1;79,5;50;8,3;2,8;
2007-08-04;,2;957,1;12,7;16,6;13,2;12,3;96,5;89;6,4;2;
2007-08-05;0;955,5;11,6;24,1;15,3;9,4;81,2;55;8,8;2,8;
2007-08-06;0;951,5;12,9;26,4;19,2;11,9;68,9;40;11,1;3,2;
2007-08-07;1;953,5;9,5;22;15,1;10,9;71,1;36;10,4;2,5;
2007-08-08;0;953,2;8,2;26,9;14,6;5;67,3;43;7,9;3,2;
2007-08-09;0;952,8;12,9;28,5;20,6;10,3;64;31;9,8;3,2;
2007-08-10;0;953,2;12,5;26;19,6;16,1;64,4;42;12,2;3,7;
2007-08-11;0;958,3;9,6;21,9;14,4;8;73,9;50;10,2;3,4;
2007-08-12;0;956,4;11,9;27,1;18,3;11,3;69;37;8,9;3,6;
2007-08-13;0;954,8;13;27,5;19,5;13,6;68,1;41;9,3;3,5;
2007-08-14;0;953,1;12,7;27,6;20,8;14,9;62,1;37;9,6;3,1;
2007-08-15;0;954,2;10,4;28,3;21,1;14,6;52,6;31;10,7;3,1;
2007-08-16;0;956;9,9;28,7;20,5;13,1;53,8;28;7,8;2,5;
2007-08-17;0;955,6;11,2;27,5;19,1;12,7;63,1;30;8,8;3,1;
2007-08-18;0;955,6;13,1;23,8;16,1;13,1;83,7;53;7,9;1,4;
2007-08-19;0;955,1;12,7;20,9;14,6;11;89,2;67;11,4;3,1;
2007-08-20;,2;957,9;6,9;17;11,5;7,8;75,9;46;11;3,5;
2007-08-21;0;956,3;4,2;23,5;12,6;3,8;61,9;26;11,2;3,2;
2007-08-22;0;954;9,5;28,9;18,8;9,3;57;33;7,1;2,9;
2007-08-23;0;950,5;11,1;30,6;21,3;13;56,8;24;9,1;3,2;
2007-08-24;0;947,6;9,6;31,2;23,2;16,1;45;23;13,5;3,1;
2007-08-25;0;945;10;28,6;24,1;21;41,1;32;8,4;2,6;
2007-08-26;2,6;948,1;13,4;24,6;15,9;15,2;87,5;41;8,8;3;
2007-08-27;8,8;955;8;13,2;10,4;8,8;85,6;60;8,3;2,2;
2007-08-28;0;956,6;6,1;13,3;9;5,9;82,8;67;7,3;1,9;
2007-08-29;,2;958,1;9,1;22,3;13,2;5,9;79,6;38;6,3;2,2;
2007-08-30;,2;959;12;20,8;15,1;11,2;82,8;61;10,9;3,9;
2007-08-31;3;957;13,8;18,9;15,8;13,9;88;77;6,1;2,9;
2007-09-01;0;955,4;15,8;27,7;18,8;14,1;84;53;4,8;2;
2007-09-02;0;954,3;15,4;31,3;22,6;16,2;69,4;29;7,7;2,5;
2007-09-03;0;954,4;12,5;32,1;23,1;15,2;57;23;10,1;3;
2007-09-04;0;955;12,5;32,7;24,1;17;51,8;24;10,2;3,4;
2007-09-05;0;956,7;13,6;32,4;24,2;17,1;54,6;28;10,9;2,6;
2007-09-06;0;956,8;11,8;32;24,1;16,1;50,1;24;7,7;2,4;
2007-09-07;0;955,6;11,5;31,9;23,9;16,4;49;24;8,3;2,4;
2007-09-08;0;953,7;11,4;33,2;24,2;16,4;48,6;22;8,6;2,5;
2007-09-09;0;953;10,1;33;24,3;16,3;44,3;18;9,1;2,6;
2007-09-10;0;952,5;8,9;32,9;24;15,7;41,3;16;8,8;3;
2007-09-11;0;952,9;9,4;32,2;23,4;15,4;44,7;20;10,1;2,8;
2007-09-12;0;954;11,5;31;22,4;16,3;52,9;27;5,6;2,4;
2007-09-13;0;951,8;10,1;32,4;23,3;15;48;18;10,1;3,1;
2007-09-14;0;950;10,6;34,6;24,5;15,5;44,9;21;10,5;2,8;
2007-09-15;,4;952,4;16,2;26,6;21,3;19,6;73,9;38;17,2;3,9;
2007-09-16;2,8;952;15,5;30,5;22,4;16,1;68,5;34;5,3;2,5;
2007-09-17;0;952;15,6;29,2;23,4;19,2;63;44;13,2;4,5;
2007-09-18;0;950,8;14,7;26,7;19,5;17;74,7;46;14,6;4,5;
2007-09-19;5,2;951,1;17,3;28,9;21,3;16,2;80;52;7,3;2,5;
2007-09-20;0;948,3;17;35,2;25,1;18,2;65,7;30;15,7;3,4;
2007-09-21;3,4;948,5;18,5;33,5;24,2;19;73,4;41;10,9;3,4;
2007-09-22;,4;950,2;17,3;25,8;19,6;18,7;86,5;60;12,6;4;
