Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2007-06-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-16;null;null;null;null;null;null;null;null;null;null;
2007-06-17;null;null;null;null;null;null;null;null;null;null;
2007-06-18;null;823,5;11,1;15,6;11,7;null;96,5;77;19,8;8,2;
2007-06-19;6,6;824,1;8,5;13,6;10,2;7,1;89,7;65;22,2;10,9;
2007-06-20;0;824,6;9,5;15,3;11,9;8;86,3;65;18,1;10;
2007-06-21;0;825,2;7,4;17,9;13,9;10,7;65,9;46;19,1;8,4;
2007-06-22;0;821,7;6,8;16,6;12,8;10,8;68,5;32;23,5;9,3;
2007-06-23;,2;817,9;7,3;16,9;12,5;8,9;71,7;50;24,6;null;
2007-06-24;,2;821,8;2,8;13,1;7,5;4,5;69;21;22,9;8;
2007-06-25;1,4;825,2;null;9,6;5,7;3,7;47;8;18,1;7,9;
2007-06-26;6,2;824,1;7,1;10,7;7,8;3,5;95,9;82;22,4;12,2;
2007-06-27;3,6;821,2;7,9;10,8;8,3;7,6;97,4;78;23,6;10,9;
2007-06-28;7,8;821,5;4,1;6,5;4,4;2,7;97,8;81;13,3;4,2;
2007-06-29;,2;823,5;3,8;11,9;7,5;3,5;79,7;41;8,9;3;
2007-06-30;0;823,9;null;14,3;10;6,1;28,7;7;14,5;6,1;
2007-07-01;0;825,7;-2,8;16,4;10,3;7,9;41,1;25;15,6;6,2;
2007-07-02;0;825,5;null;15,3;10,1;6,5;33,8;10;12,4;6,2;
2007-07-03;0;822,8;4;14,3;9,1;6,4;71,7;45;18,6;10,4;
2007-07-04;0;822,9;6;15,9;10,5;7,6;74,7;54;17,4;8,5;
2007-07-05;0;821,9;7,6;14,8;10,9;8,4;80,6;58;24,5;null;
2007-07-06;1,8;820,1;7;15,8;12,7;9,9;68,7;54;23,4;null;
2007-07-07;0;820,1;7,8;16,9;13,9;11,6;67,3;53;22,3;12,1;
2007-07-08;0;819,4;8,7;14,1;10,7;11,4;88;64;24,6;8,2;
2007-07-09;63,6;821,7;9,5;10,5;9,6;8,3;99,6;89;22,1;8,3;
2007-07-10;39,4;817,7;9,9;11,6;9,9;8,7;100;100;24,7;null;
2007-07-11;,2;819,6;-1,4;6,9;1,7;-2,7;76,5;33;20;7,7;
2007-07-12;null;null;null;null;null;null;100;79;18,4;null;
2007-07-13;20,6;821,1;7,3;12,9;7,7;1,7;97,5;83;18,8;9,6;
2007-07-14;10;818,4;9,3;13,3;10,2;7,4;94,3;79;24,8;12,5;
2007-07-15;,2;817,9;-3,2;10,9;6,1;2;48,4;8;24,2;7,8;
2007-07-16;0;818,7;,6;7;4,9;2,3;71,7;11;18;9,5;
2007-07-17;1,8;817,7;7,7;13,3;8;2,8;98;80;17;7,1;
2007-07-18;10,6;814,1;4,3;8,2;4,4;4,8;99,4;93;24,1;10;
2007-07-19;1,6;818,1;-5,2;10,7;5,2;-,1;49,8;20;22,8;7,1;
2007-07-20;0;819,7;null;15,4;9,9;3,5;28,7;11;20,8;8,2;
2007-07-21;0;819,3;null;12,8;9,5;6,8;51,1;11;18,5;8,9;
2007-07-22;14,6;812,4;7,8;9,7;8,5;6;95,4;70;25;null;
2007-07-23;24;813,2;-,6;9,6;4,4;1,9;69,8;26;17,7;9,3;
2007-07-24;0;816,8;null;6,1;2,8;-,6;53,8;7;19,4;8,1;
2007-07-25;5,4;813,8;,8;5,8;2,6;2,9;88,8;55;19,9;9,5;
2007-07-26;0;819,5;-5;7,3;-,7;-5,3;73,5;43;24,5;10,1;
2007-07-27;0;823,7;null;8,6;5,1;-3,3;44,4;19;16,7;4,9;
2007-07-28;0;826,3;-1,9;4,9;,6;,3;80,7;46;10,8;6,2;
2007-07-29;0;827,4;-2,7;3,5;-1,5;-5,1;83,2;22;22,2;null;
2007-07-30;,2;825,1;-,6;7,1;1,9;-2,5;83,3;32;17,1;8,9;
2007-07-31;,2;821,6;2,7;9,8;4;1;93,2;69;19,9;7,4;
2007-08-01;0;821,6;4,9;13,8;8,3;2,5;81,5;34;20,2;10,2;
2007-08-02;,2;824,3;9,3;12,2;10,1;6,1;94,8;80;18;7,5;
2007-08-03;31,4;824,1;9,3;11,5;9,5;7,3;99;87;20,5;10,6;
2007-08-04;,4;823;10,3;14,3;11,3;9;94,1;80;21,1;9,1;
2007-08-05;,8;823,3;5,2;12,9;7,7;3,8;75,4;10;16,2;6,5;
2007-08-06;1;821;5,7;9,3;5,7;3,4;100;92;24,2;null;
2007-08-07;3,2;817,7;3,7;10,1;6,6;4,4;76,6;18;25;null;
2007-08-08;,2;822,5;null;11,1;8,2;1;null;7;20,1;9,2;
2007-08-09;0;824,3;7,6;14,9;11,8;5,3;76,7;51;21;13,9;
2007-08-10;2,8;820,2;9,1;15;11,4;9;86,1;70;24,1;null;
2007-08-11;3;824,9;3,1;14,3;9,3;4,4;64,7;7;16;6,5;
2007-08-12;0;826,7;null;14,6;11,2;3,6;71,3;15;14,5;6,3;
2007-08-13;1,6;824;7,5;10;7,5;5;99,8;91;24,6;null;
2007-08-14;,6;823,7;8,8;15,1;10,9;7,8;87,8;68;22,9;null;
2007-08-15;,8;823,7;8,4;18,5;12,6;9,2;77,4;44;25;null;
2007-08-16;0;826,3;8;19;12,7;11,3;74,5;51;9,8;3,7;
2007-08-17;0;825,8;7;10,3;7,3;6,2;97,6;86;10;3,1;
2007-08-18;0;823,2;8,4;15,7;9,7;5,3;92;67;18,9;7;
2007-08-19;0;822,5;7,3;10,4;8;5,8;95,5;70;23,3;9,4;
2007-08-20;0;818,9;2,2;9,3;4,1;,1;88,1;33;24,1;null;
2007-08-21;0;823,3;null;13,3;6,3;-,7;34,6;8;16;6;
2007-08-22;0;823,8;null;18,3;12,9;5,6;32,1;7;11,2;5;
2007-08-23;0;822,1;5;20,2;15,4;12,8;50,2;36;12;6,9;
2007-08-24;0;818,3;6,7;20,4;15,1;11,8;56,5;14;24,9;null;
2007-08-25;0;817,3;8,5;14,9;8,9;6,9;97,3;72;16,9;6,1;
2007-08-26;0;814,7;9,5;11,9;10;7,3;97;83;25;null;
2007-08-27;0;816,8;-,2;7,8;3,1;1,8;80,5;35;18,6;9,3;
2007-08-28;0;821,6;null;6,8;3,4;-1,2;37;18;22,5;4,7;
2007-08-29;0;825,6;-,9;9,9;5;3,3;64,9;23;10,8;3,7;
2007-08-30;0;828,5;4,2;5,4;4,2;3;100;100;13,5;7;
2007-08-31;0;825;6,9;8,6;6,9;4,3;100;100;17,6;8,9;
2007-09-01;0;823,8;4,5;14,6;10,6;7,1;67,5;17;12,6;5,5;
2007-09-02;0;825,1;6,8;14,6;11;6,8;75,9;12;22,1;8;
2007-09-03;0;826;9,8;18,4;12,5;6,2;84,3;62;14,1;9;
2007-09-04;0;826,8;10,5;18;14;10,4;80,2;61;23,3;12,2;
2007-09-05;0;828,5;8,1;20,5;15,6;12;63,8;37;16;9,6;
2007-09-06;0;828,4;4,8;19,8;15,7;12,3;50,3;28;10,4;4,5;
2007-09-07;0;827,3;8,7;21;15,3;11,9;66,1;39;7,4;3,3;
2007-09-08;0;826,4;5,5;21,1;16,1;12,9;51,2;27;9,2;4,4;
2007-09-09;0;825,7;-1,4;20,4;15,8;13,5;31,7;19;12,7;6,7;
2007-09-10;0;824,4;-3;19,5;14,5;11;28,3;13;17,7;8,4;
2007-09-11;0;824;8;17,6;11,6;7,9;78,6;9;21,5;null;
2007-09-12;0;825,6;4,6;18,6;14,3;8,5;52,3;13;10,6;3,7;
2007-09-13;0;823,6;null;17;14,2;11,2;37;7;18,4;9,5;
2007-09-14;0;822,3;8,5;20,6;13,5;7,9;73,3;24;17,7;9,1;
2007-09-15;0;823;8,6;20,6;14,9;11,2;67,8;43;14;4,9;
2007-09-16;0;822,4;11,4;17,5;12,1;11,5;95,7;65;14,1;6,2;
2007-09-17;0;824,9;7,4;9,7;7,4;6,7;100;100;12,7;5,7;
2007-09-18;0;821,5;7,5;8,7;7,5;5,3;100;100;24,4;null;
2007-09-19;0;820;8,1;18,5;11,8;7,3;81,5;31;25;null;
2007-09-20;0;821,3;12;18,5;14,3;9,9;86,3;37;17,9;9,3;
2007-09-21;0;821,5;10,7;15,5;11,8;10,5;93,3;66;24,3;9,9;
2007-09-22;0;822;10,7;17;12,7;9;88,5;58;23,1;10,5;
2007-09-23;0;815,9;12,1;14,5;12,3;10,6;98,5;86;24,1;null;
2007-09-24;0;818,5;2,2;14,6;5,5;3,2;79;45;21,3;9,1;
2007-09-25;0;824,4;-2,1;5;,7;-3;83,1;30;21,9;8,3;
2007-09-26;0;826,6;4,2;6,6;4,3;,2;100;100;15,3;6,1;
