Nome: PARANAPOEMA
Codigo Estacao: A850
Latitude: -22.65833333
Longitude: -52.13444444
Altitude: 308.7
Situacao: Operante
Data Inicial: 2008-03-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-03;null;null;null;null;null;null;null;null;null;null;
2008-03-04;null;975,5;16,7;31,5;25;null;62,5;32;8,7;1,9;
2008-03-05;0;975;16,2;31,3;23,9;17,1;66,5;30;9,3;1,9;
2008-03-06;0;974,3;15,5;31,9;23,9;16,5;64,6;28;7,7;1,3;
2008-03-07;0;974,9;17,6;32,6;24,7;17,7;67,7;35;8,9;1,3;
2008-03-08;0;975,8;20,9;33,7;26,4;21,7;74;42;13,5;3,2;
2008-03-09;15,6;976,8;21,1;30,3;24,8;21;80,8;55;13,1;4,7;
2008-03-10;26,6;975,7;22;28;24,4;21,9;86,8;65;9,9;3,1;
2008-03-11;8,8;974,5;22,1;25,9;23,3;22,2;93,1;84;9,6;2,4;
2008-03-12;19,4;975;22,1;30,2;24,8;21,5;85,9;61;8,2;1,9;
2008-03-13;6,6;974,9;22,2;30,8;25,1;22,4;85;55;11,1;1,9;
2008-03-14;,4;975,5;19;29,8;23,8;20;76,5;48;13,7;3,4;
2008-03-15;1,2;977,6;16,8;28,9;22,8;18;70,5;46;13,6;4,9;
2008-03-16;0;979,6;16,9;29,2;22,1;17,5;73,7;45;10,1;3,4;
2008-03-17;1,4;979,7;17,6;29,6;22,9;18,2;73,4;41;10,1;3,3;
2008-03-18;0;979,4;17;30,1;23,6;18,7;69;38;9,9;2,9;
2008-03-19;0;978,5;19,5;24,9;22;20,4;86,1;62;12,9;2,2;
2008-03-20;4,2;979,1;20,1;28,8;23,1;19,8;84;59;11,2;2;
2008-03-21;17;977,6;20,4;30;24,4;20,1;79,8;52;7,8;2,1;
2008-03-22;,4;976,7;20,2;30,6;24,7;20,2;77,7;53;12,9;2,9;
2008-03-23;0;976,7;19,5;31,2;24,6;19,5;75,8;48;6,8;1,3;
2008-03-24;0;977,5;19,5;31,7;25,5;20,4;71,2;45;8,5;1,8;
2008-03-25;0;978,1;19,3;31,3;25,6;21,2;69,5;44;12,2;5;
2008-03-26;0;977,1;18,7;31,5;25,1;19,6;68,6;48;15,2;4,3;
2008-03-27;0;974,9;19,4;31,9;25,1;20;73,1;41;8,4;2,7;
2008-03-28;0;974,5;18,7;31,9;24,9;18,9;70,8;38;6,1;1,4;
2008-03-29;0;975,4;19,4;32,6;26,6;22,2;67;37;10;2,1;
2008-03-30;0;977,2;17,2;30,6;24,7;19,6;64,1;42;14,5;5,3;
2008-03-31;0;976,3;16,3;30;23,6;18,6;65;39;15,8;5,7;
2008-04-01;0;974,4;17,5;30,4;24,6;19,6;65,6;46;12,1;3,6;
2008-04-02;30,4;974,8;20,1;28,3;23,2;20,1;83,8;58;12,7;1,6;
2008-04-03;3,4;974,6;19,7;28;23,4;20,3;81,1;56;7,3;1,6;
2008-04-04;0;974,6;18,3;29,9;23,7;18,3;72,6;45;8,9;1,8;
2008-04-05;0;976;17,6;29,6;23,4;19,1;71,5;41;11,6;2,7;
