Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.78638888
Longitude: -53.51416666
Altitude: 647
Situacao: Operante
Data Inicial: 2008-03-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-11;null;null;null;null;null;null;null;null;null;null;
2008-03-12;null;null;null;null;null;null;null;null;null;null;
2008-03-13;null;null;null;null;null;null;69,9;48;8,1;null;
2008-03-14;0;940,1;13,4;24,6;19,2;13,9;70,8;46;7,8;3,3;
2008-03-15;0;941,4;13,9;20,8;17,4;14,8;80,6;58;11,7;3,3;
2008-03-16;1;942,8;13,9;27;20;14,1;69,1;46;9,6;2,4;
2008-03-17;0;942,7;14,8;27,6;21,5;15,2;68,1;35;6,2;2,3;
2008-03-18;0;942,1;16,2;28,1;22,2;17,2;69,5;47;6,6;2;
2008-03-19;0;940,2;17,6;27,5;22,8;18,7;73,7;53;8,8;2,6;
2008-03-20;,2;940,7;17,3;27,6;23;18,5;71;51;8,5;2,7;
2008-03-21;0;939,8;18;28,9;24;19,8;69,9;50;7;1,7;
2008-03-22;0;939;18;27,9;22;18,9;78,4;56;10,1;3;
2008-03-23;,4;939,7;17,9;27,9;21,2;17,2;83,6;50;7,1;2,4;
2008-03-24;0;940,6;17,5;29;22,9;17,9;74;47;8,2;2,2;
2008-03-25;0;941;17,1;30,1;24,4;19,1;65,5;40;7,9;2;
2008-03-26;0;939,7;16,8;29,6;24,6;19,4;63,4;45;10,2;2,5;
2008-03-27;0;937,3;15,2;30,8;25,7;20,3;54;33;7,9;2,2;
2008-03-28;0;937,4;18,3;26,8;21,5;18,7;82,6;48;9,8;2,1;
2008-03-29;1,2;939,5;17,2;28,3;21,9;16,5;77,8;46;6,8;2,6;
2008-03-30;0;939,3;16,2;30,5;22,5;17,8;69,5;42;9,4;3;
2008-03-31;,8;938,6;16;24;20,4;18,4;76,3;64;10,2;2,5;
2008-04-01;,8;937,1;16,1;28,2;21,9;17,9;71,1;47;8,1;2,8;
2008-04-02;0;937;15,2;28,1;22,3;18,6;65,8;40;8,3;2,5;
2008-04-03;0;938,9;10,4;24,1;18,4;13,9;62,7;30;8,1;2,9;
2008-04-04;0;939,2;9,6;24;17,1;11,3;65,2;33;7,8;2,8;
2008-04-05;0;939,3;8,3;25,5;18,6;12;53,5;28;8,1;2,7;
2008-04-06;0;937,5;10,7;28,5;21,5;13,5;51,4;34;8,3;2;
2008-04-07;0;938;12,3;29,6;23,7;17,2;50,7;29;7,5;1,9;
2008-04-08;0;940,1;10,4;30,9;24,8;18,8;42,1;22;8,1;1,6;
2008-04-09;0;939,6;8,4;31,2;25,4;18,9;34,9;23;8,6;2,6;
2008-04-10;0;936,2;14,8;30,9;24,1;17,3;57,6;32;12;4;
2008-04-11;0;934,5;17,3;32,2;25;20,9;63,3;43;11,2;2,2;
2008-04-12;75,8;933,3;16,4;23,1;18,7;16,3;87,1;56;18,4;4,2;
2008-04-13;15,6;932,2;17,3;22,5;18,7;16,7;91,5;66;12,5;3,4;
2008-04-14;55,2;939,3;8,9;17,7;13,1;9,5;77,8;50;11,1;4,5;
2008-04-15;,2;941,9;6,1;18,5;11,4;5,5;70,7;54;8,7;3,3;
2008-04-16;15,6;942,4;13,6;20;15,3;8,6;90,5;60;5,2;1,5;
2008-04-17;49;944,2;16,4;17,9;16,8;13,7;97,5;82;5,3;1,9;
2008-04-18;30,2;943,5;16,3;24,3;18,3;15,2;89,1;59;5,9;2,3;
2008-04-19;1,4;941,7;16,8;20,9;18,8;16;88,3;78;10,5;2,1;
2008-04-20;,2;940,5;15,7;23,1;17,6;14,9;89,7;61;8,1;2,4;
2008-04-21;,6;939,5;14,8;24,9;17,6;13,8;85,2;59;13,5;2,7;
2008-04-22;9,4;939,3;12,9;24,3;18,2;12,7;72;46;7,2;2,1;
2008-04-23;0;938,6;14,2;25,1;20,1;15,8;70,1;46;6,9;1,5;
2008-04-24;0;937,7;13,2;24,7;20,1;16,4;66,1;41;6,7;1,8;
2008-04-25;0;937,1;12,9;25,6;20,3;17,3;63;37;5,5;1,9;
2008-04-26;0;936,6;14,4;20,8;17,5;17,5;82,9;63;21,4;3;
2008-04-27;15,2;935,6;15,5;23,7;19,4;14,4;78,5;63;10,2;2,9;
2008-04-28;3,4;933,2;17,9;27,4;22,1;17,8;78,1;66;19,8;5,4;
2008-04-29;82,2;936,2;15,2;18,2;16,3;17,2;93;68;12,1;3,5;
