Nome: CURITIBANOS
Codigo Estacao: A860
Latitude: -27.2886111
Longitude: -50.60416666
Altitude: 978.1
Situacao: Operante
Data Inicial: 2008-02-27
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-27;null;null;null;null;null;null;null;null;null;null;
2008-02-28;null;null;null;null;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;null;83;14,4;null;
2008-03-01;14,6;895,7;15,7;24,5;18,8;15,6;83,6;52;11,7;3,3;
2008-03-02;,6;895,9;15,7;24,2;18,6;14,6;84,1;56;14,7;2,7;
2008-03-03;28,6;899;16,4;22,8;18,8;15,4;86,5;66;11,8;2,9;
2008-03-04;2,6;901,6;14,6;24,5;18,8;14,8;78,4;47;10,6;3,4;
2008-03-05;0;902,2;13,6;24,4;18,5;13,8;75,6;44;8,4;2,4;
2008-03-06;0;902,6;12,1;26,5;19;13;67,3;34;11;1,9;
2008-03-07;0;904,5;14,1;29;20,5;14,2;69,9;34;7,8;1,7;
2008-03-08;0;906,4;16,9;27;21,2;17,3;77,9;49;8,5;3;
2008-03-09;0;906,8;16,4;27,9;21,3;16;76,1;43;8,1;3,2;
2008-03-10;0;905,1;16,6;27,3;19,9;16,4;82,5;48;9,1;2,9;
2008-03-11;5,8;902,3;18,3;26,2;21,1;18,3;84,7;65;8;2,7;
2008-03-12;,8;903,3;17,1;20,8;18,6;17,2;91,4;80;10,3;2,7;
2008-03-13;14;904,2;15,1;23,9;18,2;15,7;83;53;8,4;2,8;
2008-03-14;0;905,5;12,7;22,6;16,8;11,2;78,7;47;7,9;2,3;
2008-03-15;0;907,9;12;22,1;16,7;11,6;75,5;50;11,5;4,1;
