Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Operante
Data Inicial: 2008-03-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;null;null;null;null;
2008-03-11;null;null;null;null;null;null;null;61;8,4;null;
2008-03-12;25,2;961,7;18,9;22,6;20,4;19,3;91,1;81;6,3;1,2;
2008-03-13;13;962,6;17,4;24,7;19,5;17,1;88,1;65;4,3;,9;
2008-03-14;3;964,1;15,3;24,6;19,6;15,2;78;45;8,9;1,1;
2008-03-15;0;965,3;14,3;25;18,9;14,2;76,2;49;7,5;1,5;
2008-03-16;0;968,3;14,8;24,6;19,2;15,4;77;50;7,7;2;
2008-03-17;0;960,3;15,9;24,1;18,4;14,4;86,7;63;4,3;,8;
2008-03-18;,2;967,1;18;25,4;20,4;15,5;86,6;64;6,1;1;
2008-03-19;,6;966,1;18,4;26,2;21;18,2;86,1;62;13,2;1,1;
2008-03-20;null;965,8;18,3;27,3;null;18,2;87,9;58;17,3;1,3;
2008-03-21;null;964,9;17,4;27,8;null;16,5;82,5;50;9,2;1,3;
2008-03-22;2;957,2;17,7;27,5;20,3;16,5;86,2;57;7,5;1;
2008-03-23;9,8;963,8;17,6;27,5;20,8;17;83,5;53;8,7;1,3;
2008-03-24;,2;965,4;18,1;25,2;20,9;18,3;84,6;67;7,5;1,1;
2008-03-25;null;null;null;22,7;null;18,4;81,8;72;7,1;null;
2008-03-26;null;null;null;null;null;null;78,4;67;7,1;null;
2008-03-27;null;null;null;28,3;null;17,7;71,5;44;4,7;null;
2008-03-28;0;961,3;17,6;26,9;20,3;17,5;85,4;59;7,1;,7;
2008-03-29;,4;964,4;17;24,1;19,9;17,4;84,1;60;5,5;1;
2008-03-30;null;null;null;20,9;null;15,8;79,5;67;7;null;
2008-03-31;null;null;null;null;null;null;70;53;7,9;null;
2008-04-01;0;959,1;16,2;24,6;18,7;16,7;85,6;64;5,8;,9;
2008-04-02;null;null;null;null;null;null;null;74;7,3;null;
2008-04-03;null;null;null;null;null;null;63,9;38;7,8;null;
2008-04-04;,2;962,4;13,1;24;16,9;11,3;80,8;51;5,8;,9;
