Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2014-11-05
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-11-05;null;null;null;null;null;null;null;null;null;null;
2014-11-06;null;null;null;null;null;null;null;null;null;null;
2014-11-07;null;null;null;null;null;null;null;null;null;null;
2014-11-08;null;null;null;null;null;null;null;null;null;null;
2014-11-09;null;null;null;null;null;null;null;null;null;null;
2014-11-10;null;null;null;null;null;null;null;23;7,7;null;
2014-11-11;null;905,7;12,5;23,1;17,9;13,2;72,4;43;8,4;3,3;
2014-11-12;1,2;902,2;14,7;20,6;17,1;14,7;85,8;70;9,5;3,5;
2014-11-13;6,4;903,5;12,9;21,8;17,1;14,5;78;52;10,7;3,4;
2014-11-14;0;906,9;8,8;23,6;15,4;9,9;69,1;23;11,5;2,5;
2014-11-15;14,2;910;10;22,6;15,7;10,7;72,2;33;7,9;2,6;
2014-11-16;0;910,6;8,4;25,4;17,4;11,7;62,6;23;8,5;2,8;
2014-11-17;0;910,2;7,8;24,7;17,3;9,4;57,5;29;9;2,3;
2014-11-18;0;908,6;9,7;22,5;15,8;9,5;68,5;41;12;4,6;
2014-11-19;0;907,2;13,2;20,8;16,7;13,6;80,3;65;12;5,3;
2014-11-20;0;907,3;15,6;23,2;18,4;15,6;84,5;65;10,1;4,2;
2014-11-21;0;906,6;16,4;23,4;18,7;15,8;87,2;70;8,1;3,7;
2014-11-22;9,8;904,6;17,1;23,6;19,7;17,4;85,5;64;9,9;3,1;
2014-11-23;0;906,5;10,8;26,3;18,9;11,9;64,2;27;7,6;2,3;
2014-11-24;,2;907,7;15,5;22,8;17,5;14;88,4;68;10,7;4,5;
2014-11-25;8;904,7;16,2;19,1;17,5;15,4;92,1;83;11,3;4;
2014-11-26;18,2;902,7;15,9;27,1;20,4;15,6;78,1;47;10,8;2,7;
2014-11-27;0;906;15,3;26,4;18,9;13,2;81;47;8,6;2,2;
2014-11-28;0;908,9;14,9;25,7;19,8;16,1;75,5;41;8,8;3,5;
2014-11-29;0;909,7;13,8;24,3;19,2;15,2;72,9;45;11,4;5,2;
2014-11-30;,2;909;15,9;22;18,2;16,1;86,8;71;11,5;5;
2014-12-01;0;908;16,4;23,4;18,9;16,4;85,8;70;9,8;4,3;
2014-12-02;0;905,9;18,3;28,8;21,8;17,8;82;50;23,2;3,6;
2014-12-03;14,4;904,6;17,9;22,3;20;19,4;87,8;69;11,7;3,6;
2014-12-04;14,8;908,1;11,1;26,8;18,3;11,1;65,5;37;9,9;2,9;
2014-12-05;0;910,9;7,1;25,1;17,1;9,3;57,7;22;14,7;4,5;
2014-12-06;0;910,1;9;25;17,1;10,1;61,5;34;10,4;4,9;
2014-12-07;0;909,1;14,4;29,3;21,3;15,5;68,4;33;13,1;3,5;
2014-12-08;0;908;16,2;30,1;23,2;19,2;68,5;30;8,2;3,4;
2014-12-09;0;905,7;17,3;27,3;20,6;17,7;82,7;50;12,9;2,6;
2014-12-10;2,8;904,1;17,9;25,9;20,8;17,5;84,7;61;9,7;2,4;
2014-12-11;,2;906;19;25,4;21,1;19,1;87,9;65;9,4;1,9;
2014-12-12;8,2;905,8;18,7;23,1;20,1;18,9;91,8;75;7,7;2,5;
2014-12-13;14,8;902,3;16,2;27,3;20;15,2;80,5;48;11,5;3,5;
2014-12-14;0;905,6;10,9;25,6;19,7;14,1;62,4;25;10,4;2,7;
2014-12-15;0;909,2;12,3;24;17,3;13;74;49;9,6;3,8;
2014-12-16;0;910;13,5;22;17,5;14,2;78,3;58;10,1;4,3;
2014-12-17;0;906,9;14,7;24,3;18,6;14,6;79;59;9;3,6;
2014-12-18;0;904,7;16,9;25,8;20,5;17,3;80,6;55;10;1,8;
2014-12-19;1;903,9;16,3;22,7;18,8;16,7;85,6;65;8,9;3,8;
2014-12-20;,6;902,1;18;27,2;20,2;16,7;88,1;58;19,3;3,3;
2014-12-21;20,8;899,8;18,4;26,2;21;16,4;86,1;65;17,5;4;
2014-12-22;28,2;904,2;16,5;22,6;18,8;17,1;87,2;64;8,5;2,2;
2014-12-23;11,8;911;11,8;18,3;15;13,5;81,7;62;9;2,7;
2014-12-24;2,6;910,9;11,7;21,5;15,4;10,5;79,8;59;10,8;4,3;
2014-12-25;0;911,1;15,1;20,8;16,9;13,8;89,4;77;10,8;4,8;
2014-12-26;0;911,6;18;27,5;20,1;17;88,4;59;13,2;3,2;
2014-12-27;16,4;908,7;17,3;23,2;19,2;16,5;89,4;77;14,5;2,9;
2014-12-28;,6;905,5;17,8;27,6;20,7;15,7;84,5;59;12,4;2,4;
2014-12-29;21,2;903,8;17,4;27,4;21,8;18;78;48;8,6;2,3;
2014-12-30;0;903,8;18,1;26,7;21,6;19,1;82,2;54;16,3;2,8;
2014-12-31;23;903,1;18;21,7;19;17,7;94,3;84;8,6;2,7;
2015-01-01;21,2;903,6;18;24,2;20,2;17,2;87,4;74;11,7;2,8;
2015-01-02;19,2;904,7;16,9;21,8;19,2;17,2;86,8;75;14,2;3,3;
2015-01-03;,2;908,6;16,2;25,1;18,9;15,4;85,3;54;9,5;2,4;
2015-01-04;0;909,5;15,9;27,7;20,3;16,2;78,9;37;9,3;2,8;
2015-01-05;0;910,3;16,5;24,8;19,9;15,9;81,5;61;9,8;4,2;
2015-01-06;0;909,7;18,2;28,4;22,2;17,9;79,7;53;10,1;4,1;
2015-01-07;,8;907,6;18,7;30,3;23,2;19,5;78;45;11;3,5;
2015-01-08;4,8;908,1;18,6;29,4;22,1;18,1;82,3;44;15,9;2,2;
2015-01-09;17,2;907,5;18,3;29,4;22,6;17,5;78,8;46;11,2;3,4;
2015-01-10;4;908,3;18,8;29,1;21,7;18,3;84,3;58;13,9;2,5;
2015-01-11;8,6;908,3;18,2;29,6;21,9;17,9;81,4;48;14,1;2,3;
2015-01-12;,4;908;18,4;30;22,9;17,5;78;45;11;2,4;
2015-01-13;0;908,4;18,7;28,6;22;20;82,5;56;15;3,2;
2015-01-14;11,8;908;17,5;30,2;22;17,3;78,6;40;22,4;2,7;
2015-01-15;,4;909,6;17,7;27,3;20,7;17,4;84,3;55;11,2;2,2;
2015-01-16;3,4;909,8;18;29,6;22,1;17,2;80,1;45;7,4;2,7;
2015-01-17;6,6;908,2;18;28,1;20,3;18;87,6;59;22,9;2,3;
2015-01-18;26,8;907,9;17,7;28,3;20,5;15,9;85,3;50;14,2;2;
2015-01-19;8;908,4;18;29,1;22,6;18;77,7;48;8,9;2,5;
2015-01-20;0;908;18,1;26,5;20,5;18;87;64;15,3;2;
2015-01-21;15,4;908,8;15,6;24,6;19,5;15,6;79,2;58;9,8;2,3;
2015-01-22;1;911,4;13;24,1;18,5;12,4;71;51;9,4;3,8;
2015-01-23;0;910,9;13,3;24,6;18,1;12,8;75,3;47;10;3,5;
2015-01-24;0;907,7;14,9;27,7;20,6;15,6;72,8;39;6,7;2,5;
2015-01-25;11,6;906,8;17,1;25,9;19,2;15,4;87,8;65;15,6;2,4;
2015-01-26;20,8;906,5;16,8;29,1;21,8;15,4;76;39;7,5;1,6;
2015-01-27;,4;907;18,3;28,2;21,6;18,4;82,7;52;13,7;2,4;
2015-01-28;,2;905,9;18,6;26,6;20,9;18,1;87,4;62;11,2;2;
2015-01-29;9;904,8;17,4;26;20,6;18,7;83,2;59;14,2;3,4;
2015-01-30;1,4;909,3;13,6;19,6;16,4;14;83,8;70;12,4;2,5;
2015-01-31;6,2;911,3;14,8;19,6;16,1;14;92,3;79;9,5;4,5;
2015-02-01;2,6;910,6;16;21,1;17,5;15,4;91,2;79;10,3;4;
2015-02-02;,8;908,9;17,2;28,2;21,3;17,3;79,3;44;8,5;3,3;
2015-02-03;0;906,7;16,9;25,4;19,6;16,4;85,1;65;12,5;3,4;
2015-02-04;9;904,2;16,3;24;18,8;16,1;86,1;63;9,5;3,2;
2015-02-05;,6;902,8;15,6;23,8;19;14,9;81,8;57;6,7;2,3;
2015-02-06;0;902,3;14,4;25,1;18,3;12,5;79,4;46;9,4;2;
2015-02-07;,2;902,6;12,2;25,6;18,9;12,1;70,1;31;8,6;2,4;
2015-02-08;,2;905;16,1;26,3;19,9;15,9;79,7;55;9,7;2,8;
2015-02-09;,6;905,9;17,5;26,8;20,9;17,6;82;54;8,9;3,1;
2015-02-10;0;906,3;18;28,8;22,9;19;76;44;7,8;2,9;
2015-02-11;0;907,2;19,8;28,8;23;20,7;83,3;56;16;3;
2015-02-12;11,8;907,8;19,7;29,1;23,2;19,6;82,4;55;8,7;2,3;
2015-02-13;19;909,5;17,8;26,6;20,8;17,8;84,1;52;9,5;2,2;
2015-02-14;0;909,3;17,3;24,9;19,5;18,3;87,8;63;10,8;3,1;
2015-02-15;16,4;908,9;15,6;25,2;19;15,4;82,3;46;8,6;2,3;
2015-02-16;0;908,4;13,6;23,7;17,3;10,9;80;58;8,1;1,9;
2015-02-17;0;907,4;15,5;23,6;18,6;15,2;82,8;62;9,1;3,8;
2015-02-18;0;903,7;16;24;19,2;16;82,4;65;8,5;3,5;
2015-02-19;,2;902;17,9;28,1;20,5;17,9;86;53;23,7;3,3;
2015-02-20;45,4;905,9;17,4;24,2;19,9;16,3;86,3;68;8,7;2,1;
2015-02-21;0;911,3;18,4;22,4;20;18,1;90,5;81;8,1;2,9;
2015-02-22;2,4;912,6;17,6;23,1;19,7;17;87,8;72;10,6;2,2;
2015-02-23;9,8;911;16,2;27,1;19,5;15,2;82,6;52;16,5;2,7;
2015-02-24;,6;909,7;16,4;23,7;18,4;16,6;88,3;65;12,1;1,7;
