Nome: Laguna - Farol de Santa Marta
Codigo Estacao: A866
Latitude: -28.60444444
Longitude: -48.81333333
Altitude: 34.36
Situacao: Operante
Data Inicial: 2008-05-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-31;null;null;null;null;null;null;null;null;null;null;
2008-06-01;null;null;null;null;null;null;null;null;null;null;
2008-06-02;null;null;null;null;null;null;null;null;10,3;null;
2008-06-03;null;1014,5;15,1;17,2;15,9;15;95,3;null;8,9;2,4;
2008-06-04;10;1011,7;14,9;20,4;16,7;14,3;89,2;null;11,7;2,8;
2008-06-05;0;1010,8;15,6;19,8;17,4;14,7;89,9;null;9,1;4,7;
2008-06-06;0;1010,6;15,4;21;17,5;16,9;88,1;null;16,1;5,6;
2008-06-07;3;1014,1;12;20;16,5;13,6;74,8;null;12,1;5,3;
2008-06-08;,2;1010,4;15,3;19,8;17,3;14,9;87,8;null;12,5;2,9;
2008-06-09;0;1005;15,8;23,4;18,1;16,8;86,8;null;21,1;5,2;
2008-06-10;2,4;1006,4;6,2;18;15,6;12,3;54,6;null;18;7,5;
2008-06-11;0;1014;5,6;16;12,3;6,5;64,6;null;13,7;3,4;
2008-06-12;,6;1013,8;10,4;16,9;14,4;10,2;77,7;null;9;3,5;
2008-06-13;0;1013;11,1;18;15;12,8;77,2;null;6,7;2,9;
2008-06-14;1,6;1003,8;15,4;20,8;17,3;14,2;88,4;null;13,3;4,6;
2008-06-15;0;1008,3;6,7;18,4;15,8;15,5;58;null;22,7;7,4;
2008-06-16;,2;1018,5;2,1;13,8;10,9;7,6;55;null;20;6,3;
2008-06-17;0;1015,9;5,4;14,5;10,4;5,2;71,8;null;8;3,2;
2008-06-18;0;1012,2;8,5;16;11,8;7,2;80,4;null;9,6;3,8;
2008-06-19;0;1010,5;11,3;16,9;13,8;9;84,8;null;17,6;6;
2008-06-20;0;1003,4;14,6;21,1;17,2;13,1;85,2;null;21,6;6,1;
2008-06-21;4,2;1007,3;8,8;17,7;14,8;11,9;69,5;null;15,2;5,1;
2008-06-22;0;1013,9;8,1;15,6;13,4;10,9;70,8;null;17,9;7,9;
2008-06-23;0;1019,2;7,9;15,2;12,3;8,2;75,5;null;18,2;6,3;
2008-06-24;1,4;1020,6;12,1;15,7;13,2;10,4;93,2;null;10,6;3,6;
2008-06-25;5,4;1020,2;13,4;17,9;14,9;11,9;90,7;null;7,2;3,2;
2008-06-26;0;1017,7;14,8;17,2;16;13,8;92,8;null;15,4;8;
2008-06-27;8,6;1014,8;15,4;19,2;17;16;90;null;14,6;6,8;
2008-06-28;10,8;1015;16,2;17,7;16,9;16,2;95,1;null;18,8;6;
2008-06-29;7,8;1015,3;15;18,3;16,7;16;89,9;null;18,6;4,8;
2008-06-30;0;1015;14,5;17,2;15,6;14,6;93,5;null;11;3,8;
2008-07-01;0;1013,9;14,5;16,5;15,8;15;92,1;null;8,5;3,2;
