Nome: JAPIRA
Codigo Estacao: A871
Latitude: -23.77333332
Longitude: -50.18055554
Altitude: 692.88
Situacao: Operante
Data Inicial: 2008-02-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-28;null;null;null;null;null;null;null;null;null;null;
2008-02-29;null;929,9;18,5;23,3;null;null;92,8;83;7,5;3;
2008-03-01;null;null;null;null;null;19,4;null;40;7,9;null;
2008-03-02;null;null;null;null;null;null;null;null;null;null;
2008-03-03;null;null;null;null;null;null;null;null;null;null;
2008-03-04;null;null;null;null;null;null;null;null;null;null;
2008-03-05;null;null;null;null;null;null;null;null;null;null;
2008-03-06;null;null;null;null;null;null;null;null;null;null;
2008-03-07;null;null;null;null;null;null;null;null;null;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;null;null;null;null;
2008-03-11;null;null;null;null;null;null;null;null;null;null;
2008-03-12;null;null;null;null;null;null;null;null;null;null;
2008-03-13;null;null;null;null;null;null;null;null;null;null;
2008-03-14;null;null;null;null;null;null;null;null;null;null;
2008-03-15;null;null;null;null;null;null;null;null;null;null;
2008-03-16;null;null;null;null;null;null;null;59;8,1;null;
2008-03-17;null;938,2;15,4;27;20,3;16,5;74,8;45;12,7;3,2;
2008-03-18;4;938,1;16,5;25,8;20,6;16,7;78,6;55;12,7;2,4;
2008-03-19;,2;937;17,7;27;21,1;18,2;81,2;61;8,7;3,1;
2008-03-20;0;937,5;18,1;26,1;21,5;18,5;82;63;6,4;2,1;
2008-03-21;0;936,4;17,8;27;21,6;18,2;79,9;51;11,9;2,6;
2008-03-22;1,8;935,2;18;28,9;22,2;18;78,2;52;7,1;1,7;
2008-03-23;0;935;18,1;28,7;22;18,2;79,9;49;8,9;1,9;
2008-03-24;0;936,2;17,9;28,5;21,9;18,3;79,5;49;7,6;2,3;
2008-03-25;0;937,6;17,6;26,7;21,5;18;79,3;58;10,8;4,2;
2008-03-26;0;936,4;16,8;26,1;20,9;16,8;78,2;60;9,4;3,4;
2008-03-27;0;933,8;16,1;28,8;21,8;16,6;72,8;43;9,6;2,1;
2008-03-28;0;933,1;15,2;29,7;23,2;17;65,2;23;8,8;2,3;
2008-03-29;0;934,6;16,6;28,5;23,1;18,7;68,2;29;7,8;2,9;
2008-03-30;0;936,8;14,7;26,1;19,9;15,2;73;51;10,9;3,8;
2008-03-31;0;935,7;14,7;25,3;19,5;16,4;74,6;53;9,9;3,7;
2008-04-01;0;933,6;15,1;27,8;20,4;14,4;73;47;8,1;2,1;
2008-04-02;0;932,8;17,9;23,2;20,5;18,6;85,3;68;5,4;1,1;
2008-04-03;4,4;932,2;18,2;26;21,2;18,1;84;57;5,1;1,1;
2008-04-04;0;933,4;16,6;22,7;19,6;17,6;83,1;65;8,6;3,3;
2008-04-05;0;934,5;14,7;27,2;20,1;15,8;73,6;43;9,1;2,7;
2008-04-06;0;933,9;14,7;26,8;20,4;15,1;71,8;41;8,2;2,8;
2008-04-07;0;934,2;15,1;28,1;20,9;15,5;72,8;34;6,9;1,5;
2008-04-08;0;936,1;15;28,9;22,1;17,1;66,4;38;7,2;2,1;
2008-04-09;0;936,3;16,8;29,2;22,7;17,9;70,3;51;8,7;2,6;
2008-04-10;0;934;19,3;29,1;22,5;19,5;83;62;18,2;2,3;
2008-04-11;9,6;932,1;17,5;30,1;21,9;16,1;76,9;52;21,1;2,1;
2008-04-12;11,4;932,3;16,4;21,5;18,6;17,4;88,1;69;11,1;2,2;
2008-04-13;41,8;931;17,8;28,3;20,8;15,6;84,1;59;6,4;1,6;
2008-04-14;44;931,8;18;23,3;20;17,6;88,8;73;12,2;1,6;
2008-04-15;,6;936,4;14,4;20,6;16,3;14,8;89;76;10,8;4,4;
2008-04-16;,8;938,7;15,7;19,1;17,1;14,9;91,7;87;7,6;2,4;
2008-04-17;7;939,4;16,9;25,9;20,7;16,5;80,1;59;8;2,2;
2008-04-18;0;938,7;15,2;26,4;20,5;16,4;72,8;49;8,7;2,4;
2008-04-19;0;937,8;16,1;20,4;18,4;16,4;86,3;79;8,3;2,6;
2008-04-20;,4;935,7;17,3;25;20,1;17,7;84,8;60;6,4;1,7;
2008-04-21;0;935,9;16,9;23,6;19,2;17,7;86,7;69;12,3;2,5;
2008-04-22;26,4;935,5;15,2;24,2;18,2;14,3;84,1;62;13,7;1,4;
2008-04-23;2;934,1;14,1;25,7;20;15,1;70,7;44;5,6;1,5;
2008-04-24;0;933,1;13,2;26;20,4;15,5;64;44;6,8;1,5;
2008-04-25;0;932,8;12,8;26;20,5;14,8;62,8;39;6;,9;
2008-04-26;0;932,8;13,8;27,4;21,5;15,2;62,5;45;4,8;,8;
2008-04-27;0;933,4;15,4;28,3;22,4;16;66;38;6,8;,9;
2008-04-28;0;932,4;15,3;29,5;23,3;18,7;61,7;40;8,1;1,4;
2008-04-29;19,8;932;18,4;23,9;19,3;18,5;94,5;63;19,1;1,6;
2008-04-30;41,6;935,9;15,8;19,5;17,1;16,2;92,1;81;10,3;3,2;
2008-05-01;0;937,9;11,6;17,1;13,9;10,1;86,6;74;13,5;5,1;
