Nome: VENTANIA
Codigo Estacao: A872
Latitude: -24.28027777
Longitude: -50.21027777
Altitude: 1093.41
Situacao: Operante
Data Inicial: 2011-04-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-04-14;null;null;null;null;null;null;null;null;null;null;
2011-04-15;null;null;null;null;null;null;null;null;null;null;
2011-04-16;null;null;null;null;null;null;null;null;null;null;
2011-04-17;null;null;null;null;null;null;null;null;null;null;
2011-04-18;null;null;null;null;null;null;58,9;42;9,8;null;
2011-04-19;0;897,5;15,5;25,7;20,7;17,6;73,5;50;10,2;null;
2011-04-20;0;895,3;15,3;24,2;18,7;14,2;81,3;60;12,1;null;
2011-04-21;0;893,8;16;24,6;18,2;16,9;87,9;60;14;null;
2011-04-22;45,2;893,9;14,8;25,4;20,8;13,4;68,7;56;8,7;null;
2011-04-23;0;894,6;15,6;26;20,7;18,6;73,7;45;14,9;null;
2011-04-24;3;894,8;13,5;22,4;17,4;13,5;79;61;10,1;null;
2011-04-25;15,6;895,8;14,9;17,6;15,9;14,5;94;85;10,7;null;
2011-04-26;,2;897,7;13,3;19;15,8;13,8;85,7;72;11,3;null;
2011-04-27;0;898,9;11;18,9;14,6;11,5;80,1;58;12,4;null;
2011-04-28;0;896,8;12,4;20,1;15,2;12,2;83,8;61;12,7;null;
2011-04-29;0;894,7;12,6;21,6;16,2;12,4;80,2;54;7,6;null;
2011-04-30;0;892,5;13,8;18,5;15,4;13;90,3;74;23,9;null;
2011-05-01;3,2;892,2;15;19;16,4;14;91,5;79;9;null;
2011-05-02;,6;894,1;9,7;15,7;12,2;8,8;85,6;64;11,1;null;
