Nome: MORRETES
Codigo Estacao: A873
Latitude: -25.50888888
Longitude: -48.80861111
Altitude: 50.31
Situacao: Operante
Data Inicial: 2008-03-12
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-12;null;null;null;null;null;null;null;null;null;null;
2008-03-13;null;null;null;null;null;null;null;87;4,1;null;
2008-03-14;null;1007,7;19,1;26,8;21,5;18,9;87;63;8,8;1,6;
2008-03-15;21,4;1010,3;19,3;26,3;20,6;18,2;92,5;65;9,7;1;
2008-03-16;48,2;1011,8;19,4;27,7;21,1;18,8;90,6;57;9,2;1,2;
2008-03-17;6;1011,4;20;25,8;21,4;18,3;91,9;69;4,8;1,1;
2008-03-18;1,2;1010,5;21,1;29;23,5;20,2;87,2;56;8,3;1,2;
2008-03-19;0;1009,9;21,3;27,7;23,9;21;86;71;7,6;1,1;
2008-03-20;0;1009,2;21,2;30,1;23,8;20,2;86,4;57;6;1,1;
2008-03-21;2,6;1008,1;20,9;29,3;23;19,2;88,7;57;5,4;,7;
2008-03-22;,2;1006;22;30,3;24,1;20,4;89;62;5,1;,7;
2008-03-23;2,6;1006,4;22;29,4;23,8;21,4;90,3;61;7,5;,9;
2008-03-24;,8;1008,7;21,4;28,1;23,3;21,3;89,5;64;6,1;1;
2008-03-25;15;1011,6;20,7;25;22,2;21,2;91,6;71;10,6;,8;
2008-03-26;5,2;1009,8;19,7;26,6;22,2;19,1;86,7;58;6,2;,9;
2008-03-27;0;1005,1;20,3;30,4;23,8;18,4;82,5;51;7,2;1,1;
2008-03-28;0;1004,1;21,2;30,6;24,3;20,5;84,6;53;6,1;1,1;
2008-03-29;,4;1007,8;20,6;26,1;22,6;20,4;89,1;68;8,6;1,1;
2008-03-30;5;1010,9;19,3;23,2;20,3;19;94;80;5,1;,6;
2008-03-31;,2;1009,3;18,2;26,6;20,5;16,8;87,5;59;10,4;,9;
