Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2008-04-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-29;null;null;null;null;null;null;null;null;null;null;
2008-04-30;null;904,1;4,4;16,8;8,6;null;78,2;40;6,4;1,2;
2008-05-01;0;905,5;7,2;12,6;8,4;1,5;92,5;80;7,5;,9;
2008-05-02;25,8;901;11,3;15,3;12,1;9,4;94,5;88;8,7;1,8;
2008-05-03;4,2;900,2;9,9;17,2;12,3;9,7;85,7;62;10,4;2,3;
2008-05-04;0;902,3;10,4;17,6;12,8;10;85,8;65;7,3;1,4;
2008-05-05;2,6;902,1;9,1;16,4;11,3;10,1;87,2;56;11;1,3;
2008-05-06;3,6;902,7;5,4;18,6;8,3;1,5;85,3;43;6,8;,9;
2008-05-07;1,6;903,6;5,3;19,7;8,5;2,2;84,9;33;7,6;,9;
2008-05-08;,2;903;6,7;19;9,5;2,4;84,8;51;8,4;,8;
2008-05-09;0;904,1;7,1;18,9;10,8;4,3;81,5;46;5;,8;
2008-05-10;0;906,5;9;14,6;10,7;5,3;89,7;74;5,6;,9;
2008-05-11;0;908,2;8,9;15,5;10,3;5,4;91,6;72;5,8;1;
2008-05-12;null;null;null;null;null;null;null;69;4,5;null;
2008-05-13;null;null;null;null;null;null;null;56;4,9;null;
2008-05-14;null;null;null;null;null;null;82,1;56;4;null;
2008-05-15;null;null;null;null;null;null;76;41;7,3;null;
2008-05-16;null;null;null;null;null;null;80;45;3,7;null;
2008-05-17;null;null;null;null;null;null;67,5;38;7,3;null;
2008-05-18;null;null;null;null;null;null;null;43;8,3;null;
2008-05-19;null;null;null;null;null;null;72,9;44;7,3;null;
2008-05-20;null;null;null;26,2;null;7,4;75,7;45;8,2;null;
2008-05-21;null;null;null;null;null;null;66,3;36;8,3;null;
2008-05-22;null;904,5;10,2;26,2;null;7,4;72,2;33;6,9;,9;
2008-05-23;null;null;null;null;null;6,6;69,3;41;5,7;null;
2008-05-24;null;null;null;null;null;null;70,4;45;10;null;
2008-05-25;null;900;6,5;22,7;null;8,1;68,4;20;8;1,4;
2008-05-26;null;null;null;null;null;null;null;40;8,6;null;
2008-05-27;null;null;null;null;null;null;78,2;43;9;null;
2008-05-28;null;null;null;null;null;8,5;70,2;44;12,1;null;
2008-05-29;null;null;null;null;null;null;84;68;9,3;null;
2008-05-30;null;null;null;13,4;null;4,5;57,7;23;7,9;null;
2008-05-31;null;null;null;null;null;null;null;51;6,9;null;
2008-06-01;null;null;null;null;null;null;null;85;4,9;null;
2008-06-02;null;null;null;null;null;null;null;75;5,1;null;
2008-06-03;null;null;null;null;null;null;null;null;null;null;
2008-06-04;null;null;null;null;null;null;null;77;5,3;null;
2008-06-05;null;null;null;null;null;null;null;66;10,1;null;
2008-06-06;null;null;null;null;null;null;null;56;12,6;null;
2008-06-07;null;null;null;null;null;null;null;48;7,5;null;
2008-06-08;null;null;null;null;null;null;81,9;57;7;null;
2008-06-09;,2;901,3;10,6;22,8;12,8;7,3;88,3;51;16,5;1,9;
2008-06-10;6,8;902,3;1,1;13,2;6,9;-,7;70,8;28;10,7;2,3;
2008-06-11;0;904,2;,2;19,3;5,2;-4,1;76,5;26;4,9;,5;
2008-06-12;12,8;904,8;9,8;12,4;10,3;1;96,7;78;3,5;,5;
2008-06-13;7,2;903,9;12,4;16,8;13,3;8,7;94,7;83;6,8;,6;
2008-06-14;13,6;899;14,2;20,2;16,1;11,9;89,3;72;14,4;2,8;
2008-06-15;10,4;902,6;4,2;14,7;10,2;8,3;73;23;13,6;1,9;
2008-06-16;0;908,2;-3,1;12,9;1,4;-5,7;78,9;25;4,8;,8;
2008-06-17;,2;905,7;-,9;18,9;3,2;-5,7;80,5;23;3,8;,5;
2008-06-18;0;903,5;1,5;22,6;6,6;-3,1;78,6;14;6,4;,6;
2008-06-19;,2;902,1;7,7;21,8;11,1;,7;82,7;46;6;,7;
2008-06-20;0;899,5;11,9;18,6;13,1;6,8;92,9;75;11,2;1,5;
2008-06-21;4,2;901,4;3,5;17,1;8,5;,5;76;24;8,7;1,2;
