Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.60694444
Longitude: -56.06083333
Altitude: 184
Situacao: Operante
Data Inicial: 2002-12-07
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-07;null;null;null;null;null;null;null;null;null;null;
2002-12-08;null;990,8;null;null;null;null;null;null;null;null;
2002-12-09;null;990,9;null;null;null;null;null;null;null;null;
2002-12-10;null;993,6;null;null;null;null;null;null;null;null;
2002-12-11;null;995,2;null;null;null;null;null;null;null;null;
2002-12-12;null;994,3;null;null;null;null;null;null;null;null;
2002-12-13;null;995,4;null;null;null;null;null;null;null;null;
2002-12-14;null;994,2;null;null;null;null;null;null;3;null;
2002-12-15;null;993,1;null;null;null;null;null;null;null;null;
2002-12-16;null;996,1;null;null;null;null;null;null;null;null;
2002-12-17;null;996,2;null;null;null;null;null;null;null;null;
2002-12-18;null;993,7;null;null;null;null;null;null;null;null;
2002-12-19;null;993,2;null;null;null;null;null;null;15;null;
2002-12-20;null;995,3;null;null;null;null;null;null;2;null;
2002-12-21;null;997,4;null;null;null;null;null;22,1;6,6;null;
2002-12-22;null;null;21,6;36,4;29,9;24,4;64,4;39;8,3;null;
2002-12-23;null;null;21;35,8;30,6;25,1;58;38;9,8;null;
2002-12-24;null;null;22;36,2;29,5;25,2;65,3;39;7,7;null;
2002-12-25;null;null;22,8;35,7;27,8;24,7;76,3;43;6,4;null;
2002-12-26;null;null;22,2;34,4;28;24;73,8;40;8,5;null;
