Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2003-02-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-24;null;null;null;null;null;null;null;null;null;null;
2003-02-25;null;null;null;null;null;null;79,1;57;7,9;null;
2003-02-26;null;973,1;21,3;31,3;null;20,3;88,3;58;14,1;,9;
2003-02-27;14,8;973,1;21,8;32;25,3;21,3;82,3;55;8,5;1,2;
2003-02-28;0;973,8;21,5;33,9;26;20,3;78,5;45;10,2;1,1;
2003-03-01;23,4;973,2;21,9;32,6;25;21,7;84,3;50;9,7;1,7;
2003-03-02;20;972,6;21,7;32;25,8;21,6;80,2;50;8,2;1,7;
2003-03-03;19,2;973,4;22;31,4;24,5;21,3;86,8;57;11,8;1,5;
2003-03-04;4;974,1;21,5;32,1;25,8;21,5;79,6;49;7,9;1,4;
2003-03-05;0;973,4;21,5;32,9;26;21,2;78,4;46;7,9;1,2;
2003-03-06;0;972,1;21,5;33,8;26,6;20,7;76,8;42;5,5;1,1;
2003-03-07;22,6;973;21,4;32,6;24,5;20,3;84,4;49;12,5;1,7;
2003-03-08;1,2;972,3;21,6;32,8;25,8;20,9;78,7;41;8,4;1,3;
2003-03-09;14;972,4;22,2;31;24,5;21,7;87,5;60;8,2;1,6;
2003-03-10;0;971,6;22,6;32,1;25,5;21,7;85,3;56;9,4;1,3;
2003-03-11;16,6;972,5;22,8;30,3;25,4;22,3;86;60;9;2;
2003-03-12;0;973;22;30,8;24,8;21,2;85,1;57;9,8;1,9;
2003-03-13;8,4;973,3;22,2;25,6;23,4;21,9;93,1;83;7,2;1,3;
2003-03-14;5,6;972,8;22,4;30,8;25,3;22;85,1;60;6,2;1,7;
2003-03-15;0;973,8;22,2;32,5;25,5;22;83,7;51;5;1,5;
2003-03-16;17,6;974,2;22,6;31;25,1;22;87,2;58;7,6;1,3;
2003-03-17;27,2;973,4;21,9;29,9;24,4;21,4;86,5;64;8,5;1,3;
2003-03-18;37,6;972,7;22;27,2;23,6;21,4;91,1;72;7,3;1,4;
2003-03-19;6,4;973,7;22,2;29,3;24,5;21,8;87,8;66;7,3;1,6;
2003-03-20;,2;974,3;21,9;29,8;24,7;21,3;85,6;60;5,8;1,6;
2003-03-21;0;973,3;22,6;25,8;23,8;23;93;81;5;1,1;
2003-03-22;8,8;972,6;21,6;30,7;24,2;21,2;86,1;60;7,7;2,1;
2003-03-23;1,4;972,8;21,7;29,4;23,9;21,1;88,4;66;4,8;1,4;
2003-03-24;5,2;972,9;22,4;29,9;24,4;22,3;89,1;60;9,5;1,7;
2003-03-25;20,2;973,2;22,1;27,9;23,5;22,1;91,8;72;10,6;2,2;
2003-03-26;26,4;973,1;21,6;28,4;23;21,3;92,5;70;8,6;1,2;
2003-03-27;19,2;973,9;22,3;28,9;24,4;21,6;88,8;69;5,8;1,4;
2003-03-28;,2;974,9;22,4;31,2;24,9;20,9;86,7;57;11,3;1,5;
2003-03-29;56,4;974,6;22,1;31,2;24,6;21,6;87,5;53;6,8;1,1;
2003-03-30;0;972,2;22,4;31,3;25,3;21,4;85,4;54;5;1,1;
2003-03-31;,4;972,9;22,1;31,3;25,3;21,5;83,1;53;7;1,7;
2003-04-01;,2;974,2;21,6;31,1;25,1;21,7;82,8;48;5,5;1,5;
2003-04-02;0;973,7;22,3;32,1;26,1;21,8;81,6;52;6;1,1;
2003-04-03;0;973;22,2;31,9;25,8;22,2;82;54;7,5;1,5;
2003-04-04;0;972,6;22;30,8;24,8;20,7;85,3;60;10,7;1,4;
2003-04-05;0;973,7;22,4;32,6;24,7;21,3;88,2;56;8,3;1,5;
2003-04-06;19,8;974,5;21,9;31,1;25,1;21,6;84,3;52;6,3;1,4;
2003-04-07;,4;972,3;22;31;25,3;22,5;82,7;56;5,2;1,4;
2003-04-08;1,4;971,9;22,7;31,4;25,8;22,8;84;59;7,8;1,4;
2003-04-09;1;972,8;22;30,6;23,9;21,9;89,5;65;7,1;1,2;
2003-04-10;5,2;974,4;22;25,4;23,1;21,7;93,9;84;7,6;1,2;
