Nome: SORRISO
Codigo Estacao: A904
Latitude: -12.555
Longitude: -55.72277777
Altitude: 379.31
Situacao: Operante
Data Inicial: 2002-12-15
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-15;null;null;null;null;null;null;null;null;null;null;
2002-12-16;null;null;null;null;null;null;null;21,1;null;null;
2002-12-17;null;null;null;null;null;null;75,3;54;null;null;
2002-12-18;null;null;null;30,3;null;23;81,2;61;null;null;
2002-12-19;null;null;21,4;28,2;null;22,1;81,6;63;null;null;
2002-12-20;null;null;22,1;28,5;23,8;22,8;90,3;66;null;null;
2002-12-21;null;null;21,2;32,3;25;20,5;81,5;49;null;null;
2002-12-22;null;null;21,3;32,9;27;21,5;73,5;46;null;null;
2002-12-23;null;null;21,2;32,1;27,1;22,9;70,9;51;null;null;
2002-12-24;null;null;21,7;33,6;26,4;21,7;76,8;44;null;null;
2002-12-25;null;null;22;33,6;27,1;23,5;75,2;47;null;null;
2002-12-26;null;null;21,9;31,3;26;22,4;78,9;54;null;null;
2002-12-27;null;null;21,7;31,8;26,6;22,3;75,4;53;null;null;
2002-12-28;null;null;21,5;29;24,5;20,4;84,2;66;null;null;
2002-12-29;null;null;21,6;28,1;24;21,2;86,9;71;null;null;
2002-12-30;null;null;21,5;27,4;23,4;21,1;89,6;74;null;null;
2002-12-31;null;null;21,4;29,7;23,9;21,1;86,8;62;null;null;
2003-01-01;null;null;21,4;26,4;23;21,1;91,2;75;null;null;
2003-01-02;null;null;22,1;30,5;24,8;20,8;85,5;58;null;null;
2003-01-03;null;null;22,5;28,1;24,3;22,6;89,7;75;null;null;
2003-01-04;null;null;22,1;30;24,7;22,4;86;65;null;null;
