Nome: GUARANTA DO NORTE
Codigo Estacao: A906
Latitude: -9.9525
Longitude: -54.89777777
Altitude: 283.58
Situacao: Operante
Data Inicial: 2002-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-19;null;null;null;null;null;null;null;null;null;null;
2002-12-20;null;null;null;null;null;null;null;21,6;0;null;
2002-12-21;null;null;null;null;null;null;null;43;null;null;
2002-12-22;null;null;null;null;null;null;null;39;null;null;
2002-12-23;null;null;null;null;null;null;66,6;49;null;null;
2002-12-24;null;null;null;null;null;null;76,1;58;null;null;
2002-12-25;null;null;null;32,3;null;23;81,6;56;null;null;
2002-12-26;null;null;22,3;31;null;22;83;59;null;null;
2002-12-27;null;null;22,8;30,5;25;23,1;87,9;65;null;null;
2002-12-28;null;null;22,6;30,2;24,7;23,1;88,4;63;null;null;
2002-12-29;null;null;22;29;24,3;21,8;87,3;67;null;null;
2002-12-30;null;null;21,8;28,8;24,4;22,2;86,4;64;null;null;
2002-12-31;null;null;22,2;32,8;25,8;22,5;82,2;48;null;null;
2003-01-01;null;null;22,8;29,8;25;23,2;88,2;61;null;null;
2003-01-02;null;null;23;32;25,5;23,2;87,1;58;null;null;
2003-01-03;null;null;22,4;31,2;25,4;22,3;84,6;56;null;null;
2003-01-04;null;null;22,5;29,1;24,4;22,9;89,8;70;null;null;
2003-01-05;null;null;22,2;32,6;25,4;22,2;83,7;54;null;null;
2003-01-06;null;null;23,1;32,1;26,5;23,5;82,5;55;null;null;
2003-01-07;null;null;22,9;33,2;26,5;23;82,6;50;null;null;
2003-01-08;null;null;22,6;30,7;24,7;22,4;89,3;61;null;null;
2003-01-09;null;null;22,2;33,4;26,2;21,5;80,3;46;null;null;
2003-01-10;null;null;23,1;32,9;25,8;22,4;86;55;null;null;
2003-01-11;null;null;21,7;34,8;27,3;21,6;74,7;38;null;null;
2003-01-12;null;null;22,5;33,9;27;22,8;78,2;43;null;null;
2003-01-13;null;null;22,8;33,5;27,1;22,6;79,3;48;null;null;
2003-01-14;null;null;22,2;29,3;24,6;22,4;87;68;null;null;
2003-01-15;null;null;22,6;31,4;24,9;22,7;87,7;55;null;null;
2003-01-16;null;null;22,5;28,6;23,9;23,2;92,4;72;null;null;
2003-01-17;null;null;22,5;30,9;24,9;22,2;87,6;60;10,7;null;
2003-01-18;106,2;981,1;21,9;27;23,5;21,5;91,2;70;7,8;2;
