Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2003-11-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-11-16;null;null;null;null;null;null;null;null;null;null;
2003-11-17;null;null;null;null;null;null;null;65;3,8;null;
2003-11-18;null;null;null;null;null;null;67,4;52;7,1;null;
2003-11-19;,6;977,6;20,3;27,8;23,8;20,9;81,1;63;8;2,9;
2003-11-20;0;978;20,1;32,5;24,4;20,5;79,7;42;9,2;2,1;
2003-11-21;5,2;978,5;21,2;30,5;24,8;21,7;81,9;55;8;2,2;
2003-11-22;,6;978,4;21,4;30,7;25,4;23;80,2;48;8,7;2;
2003-11-23;1,2;977,7;21,3;31;25,4;22,2;79,7;54;7;1,4;
2003-11-24;0;975,6;20,8;35,6;27,1;21,7;71,1;34;12,3;2,3;
2003-11-25;17,4;976,1;21,7;33,7;26,5;22,4;76,1;50;10,8;2,8;
2003-11-26;8,6;977,2;21,6;34;25,6;22,5;79,8;47;13,1;2;
2003-11-27;1;977;21,7;33;25,2;21,8;82;52;14,6;2,3;
2003-11-28;3;975,6;21,6;33,1;25,8;21,9;79,2;50;15,5;2,3;
2003-11-29;,2;974,5;21,8;33,9;25,7;22,2;80,4;48;11,9;2,2;
2003-11-30;2,2;975;21,7;33;25,5;22,3;80,8;51;10,2;2,7;
2003-12-01;,2;975,9;22,2;30;24,3;23,4;88,3;65;8,1;1,9;
2003-12-02;40,6;974,7;22;31,9;25;22,2;84,2;55;11,6;2,2;
2003-12-03;0;975,3;21,4;30,9;26,1;23;76,7;54;9;2,3;
2003-12-04;2;975,8;22,1;32,3;26,4;22,9;79;49;10,8;2,7;
2003-12-05;3,2;976;22,8;31;25,7;23,3;85;61;14,4;1,9;
2003-12-06;13,6;976,8;22,5;29;24,8;22,9;87,5;69;10,2;2,3;
2003-12-07;1,4;976,7;21,7;33,4;25,8;21,5;79,9;49;8,3;2,1;
2003-12-08;0;976,4;22,7;33,3;26,1;22,7;82,8;54;13,1;2,1;
2003-12-09;10,8;979,1;21;26,1;22,6;23;90,6;82;9,5;2,9;
2003-12-10;64,2;977,6;20,5;32,6;23,6;19,8;84;51;14,3;2,1;
2003-12-11;11;978,3;22;33,6;25,3;21,2;83;51;12,2;2,1;
2003-12-12;5,4;978,6;20,8;34;26,5;20,9;73,8;41;20,3;2,1;
2003-12-13;0;976,5;21,4;35,9;27,7;21,7;71,3;37;7,1;2,2;
2003-12-14;0;976,9;21,7;34,3;26,9;21,9;74,9;46;13;2,5;
2003-12-15;1,2;977,9;21,6;35,3;27,2;22;74,5;41;7,1;1,9;
2003-12-16;0;978,2;21,5;36,3;27,7;21,8;71,8;34;13,8;2,3;
2003-12-17;0;978,7;21,7;33,4;26,6;22,4;76,3;50;11,6;2,2;
2003-12-18;1,4;979;21,9;35,5;26,8;22;77;47;8,4;2;
2003-12-19;43,6;980,1;21,4;32,4;25,9;21,5;77,9;45;13;1,9;
2003-12-20;,2;979,6;22,2;35;28,2;22,5;72,7;40;8,6;1,7;
2003-12-21;,2;977,9;22;35,1;28,3;22,8;71;42;10,4;1,8;
2003-12-22;0;976,2;22,2;35,7;27,9;22,9;73,5;40;7,8;1,9;
2003-12-23;0;977,4;21,7;29,1;25,3;23,3;81,1;62;7,9;2,1;
2003-12-24;0;977,6;20,7;34,7;27,3;21,2;70,5;37;5,7;1,8;
2003-12-25;3;978,3;22;33,8;27,5;22,7;73,7;46;10,3;2,5;
2003-12-26;24;976,8;21,5;32;26,2;21;76,7;51;17,8;2;
2003-12-27;0;974,7;22,7;30,8;26,5;22,9;80,4;63;7,4;1,9;
2003-12-28;0;974,4;21,8;32,4;26,8;22,4;75,8;49;10,2;2,6;
2003-12-29;0;975,3;21,9;32,3;26,3;23,3;78,4;50;10,3;2,8;
2003-12-30;24,4;977,1;22;30,4;24,8;21,9;84,9;61;12,7;2,6;
2003-12-31;3,2;978,6;21,6;32,9;26,2;22,4;77,8;49;10,1;2,7;
2004-01-01;10,8;978,2;22,1;31,6;25,2;21,9;84;56;11,3;1,9;
2004-01-02;5,4;976,7;22,2;32,4;26;23,1;81;56;9,5;2;
2004-01-03;0;975,3;22,6;31,6;26;23,2;82,4;60;8;2;
2004-01-04;,2;974,8;22,8;32,2;26,1;23,6;83,3;55;7,3;2,2;
2004-01-05;11;975,6;22,4;33,1;27,2;23,2;76,4;49;9,8;2,2;
2004-01-06;0;976,7;21,7;32,7;27,4;23,2;72,7;48;12,3;2,9;
2004-01-07;0;977,7;22,1;32,9;26,4;23,2;78,2;51;7,5;2,4;
