Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Pane
Data Inicial: 2006-11-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-01;null;null;null;29;null;null;null;13;8,7;null;
2006-11-02;null;979;4,2;29,4;25,8;23,5;26,4;10;8,2;1,8;
2006-11-03;0;979,4;3,3;32,8;26,9;23,7;23,8;12;7,9;1,2;
2006-11-04;4,8;979,1;4,4;29,8;24,4;22,7;30,9;16;10,3;,7;
2006-11-05;4,2;977,8;1;32,4;26,6;22,8;20,3;10;4,7;,9;
2006-11-06;0;976,7;1,8;34,8;27,3;23,1;19,8;10;14,3;,9;
2006-11-07;,4;978,7;3;29,4;25,8;23,3;23,5;10;7,2;,8;
2006-11-08;,6;978,4;2,4;32,4;26;23,1;22,2;10;10,2;1,1;
2006-11-09;,2;979,1;1;32,3;25,4;22,4;22,6;10;8;1,2;
2006-11-10;0;979,8;-1,8;32,3;26,6;23,4;17,2;10;6,4;1,8;
2006-11-11;0;980,9;null;29,1;25,5;22,1;null;10;9,2;2;
2006-11-12;0;980,5;null;32,3;25,8;19,9;20,7;10;7,6;1;
2006-11-13;0;979,6;null;34,5;26,7;21,1;23,2;15;13,1;1,3;
2006-11-14;7;979,8;5,2;30,9;25,3;22,8;26,9;22;8,9;1,8;
2006-11-15;14,2;978,9;2,2;32,7;26,1;22,5;26,8;10;9,3;1,4;
2006-11-16;0;979,1;1;33,5;26,8;22;17,8;11;11,8;1,4;
2006-11-17;,6;980,3;null;34,8;27,3;22;24,4;12;6,9;,8;
2006-11-18;0;980,4;null;34,2;26,8;21,6;null;12;4,9;1;
2006-11-19;0;980,9;null;33,5;25,1;21,7;26,3;11;10,3;,9;
2006-11-20;1,6;982,1;null;30,4;24,6;21,6;null;10;5,3;1,3;
2006-11-21;0;980,9;null;34,2;26,9;21;null;10;7,3;,9;
2006-11-22;8,8;980,7;4,4;31,7;25,4;22,9;33,2;10;8,5;1,2;
2006-11-23;13,6;979,3;-,2;31,5;25,2;22,1;24,4;10;9,2;1,4;
2006-11-24;1,4;979,3;null;32,3;26,1;22,5;11,8;10;7,1;1,3;
2006-11-25;0;979,1;null;33,4;27,2;22,3;null;10;9,2;1,3;
2006-11-26;0;978,7;null;34,4;27,1;23;null;11;11,3;1;
2006-11-27;8,2;979,2;-3,8;27,3;24,8;23,2;16,2;10;6,6;1,7;
2006-11-28;0;978,6;null;30,8;25,1;23,3;16;10;11,6;1;
2006-11-29;,2;979;-6,1;31,9;25,5;23,2;13,5;10;10,1;1,3;
2006-11-30;26,6;978,9;null;33,2;26,6;22;14,5;10;10;1,5;
2006-12-01;2;978,8;null;27,2;24,7;23,3;null;10;9,7;1;
2006-12-02;19,6;978,7;-2,7;27,5;24,3;22,9;16,7;11;8,9;1,4;
2006-12-03;13;978,2;-3,3;31,5;25,9;21,9;16,2;10;7,2;,9;
2006-12-04;14,2;978,8;-4;30,5;25,5;23,4;15,4;10;8,1;1,1;
2006-12-05;6,2;980,4;-5,1;29,2;24,9;22,8;13,8;10;6,2;1,1;
2006-12-06;1;980,1;-5,3;30,9;25,3;22,6;13,2;10;9,9;1;
2006-12-07;5;978,6;-5,8;32,2;25,6;23,1;12,6;10;8,9;1,1;
2006-12-08;6,6;980,5;-6,8;24,7;23,4;23,2;12,9;11;9,3;1,2;
2006-12-09;7,4;980,6;-6,2;30,7;25,2;21,8;13,6;11;5,5;1;
2006-12-10;0;979,9;-6;32,3;26,1;22,7;12,7;11;9,5;1;
2006-12-11;2,2;980,7;-5,3;30,9;24,8;22,9;14;12;12;1,5;
2006-12-12;4,2;980;-5,1;29,3;24,4;22,2;14,2;13;9,7;1,3;
2006-12-13;6,4;979,7;-4,6;30,1;25,2;22,7;14,4;13;8,3;1,4;
2006-12-14;5,2;979,9;-3,5;28,2;24,5;22,6;15,5;14;9,1;1,9;
2006-12-15;1,2;981,5;-3,5;29,8;25,1;22,9;15,1;13;7,8;1,3;
2006-12-16;,4;980,7;-2,5;30,9;26,3;23,3;15,9;14;9,3;1;
2006-12-17;2,8;980,5;-2,3;30,7;25,2;22,9;16,8;14;8,6;1;
2006-12-18;10,6;980,2;-1,3;31,4;25,8;23,7;18,1;15;15,3;1,3;
2006-12-19;8,8;981;-3;27,3;24,5;22,9;16;13;8,6;1,4;
2006-12-20;0;980,9;null;31,6;25,6;21,1;16,7;14;5,3;,6;
2006-12-21;0;981,5;null;33,1;26,6;23;16,1;12;8,2;,9;
2006-12-22;0;981,8;-4,7;33,2;25,7;22,7;14,2;12;8,8;1,1;
2006-12-23;3,2;null;null;27,1;null;22,1;23,7;11;7,4;null;
2006-12-24;null;981,1;null;32,9;25,8;20,2;17,5;10;5,7;1;
2006-12-25;null;null;null;null;null;null;null;13;4;null;
2006-12-26;null;null;null;null;null;null;null;14;9,5;null;
2006-12-27;9;981,8;null;33;26;22,6;null;15;12,8;1;
2006-12-28;0;982,6;null;31,4;25,4;23;null;14;12,4;,9;
2006-12-29;10,2;983,1;null;31;26,2;22,6;null;13;6,7;1,3;
2006-12-30;26;982;null;33,8;25,7;21,3;null;12;9,8;1,5;
2006-12-31;12,6;982,7;null;29,5;23,9;21,8;null;13;8,9;,7;
2007-01-01;7,6;981,1;null;31,1;25,8;22,7;null;null;10,6;1,1;
2007-01-02;6;980,8;null;31,6;25,9;23,7;null;null;12;1;
2007-01-03;13,2;981,6;null;32,5;25,3;21,7;null;null;12,6;1,3;
2007-01-04;5,4;980,4;null;31,5;25,9;23,2;null;null;6,3;1;
2007-01-05;49,2;980,2;null;30,1;24,4;22,4;null;null;10,9;1,4;
2007-01-06;38,8;980,3;null;27,1;23,8;21,8;null;17;5,7;1,1;
2007-01-07;5,6;980,1;null;31,7;25,4;22,1;null;16;7,9;1;
2007-01-08;31,2;980,5;null;30,3;25,3;21,2;null;null;8;1;
2007-01-09;2,2;980,3;null;32,6;26,3;23;null;null;10,1;1,1;
2007-01-10;0;981;null;27,1;24,6;23,7;null;null;14;1,4;
2007-01-11;3,6;981;null;32,7;26;21,1;null;null;4,7;,7;
2007-01-12;0;979,6;null;33,3;26,7;22,7;null;null;8,9;1,1;
2007-01-13;,4;977,9;null;32,7;26,5;23,6;null;null;8,3;1,8;
2007-01-14;7,8;978,6;null;30,6;25,4;22,8;null;null;13;2,1;
2007-01-15;3,8;979,5;null;29,2;24,9;23,2;null;null;8,3;1,9;
2007-01-16;0;980;null;31,6;26;23;null;null;4,6;,6;
2007-01-17;0;979,9;null;32,5;26,6;23,8;null;null;6,5;1,4;
2007-01-18;24,8;980,5;null;31;25,3;23,2;null;null;9,7;1,2;
2007-01-19;2,4;980,3;null;33,4;26,7;22,7;null;null;6;,9;
2007-01-20;0;980,6;null;31,4;25,7;23,4;null;null;10,8;1;
2007-01-21;,6;981,7;null;32,5;26,1;22,5;null;null;6,6;,7;
2007-01-22;1,4;980,3;null;34;27,6;23,1;null;null;9,8;1;
2007-01-23;,8;979,3;null;32,5;26,8;23,1;null;null;9,4;1,5;
2007-01-24;0;979,3;null;31,1;26,5;24,2;null;null;10,1;1,5;
2007-01-25;0;979,3;null;32,3;25,5;23,7;null;null;13,7;1,3;
2007-01-26;73;980,9;null;26,7;24;22,3;null;null;6,1;,9;
2007-01-27;6,6;981,8;null;30,1;25,4;22,3;null;null;5,3;1;
2007-01-28;,8;980,8;null;31,4;25,5;23,4;null;null;12,9;1,1;
2007-01-29;,2;982,2;null;27,4;24,7;23,8;null;null;6,4;1,2;
2007-01-30;5,2;981,7;null;31,8;26,4;23,3;null;null;4;,9;
2007-01-31;,2;980,6;null;31;25,9;23,6;null;null;8,3;1,1;
2007-02-01;9,2;981,1;null;29,5;25,2;23,2;null;null;8,2;1,2;
2007-02-02;2,4;981,1;null;26,1;24,4;23,6;null;null;11,4;1,9;
2007-02-03;,6;980,5;null;31,2;25,4;23;null;null;14,4;1,6;
2007-02-04;9,6;980,4;null;28,8;24,9;23,6;null;null;11,5;1,5;
2007-02-05;,8;980,9;null;30,4;24,5;22,9;null;null;10,9;1,2;
2007-02-06;1,6;980,3;null;29,8;25,5;23;null;null;7,7;1,5;
2007-02-07;0;980,7;null;29,8;25,8;23,6;null;null;8,1;1,8;
2007-02-08;8,6;980,7;null;27,5;24,5;23,2;null;null;7,5;1,8;
2007-02-09;6,8;981,8;null;28,8;24,7;22;null;null;5,1;1,2;
2007-02-10;28,8;983,6;null;30,1;25,3;22,3;null;null;7,1;1,2;
2007-02-11;0;982,2;null;33,5;26,5;22,9;null;null;9,8;,7;
2007-02-12;1;980,9;null;28,5;24,7;23,3;null;null;11,2;1,3;
2007-02-13;33,4;979,7;null;31,2;25,3;22,6;null;null;8,8;1,1;
2007-02-14;21,2;979,1;null;29,2;25,2;23,4;null;null;9,5;1,7;
2007-02-15;32;978,8;null;28,9;24,6;22,6;null;null;15,1;1,6;
2007-02-16;5,2;978,2;null;30,8;25,5;22,3;null;null;11,2;1,3;
2007-02-17;15;978,8;null;31,3;25,7;22,5;null;null;7,5;2;
2007-02-18;74,6;980,7;null;30,8;24,1;21,3;null;null;11,1;1,8;
2007-02-19;47,2;980,3;null;30,2;23,1;20,8;null;null;13,7;1,4;
2007-02-20;23,8;978,7;null;26,9;23,7;22,3;null;null;6,3;1;
2007-02-21;64,8;978,6;null;27,2;23,5;21,2;null;null;5,1;1,1;
2007-02-22;,4;980,6;null;28,8;24,4;22,5;null;null;5,6;,9;
2007-02-23;0;981,9;null;31,4;25,8;22,6;null;null;9,1;2,1;
2007-02-24;0;982,5;null;31,7;25;22,2;null;null;14,1;1;
2007-02-25;11,6;982,1;null;31,9;25,2;21,5;null;null;8,7;,6;
2007-02-26;0;980,6;null;33,6;26,1;21,9;null;null;8;1;
2007-02-27;35,8;981,3;null;30,4;25,5;21,8;null;null;8,6;1,7;
2007-02-28;0;980;null;32,5;25,8;22,1;null;null;8,3;,6;
2007-03-01;4,2;978,8;null;32,7;26,7;23,2;null;null;9,3;1,2;
2007-03-02;18,4;979,7;null;31,1;25;22,1;null;null;11,4;,5;
2007-03-03;13,2;980,4;null;30,7;25,2;22,5;null;null;5,3;,7;
2007-03-04;,6;979,7;null;33,4;27,1;22,5;null;null;7,2;,9;
2007-03-05;0;980,3;null;32,9;26,1;22,5;null;null;10;,8;
2007-03-06;1,8;981,3;null;32,8;24,9;22,2;null;null;11,4;,8;
2007-03-07;1,2;982,6;null;32,6;26,5;22,3;null;null;8;,9;
2007-03-08;0;981,6;null;32;25,3;21,5;null;null;6,7;,7;
2007-03-09;2,6;980,7;null;31,8;26;21,8;null;null;6,5;1,2;
2007-03-10;0;980,5;null;32,6;25,7;21,5;null;null;11,3;,9;
2007-03-11;,4;980,7;null;31,3;25,6;22,5;null;null;6,7;1,2;
2007-03-12;15,4;980,9;null;30,1;25,1;21,9;null;null;7,4;1,8;
2007-03-13;,2;981,2;null;31,9;26;23,1;null;null;9,2;,8;
2007-03-14;2,2;980,8;null;29,8;25,2;23,4;null;null;9,3;1,3;
2007-03-15;46;981;null;30,6;24,6;22;null;null;13,4;1,5;
2007-03-16;,6;981,1;null;31,7;25,6;22,7;null;null;8,9;,9;
