Nome: SINOP
Codigo Estacao: A917
Latitude: -11.98222221
Longitude: -55.56611111
Altitude: 366.57
Situacao: Operante
Data Inicial: 2006-10-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-28;null;null;null;null;null;null;null;null;2,1;null;
2006-10-29;null;966,9;null;null;null;null;null;71;7,4;1,3;
2006-10-30;null;null;null;null;null;null;null;74;4;null;
2006-10-31;null;null;null;null;null;null;null;null;null;null;
2006-11-01;null;null;null;null;null;null;null;null;null;null;
2006-11-02;null;null;null;null;null;null;null;null;null;null;
2006-11-03;null;null;null;null;null;null;null;null;null;null;
2006-11-04;null;null;null;null;null;null;82,2;63;11,7;null;
2006-11-05;null;966,3;22,1;33,3;null;22,4;73,1;45;5,5;1,3;
2006-11-06;0;965,4;22,3;34,2;27,4;23,5;76,1;43;7,9;2;
2006-11-07;1,8;967,3;22,1;28,8;24,7;22,7;86,1;62;7,9;1,7;
2006-11-08;,4;966,8;22;31,7;25,5;21,9;83;53;10,8;1,5;
2006-11-09;3;967,8;22,2;30,9;24,4;22,5;88,6;57;12,9;1,4;
2006-11-10;11,2;968,3;22,1;28,9;24,3;21,7;88,6;61;8,6;2,3;
2006-11-11;8,2;969,1;20,6;27,5;23,5;19,8;84,3;63;7,1;2,3;
2006-11-12;0;968,9;20,5;31;25,5;21,3;76,3;46;6,6;1,8;
2006-11-13;0;968,4;19,9;32;26,8;21,1;67,8;41;7,7;2,4;
2006-11-14;0;968,3;20,7;30,4;25,5;20,6;75,7;56;8,4;1,8;
2006-11-15;0;967,9;20,2;32,7;26,1;21,9;72,1;43;7,8;1,9;
2006-11-16;0;967,9;19,1;34;27,4;21,4;64,3;31;10,4;2;
2006-11-17;0;968,7;17,3;35,9;28,3;19,7;55,8;22;8,2;1,6;
2006-11-18;0;968,7;20;34,2;27,7;21,5;64,8;37;8;1,8;
2006-11-19;0;968,8;20,7;34,7;27,4;21,7;69,4;36;7;1,7;
2006-11-20;0;970,3;20,5;30;24,9;22,2;76,8;55;6,9;2,5;
2006-11-21;0;969,6;20,6;33,5;26,3;19,8;73,6;41;6,3;,8;
2006-11-22;0;969,1;21,3;32,2;24,9;22;81,8;50;18;2,7;
2006-11-23;8,2;967,9;20,2;31,3;24,6;19,8;79,2;50;7,6;1,5;
2006-11-24;1,6;968,1;21,4;32,8;25,9;22,5;78,5;44;6,6;1,7;
2006-11-25;0;968;21,4;33,4;26;21,4;77,9;45;16,6;1,8;
2006-11-26;27,6;967,4;22,1;33,9;27;22,5;77,1;43;9,3;1,5;
2006-11-27;,4;967,7;22,2;26,2;23,8;23;90,9;81;10,2;2,4;
2006-11-28;,2;967,3;21,9;30,9;24,2;21,5;88;57;11,6;1,5;
2006-11-29;,8;967,9;22,4;27,2;24,1;22,5;90,3;75;7,1;1,5;
2006-11-30;2,4;967,3;21,8;33,1;26,3;21,6;79,1;40;6;1,2;
2006-12-01;71;967,3;22,4;28,1;24,7;21,9;87,5;71;7,3;1,3;
2006-12-02;2,8;967,1;22,4;28,8;24,5;22,2;88,5;65;8,6;2,3;
2006-12-03;14,4;967,2;22,3;28,4;24,5;22,2;88,3;67;7,3;1,1;
2006-12-04;2,4;967,5;22,6;30,1;25,7;23,1;83,6;61;9,7;1,3;
2006-12-05;33,2;969,3;22,1;28;24;21,6;90,1;73;7,7;2,2;
2006-12-06;0;968,8;22,5;31,8;25,5;22,2;84,8;53;12,5;1,6;
2006-12-07;2,4;967,2;22,3;31;24,7;21,4;87;61;9,7;1,5;
2006-12-08;30;969,3;20,9;24,9;21,9;21;94,3;83;9;2,1;
2006-12-09;22,4;969,4;21,6;28,7;23,7;20,6;88,5;69;4;,9;
2006-12-10;0;968,4;22,5;31,6;26,1;22,6;82,1;51;6,7;1,5;
2006-12-11;11;969,1;22,1;29,6;23,9;21,6;90,3;65;9,1;2,2;
2006-12-12;20,2;968,5;22,7;29,4;24,7;22,3;89,3;65;8;1,9;
2006-12-13;15,4;968,2;22,3;29,4;24,2;21,6;89,5;68;9,5;2,4;
2006-12-14;8,6;968,5;22,5;29,3;24,1;22;91,4;70;12,8;2,1;
2006-12-15;52,8;970,4;21,5;26,7;23;21,2;91,3;75;10;1,6;
2006-12-16;10,6;969,4;22,2;31,5;25,3;21;84;56;6,1;1,2;
2006-12-17;,6;969,2;22,4;30,4;24,5;22,1;88,5;63;10,7;1,1;
2006-12-18;,4;968,9;22,5;30,7;24,7;22,7;88,4;61;9,6;1,5;
2006-12-19;4,2;969,9;21,3;24,7;22,5;21,8;93;76;7,3;1,9;
2006-12-20;4;969,6;20,9;31,6;24,8;19,3;81;51;4,9;1,1;
2006-12-21;,2;970,2;22,3;31,2;25,5;22,2;83,3;58;10,4;1,4;
2006-12-22;13,4;970,5;21,9;31,4;24,8;21,5;85,4;57;14,2;1,5;
2006-12-23;4,2;null;null;29,5;null;21,4;89,8;70;7,1;null;
2006-12-24;null;970;21,1;29,7;23,7;18,7;86,5;62;4,5;1,2;
2006-12-25;null;null;null;null;null;null;null;79;3,1;null;
2006-12-26;null;null;null;null;null;null;88,6;78;7,1;null;
2006-12-27;,2;970,5;21,8;31,5;25;20,2;84,1;53;4,7;1,2;
2006-12-28;29,8;971,3;22,4;30,7;25,3;21;85,1;62;11,9;1,6;
2006-12-29;0;971,6;22,5;26,7;24,1;22,3;91;73;8,5;1,5;
2006-12-30;15,4;970,6;21,7;32,1;25,2;20,6;82,1;52;8,9;1,4;
2006-12-31;34,6;971,2;21,7;29,5;24,5;21,2;85,3;60;8;1,6;
2007-01-01;5;969,7;22,6;30,8;25,5;22,4;84,8;58;9,1;1,7;
2007-01-02;3,4;969,8;22,5;29,9;25,1;22,1;85,9;64;6;2;
2007-01-03;13,4;970,2;22,1;31,8;24,7;21,7;86,6;59;11,6;2,2;
2007-01-04;12,6;969,1;21,7;31,7;25,1;21;83;50;10,6;1,6;
2007-01-05;1,2;968,6;22,1;30,2;25;21,4;84,8;61;7,2;1,9;
2007-01-06;77,8;968,9;21,8;28,5;23,6;21,2;89,9;66;8,2;2,1;
2007-01-07;7,8;969,1;22,1;28,7;24,3;21,9;87,7;68;8,5;1,2;
2007-01-08;6,4;969,1;22,3;29,8;25,4;22,2;83,8;62;5,2;1,4;
2007-01-09;0;968,7;23,1;32;26,1;22,9;84,5;56;5,8;1,1;
2007-01-10;1,2;969,2;22,6;30,7;25,4;21,6;85,6;61;5,7;2,1;
2007-01-11;3;969,7;21,7;29,6;24,8;21,3;84,1;54;7,1;1,2;
2007-01-12;2,4;968,1;21,3;33,2;26,3;20,2;76,1;42;5,2;1,3;
2007-01-13;13;966,4;22,8;29,6;25,4;22,4;86;68;7,6;1,7;
2007-01-14;,4;967,1;22,3;29,1;24,9;22,2;85,9;67;11,1;2,9;
2007-01-15;,4;967,9;22,1;28,4;24;22;89,5;71;9,3;2,1;
2007-01-16;7,6;968,7;22,3;31,5;24,3;21,8;89,7;56;8,3;1,5;
2007-01-17;,6;968,4;22,3;32,9;24,9;22,2;86,8;51;12,2;1,6;
2007-01-18;,8;968,7;22,6;33,2;25,6;21,8;84,9;54;7,6;1,4;
2007-01-19;,4;968,9;22,7;32,9;25,9;21,4;83,9;53;9;1,6;
2007-01-20;0;969,2;22,8;31,8;24,7;22,6;89,6;60;16,2;1,1;
2007-01-21;7,4;970,4;22,1;32,7;25,9;21,6;81,7;50;4,5;1,3;
2007-01-22;0;968,9;22,6;34,4;26,9;22,3;79,5;44;8,3;1,1;
2007-01-23;4;968;22,3;33,2;25,2;21,6;85,3;48;11,4;1,8;
2007-01-24;25;968,2;22,8;29,9;24,5;22,1;90,3;65;8,7;1,6;
2007-01-25;5,8;968,3;22,6;29,1;24,6;22,2;88,9;65;8,4;1,7;
2007-01-26;5;969,3;22,4;29,6;24,2;22,4;89,8;65;12,3;1,5;
2007-01-27;48,8;970,8;21,6;28,2;23,7;21;88,9;65;5,9;1,4;
2007-01-28;2,8;969,5;22,4;31,5;25,4;22;84,8;58;10,1;1,7;
2007-01-29;,2;971;22,2;26,4;23,7;22,6;91,7;77;6,2;1,6;
2007-01-30;4,8;970,5;22;31,6;24,8;21,6;85,9;51;9,6;1,2;
2007-01-31;,4;969;22,4;28,6;24,6;21,9;88;69;7,9;1,1;
2007-02-01;,6;969,4;22,5;27,6;23,9;22,1;91,6;76;8,4;2,6;
