Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-10;null;null;null;null;null;null;null;null;null;null;
2007-07-11;null;null;null;null;null;null;null;null;null;null;
2007-07-12;null;1003,6;16,8;30,6;null;null;66;42;6,4;1,6;
2007-07-13;null;1002,9;19;33,2;25,7;20,1;69;40;5,4;1,2;
2007-07-14;0;1002;20,4;34,4;26,3;21;71,9;43;9;1,2;
2007-07-15;0;1002;21,8;32,5;25,5;21,2;81,2;51;9,3;1,1;
2007-07-16;1,4;1001,4;21,1;34,1;26;21,2;77,6;40;8,2;1,2;
2007-07-17;0;1001;21,4;34,3;26,8;21,2;75,5;41;7,7;1,4;
2007-07-18;0;1001,8;22,2;33,6;25,8;21,6;82,2;48;9,6;1,1;
2007-07-19;7,2;1001,8;22,7;30,2;25,2;22,4;86,5;65;7,2;,9;
2007-07-20;1,8;1001,5;22,5;31,8;25,6;22,4;84,5;54;4,5;1;
2007-07-21;0;1001,8;21,5;33,3;25,9;20,9;79;45;9,7;,9;
2007-07-22;,4;1000,8;21,2;34,6;27,4;21,4;72,2;40;7,9;1,8;
2007-07-23;0;1000,6;21,5;34,3;27,1;21,6;74,3;41;9,7;1,7;
2007-07-24;3;1000,5;22,7;34,6;25,7;22,1;84,7;46;9,7;1,4;
2007-07-25;3,4;1001,8;21,9;33,7;25,9;21,5;80,6;44;11,9;1,3;
2007-07-26;1,8;1006,6;15,6;27,6;22;18,1;70;38;12,7;2,6;
2007-07-27;0;1005,5;13,2;29,9;21,7;15;63,5;31;7,5;1,5;
2007-07-28;0;1005,2;15;32,3;23,7;16,4;64,1;30;7;1,4;
2007-07-29;0;1004,9;13,9;31,9;24,4;17,6;55,8;29;9,6;1,8;
2007-07-30;0;1003,6;14,8;32,4;24;16,6;60,5;30;7,2;1,3;
2007-07-31;0;1002,7;16,9;34,1;25;17,4;66,4;31;8,9;1,1;
2007-08-01;0;1001,3;19,1;34,8;25,8;19,4;70,6;33;4,8;,9;
2007-08-02;0;1001,9;18,4;35,6;26,5;19,8;67,2;26;7,3;1,3;
2007-08-03;0;1002,5;17,6;35,3;26,7;18,8;64;24;7,2;1,4;
2007-08-04;0;1002,9;16,8;35,5;25,8;17,6;64;24;8,5;1,5;
2007-08-05;0;1002,9;17,8;33,9;26;20,7;63,6;29;7,4;1,6;
2007-08-06;0;1001,7;17,6;34,2;null;18,3;66;30;10,8;1,2;
2007-08-07;0;1001,7;18,3;34,5;25,8;18,9;67,7;32;6,5;1,1;
2007-08-08;0;1000,4;18,8;35,6;27,3;19,8;64,2;30;7;1,4;
2007-08-09;0;1000,1;19,9;35;27,6;21,4;66,7;36;5,3;1;
2007-08-10;0;1001;21,7;35,4;27,8;22,1;72;40;8,9;1;
2007-08-11;,8;1001,9;20,1;36,1;27,9;21,8;68;28;8,1;1,5;
2007-08-12;0;1002,3;16,3;35,1;25,8;17,6;62;24;7,8;1,6;
2007-08-13;0;1001,2;17;36,6;26,4;18,1;62,7;27;7,8;1,3;
2007-08-14;null;null;null;36,6;null;19,7;53,4;18;7,4;null;
2007-08-15;0;1000,1;17;37,1;27;19,5;61,5;20;8,5;1,3;
2007-08-16;0;1001,2;16,2;36,6;27;19,9;58,6;20;8,8;1,4;
2007-08-17;0;1001,1;15,1;35,9;27,5;18,5;53,1;19;11,2;1,8;
2007-08-18;0;1001,2;14,4;35,5;25,8;18;55,8;18;8,2;1,6;
2007-08-19;0;1001,6;15,8;35,6;25,6;17,6;60,2;26;7;1,3;
2007-08-20;0;1002,6;16,7;34,2;26,7;20,8;57,7;30;10,3;1,9;
2007-08-21;0;1002,8;16,6;34,9;25,7;17,3;62,1;30;8,2;1,3;
2007-08-22;0;1001,6;17,3;35,8;27,1;19,4;59,9;27;5,3;1,2;
2007-08-23;0;999,9;18,4;35,7;27,6;19,6;61,3;32;5,8;1,2;
2007-08-24;0;999,1;20,8;35,2;27,8;22;68,4;37;8,8;1,8;
2007-08-25;,2;999,3;21,1;35,1;28,9;23,9;64,9;37;6,8;1,6;
2007-08-26;0;999,5;21,1;35,2;27,1;21,8;72,6;38;16,1;1,3;
2007-08-27;,4;1000,6;21,3;36,6;26,8;21,3;75,2;35;9,6;1,6;
2007-08-28;2,6;1003,5;18,8;28,9;23,1;18,7;77,8;51;6,7;1,9;
2007-08-29;0;1003,6;18,7;32,4;24,2;19;74,4;43;7,1;1,4;
2007-08-30;0;1003,2;18,8;33,9;26,9;20,9;64,8;37;9,5;2,1;
2007-08-31;0;1002,7;18;34,5;27,4;22,2;58,9;33;8,5;1,9;
2007-09-01;0;1003,3;20;34;26,7;22,7;69,2;40;6,8;1,2;
2007-09-02;0;1003;20,2;35,4;27,8;22,5;66,1;36;8,1;1,4;
2007-09-03;0;1002,3;20,7;35,3;27,9;21,7;68,4;40;5,9;1,2;
2007-09-04;0;1001,7;20,7;35;28,2;21,5;67,2;36;5,7;1,3;
2007-09-05;0;1001,8;20,7;35,8;28,2;22,5;67,6;33;9,4;1,7;
2007-09-06;,2;1003,5;21,6;32,2;27,1;23,5;73,1;49;6,5;1,2;
2007-09-07;0;1003,3;21,4;33,9;26,9;21,8;74,9;44;8,3;1,2;
2007-09-08;0;1001,8;21,5;34,4;25,8;21,3;78,6;42;11,6;1,2;
2007-09-09;4;1001,4;21,1;33,1;25,6;21,2;78,2;47;6,9;1,3;
2007-09-10;,2;1000,8;21,2;34,2;26,7;20,9;74,9;44;4,5;,9;
2007-09-11;0;1000;21,2;36,4;27,3;21,7;72,5;34;16,5;1,1;
2007-09-12;,2;999,7;20,7;36,5;28,5;22,4;67,3;31;5,9;1,2;
2007-09-13;0;999,5;21,8;35,4;28,2;22,5;70,5;42;8,8;1,3;
2007-09-14;0;999,5;21,5;35,9;28,8;22,9;68,8;37;7,8;1,5;
2007-09-15;0;1000,4;20,9;35,9;null;22,4;68;37;6,5;1,1;
2007-09-16;null;1001,1;21,2;32,8;27,6;23,3;69,6;44;9,8;1,6;
2007-09-17;0;1001,2;21,3;34,1;27,5;22,4;71;44;5;1,2;
2007-09-18;0;1000,8;21,2;36,4;27,4;21,9;72,3;36;10,1;1,4;
2007-09-19;0;1000,5;21;36,5;27,6;22,2;70;35;8;1,2;
2007-09-20;4,8;1000,5;20,4;35,9;27,7;21,6;69;32;16;1,6;
2007-09-21;22,6;1000,8;21,9;34,9;27,5;22,4;74,5;40;10,4;2,1;
2007-09-22;0;1001,1;20,9;36,5;28,6;22,2;67,3;33;5,6;1,2;
2007-09-23;0;999,5;20,9;36,6;28,7;22,2;67,2;35;6,3;1,1;
2007-09-24;0;1001,5;22,3;30,1;25,2;24,5;84;61;9,3;1,9;
2007-09-25;3;1004,1;16;29,9;24,3;19,7;62,5;39;11,4;2,3;
2007-09-26;0;1003,2;16,7;33,9;25,5;17,7;62,7;32;6;1,2;
2007-09-27;0;1002,6;18,9;35,7;27,1;19,9;65,6;31;4,9;1;
2007-09-28;5,6;1002,2;22,3;32,4;27;23,5;76,5;52;7,7;1,1;
2007-09-29;0;1001,4;21,9;36;27,8;22,4;74,6;35;8;1,3;
2007-09-30;0;1000,8;19,7;37,1;28,3;21,4;66,3;24;6,5;1,3;
2007-10-01;0;1001,1;20,7;36,6;27,9;22,1;68,7;31;8,9;1,1;
2007-10-02;0;1001,8;21,9;35,3;27,1;22,8;74,7;43;8,3;1,6;
2007-10-03;,4;1002;21,4;35;25,7;21,3;79,3;42;12,1;1,8;
2007-10-04;3,6;1000,9;20;34,8;26,2;20,7;73,7;32;11,1;1,2;
2007-10-05;0;999,5;20,7;35,5;27,3;20,9;71;36;7,2;1,4;
2007-10-06;0;998,5;21,7;35;26,6;22,5;76,4;39;13;1,5;
2007-10-07;1,2;997,9;21,6;36,4;26,9;21,8;75,8;34;9,6;1,3;
2007-10-08;,4;999,9;21,7;29,7;25,8;23;78,8;62;8,3;1,5;
2007-10-09;16,6;1000,2;21,4;33;26;21,2;78,4;50;9,4;,9;
