Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Pane
Data Inicial: 2008-01-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-01-23;null;null;null;null;null;null;null;null;null;null;
2008-01-24;null;null;null;null;null;null;null;null;null;null;
2008-01-25;null;null;null;null;null;null;null;65;8,9;null;
2008-01-26;null;951,2;21,1;29,6;23,1;21,2;89,1;60;11;1,1;
2008-01-27;3,2;950,6;21,6;28;23,2;21,5;91,2;66;6,9;1;
2008-01-28;7;949,9;21,6;28,4;22,9;21,5;92,7;63;8,6;1,1;
2008-01-29;27,6;949,3;21,8;28,3;23,2;21,4;92,3;68;8,7;1,1;
2008-01-30;45,4;948,1;21,5;25,5;22,5;21;94;78;8,8;1,4;
2008-01-31;4,6;945,7;21,8;30;24,6;21,4;85,4;56;6,8;1;
2008-02-01;0;946,8;22,2;30,2;24,9;22,8;85,8;63;7,5;2;
2008-02-02;,4;948,4;21,3;30,6;25,2;20,9;80,2;56;7,9;1,5;
2008-02-03;0;950,3;21,8;29,4;24,8;22,2;84,3;61;6,1;1,2;
2008-02-04;1,4;951,1;21,5;29,6;24,8;21,5;82,7;61;8,7;1,7;
2008-02-05;3,8;952;21,8;25,2;23;21,6;92,7;83;6,3;1,1;
2008-02-06;5,4;952,6;20,5;31,7;24,6;21;79,7;43;8,4;1,3;
2008-02-07;1,4;954,4;20,3;27,5;23,1;21;85;60;13,4;1,3;
2008-02-08;2,8;954,7;20,6;28,2;23,2;20,3;85,8;61;13,7;1,3;
2008-02-09;28,2;952,2;20,6;31,2;24,8;19,9;79,1;48;6,5;1,1;
