Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Pane
Data Inicial: 2008-05-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-29;51;995,9;21,1;30,9;23,5;20,4;86,9;null;8,3;1,6;
2008-05-30;0;1003,3;13,1;21,5;15;13,3;88,6;null;8,3;3,3;
2008-05-31;0;1003,5;12,7;18,3;14,5;12,2;89,3;null;6,2;2,3;
2008-06-01;0;1003;15,3;23,9;18,3;12,6;83,7;null;6,5;1,7;
2008-06-02;0;1000,1;17,3;26,9;20,1;16,4;84,9;null;4,2;1,2;
2008-06-03;0;998,7;18,9;28;21,2;17,7;88;null;6,8;1;
2008-06-04;0;998,2;19,4;28,7;22,1;18,1;85,6;null;4;,6;
2008-06-05;,2;997,4;18,3;32;22,8;16,9;80;null;7,1;,6;
2008-06-06;0;998,3;16,7;32,2;22,1;15;77,2;null;3,5;,4;
2008-06-07;0;996,8;17,3;32,7;22,7;16,1;76,4;null;6,7;,7;
2008-06-08;0;995,6;17,7;33,1;24;18,6;73,2;null;5,6;,6;
2008-06-09;0;996,8;18,4;33,4;24,2;18,3;75;null;5,2;,5;
2008-06-10;,2;997,7;19,6;27,8;22,5;18,3;84,3;null;5,5;1,1;
2008-06-11;,2;997;19,1;29,8;21,5;17,6;87,7;null;3,6;,6;
2008-06-12;0;997,1;19,3;32,4;23,3;17,2;81,3;null;3,5;,4;
