Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2008-01-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-01-23;null;null;null;null;null;null;null;null;null;null;
2008-01-24;null;null;null;null;null;null;null;null;null;null;
2008-01-25;null;null;null;null;null;null;null;null;null;null;
2008-01-26;null;null;null;null;null;null;null;null;null;null;
2008-01-27;null;null;null;null;null;null;null;null;null;null;
2008-01-28;null;null;null;null;null;null;78,4;57;9,3;null;
2008-01-29;5;973,3;22,1;28,1;24,8;22,6;85,4;67;13;2,9;
2008-01-30;,6;972,1;21,3;27,6;23,9;22,7;85,9;69;11;2,9;
2008-01-31;20,6;971,3;22,4;30,8;25,4;22,5;84,5;58;7,6;1,4;
2008-02-01;5;972,4;22,4;30,9;25,7;22,6;82,5;59;6,8;1,6;
2008-02-02;0;974;22,5;30,9;24,4;22,1;89,3;60;5,7;1;
2008-02-03;3,2;976;21,3;32;25,5;21,7;80;46;9,5;1,8;
2008-02-04;0;976,7;20,8;31,2;25,1;20,1;79,5;48;5,1;1,3;
2008-02-05;0;976,8;19,4;33;25,5;19,6;73,9;33;6,7;1,6;
2008-02-06;0;977;20,9;33,2;25;21;80,5;43;14,7;2,4;
2008-02-07;20,2;977,3;21,6;31,2;24,9;21;83,3;54;11,1;2,7;
2008-02-08;29,4;978,1;20,6;31,2;25;21,1;78,8;45;10,4;2,9;
2008-02-09;2,6;975,9;21,2;32,3;25,5;21,3;78,4;50;9,8;1,5;
2008-02-10;0;975,7;21,7;30,7;25,3;22,2;81,5;54;8,4;1,8;
