Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2008-08-25
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-08-25;null;null;null;null;null;null;null;null;null;null;
2008-08-26;null;null;null;null;null;null;null;null;null;null;
2008-08-27;null;null;null;33,8;null;null;41,2;30;8,5;null;
2008-08-28;0;944,3;17,9;33,7;26,5;22,1;60,7;34;8,6;1,9;
2008-08-29;0;945,9;18,4;31;23,5;21,1;74,3;40;15,6;1,7;
2008-08-30;44,8;945,8;15,6;31,1;23,4;17;64,3;35;7,1;2,2;
2008-08-31;0;945,6;12,6;33,5;25,1;17,8;47,9;28;7;1,7;
2008-09-01;0;944,9;12,9;35,1;28,2;20,9;42,3;20;8,1;1,9;
2008-09-02;0;943,9;14,7;35;28,4;21,9;45,8;20;8,7;1,5;
2008-09-03;0;943,9;17,6;34,5;26,9;21,5;60,6;32;9,7;1,7;
2008-09-04;3,6;945,8;18,9;31,4;24,9;20,3;71,2;40;11,2;2,3;
2008-09-05;0;946,1;19,9;28,4;23,8;21,7;79,5;62;10,6;1,5;
2008-09-06;17,6;948,5;17,1;23,2;20,1;17,7;83,3;59;8;2,4;
2008-09-07;0;949,8;13,3;27,4;19,5;13;69,3;45;7,9;2,6;
2008-09-08;0;948,2;14,7;32,7;24;15;58,7;32;6;1,7;
2008-09-09;0;947,3;17,2;34,8;26,8;21,3;58;31;6,8;1,2;
2008-09-10;0;947,8;18,5;33,9;25,6;22,6;66,5;35;14;1,4;
2008-09-11;7;947,9;16,3;33,3;25,5;19,9;59,7;30;13,5;1,6;
2008-09-12;0;946,9;16,6;34,1;26,7;20,8;57,5;27;8,9;1,2;
2008-09-13;,6;947,4;17,4;31,5;24,7;20,4;66,2;38;10,2;2,5;
2008-09-14;0;947,6;16,1;30,6;24,1;18,9;62,1;43;6,2;1,7;
2008-09-15;0;947,7;15,6;33,4;25,9;19,9;55,5;30;8,5;2;
2008-09-16;0;948,6;11;32;25,5;20,3;41,9;25;10,2;2,6;
2008-09-17;0;947,7;10,1;33;25,8;19,4;38,4;25;6,7;1,7;
2008-09-18;0;945,5;11,5;34,3;27,4;21,8;37,9;27;12,1;1,8;
2008-09-19;0;944,9;15,3;34,6;27,2;20,6;50,5;28;7;1,2;
2008-09-20;3,2;947,3;18,9;29,2;23;21,1;79,4;44;8,4;2,1;
2008-09-21;62;950,8;16,8;19,6;17,9;16,7;93,8;84;10,3;2,2;
2008-09-22;,2;950,1;13,3;27,5;20,8;16,9;64,8;34;7,2;2;
2008-09-23;0;947;11;31,4;24,2;18;45,1;27;6,2;1,8;
2008-09-24;0;945,4;12,6;33,4;27;20,8;43,1;26;5,9;1,5;
2008-09-25;0;945,8;12,4;35,5;28,5;22,8;40;21;8,3;1,8;
2008-09-26;0;946,1;15,4;33,8;26,8;20,5;52,3;27;5,6;1,3;
