Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Pane
Data Inicial: 2019-03-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-03-28;null;null;null;null;null;null;null;null;null;null;
2019-03-29;null;null;null;null;null;null;null;null;null;null;
2019-03-30;null;null;null;null;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;null;null;null;null;
2019-04-01;null;null;null;null;null;null;null;null;null;null;
2019-04-02;null;null;null;null;null;null;null;null;null;null;
2019-04-03;null;null;null;null;null;null;null;null;null;null;
2019-04-04;null;null;null;null;null;null;null;null;null;null;
2019-04-05;null;null;null;29,6;null;null;null;null;8,7;null;
2019-04-06;3,2;962,4;null;28,2;24,2;21,8;null;null;6,6;1,8;
2019-04-07;0;962,7;null;30,6;25,8;23;null;60;13,9;1,8;
2019-04-08;,4;962,4;21,8;31,2;25,2;21,6;86,7;54;5,3;1,5;
2019-04-09;0;961,3;null;30,9;25,5;23,4;null;null;5,7;2,1;
2019-04-10;3,6;961,5;null;27;22,8;23,4;null;95;12,5;3,5;
2019-04-11;62,8;962,4;21,1;29,1;23,4;20,4;87,7;65;5,8;1,9;
2019-04-12;0;961,4;null;31,6;26,6;22,5;null;64;5,8;1,7;
2019-04-13;0;961,1;null;29,9;25,5;23,4;null;null;10,6;2,3;
2019-04-14;2,4;961,5;null;30,1;25,1;21,8;null;null;7,9;2,1;
2019-04-15;0;961,6;null;29,8;25;22,8;null;null;7,2;2,7;
2019-04-16;3;962,2;null;30,7;25,3;21,9;null;null;7;2,1;
2019-04-17;1,4;961,1;null;31,3;25,6;21,7;null;null;9;2,6;
2019-04-18;0;960,6;null;32,4;27,2;22,1;null;null;5,5;1,6;
2019-04-19;0;960,9;null;32,7;26,9;23,4;null;null;5,8;1,5;
2019-04-20;,2;961,4;null;32,8;26,9;22,4;null;null;4,8;1,9;
2019-04-21;28,4;961,4;null;30,1;24,6;20;null;null;14,2;2,9;
2019-04-22;,2;960,5;null;31,2;26,8;22,4;null;null;5,8;1,6;
2019-04-23;0;962;null;28,3;24,3;22,3;null;null;15,1;2,9;
2019-04-24;7,4;963;null;26,6;23,1;21,1;null;null;12,1;3,2;
2019-04-25;2,2;962,6;null;30,8;25,9;21;null;null;8,5;3,6;
2019-04-26;0;962,6;null;31,1;26,8;23,1;null;null;8,6;3,3;
2019-04-27;0;962;null;31,6;27,2;23,5;null;null;7,9;3,1;
2019-04-28;0;961,3;null;32,2;28;24,9;null;null;6,7;1,7;
2019-04-29;0;960,7;null;33;28,6;24,2;null;null;4,6;1,1;
2019-04-30;0;961,3;null;32,1;27,4;25,1;null;null;9,6;1,2;
2019-05-01;16,4;961,6;null;30,7;25,6;22,8;null;null;7,9;2,4;
2019-05-02;,2;961,4;null;31,4;25,5;21,8;null;null;7,1;2,4;
2019-05-03;0;961,4;null;29,8;25,4;24;null;null;12,6;2,3;
