Nome: ROSARIO OESTE
Codigo Estacao: A944
Latitude: -14.82888888
Longitude: -56.44194444
Altitude: 195
Situacao: Operante
Data Inicial: 2019-05-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-05-29;null;null;null;null;null;null;null;null;null;null;
2019-05-30;null;null;null;null;null;null;null;33;4,6;null;
2019-05-31;null;988,9;19,3;34;23,9;16,9;79,7;40;6,7;,7;
2019-06-01;0;988,8;20,5;35,3;24,4;17,9;82,1;35;4,2;,7;
2019-06-02;0;990,1;20,6;33,2;24,6;18,2;81,7;42;5,6;,7;
2019-06-03;0;995,3;19,8;26,1;23;20,5;82,6;67;7,5;2,1;
2019-06-04;0;996,4;18,8;23,8;21,1;19,9;87,4;73;6,6;1,5;
2019-06-05;0;994,2;18,9;29,9;22,4;18;82,7;52;5;1,1;
2019-06-06;0;991,8;18,2;32,1;22,3;15,9;81,4;39;5,8;,8;
2019-06-07;0;991,2;19,7;29,2;22,4;18;86,5;58;4,6;,7;
2019-06-08;0;992,3;null;32,6;23,1;16,6;90,5;23;5,6;,8;
2019-06-09;0;992,7;null;32,3;22,2;15,8;null;null;4,1;,6;
2019-06-10;0;991,6;null;33,6;22,5;15,8;null;null;5,4;,8;
2019-06-11;0;991,5;null;33,4;23,7;17,3;null;null;5,5;,9;
2019-06-12;0;991,6;null;33,4;23,2;17;null;null;6,3;1;
2019-06-13;0;992;null;33,3;22,5;15,9;null;null;5,5;,8;
2019-06-14;0;992;null;33,6;23,5;16,8;null;null;5,9;,9;
2019-06-15;0;991,7;null;33,9;24,1;17;null;null;6,3;,8;
2019-06-16;0;993,4;null;33,5;23,4;17,1;null;null;6,5;1;
2019-06-17;0;993,5;null;33,2;22,8;15,6;null;null;6,4;,9;
2019-06-18;0;992,1;null;33,6;21,7;13,8;null;null;6,6;,9;
2019-06-19;0;993,6;null;33;22,1;14,8;null;null;3,7;,7;
2019-06-20;0;994,8;null;30,8;21,6;15,8;null;null;5,5;1,1;
2019-06-21;0;994,6;null;33,2;22,9;16;null;null;5,3;,9;
2019-06-22;0;995,4;null;33,4;22,2;14,2;null;null;6,8;,9;
2019-06-23;0;994,4;null;32,5;21,1;13;null;null;5,6;,9;
2019-06-24;0;991;null;32,7;21;12,7;null;null;8,1;1;
2019-06-25;0;988,9;null;33,1;22,2;13;null;null;10,5;1,4;
2019-06-26;0;990,5;null;29,4;21,4;15,1;null;null;5,9;1,2;
2019-06-27;0;990,7;null;34,5;22,9;15,9;null;null;6,1;1,1;
2019-06-28;0;990,2;null;34,8;22,9;14,3;null;null;7,3;1;
2019-06-29;0;990;null;34,4;22,9;15;null;null;6,5;1;
2019-06-30;0;990,7;null;34,4;23,1;15,4;null;null;6,6;,9;
2019-07-01;0;991,2;null;34,2;22,8;14,9;null;null;6,1;1;
2019-07-02;0;987,7;null;34,6;22,8;14,6;null;null;7,7;1,1;
2019-07-03;0;987;null;34,5;25,4;16,4;null;null;8,5;1,4;
2019-07-04;0;988,2;null;34,8;25,3;16,9;null;null;7,9;1,2;
2019-07-05;2,4;995,1;null;26,4;21,2;21,5;null;null;7,9;2,2;
2019-07-06;,4;999,1;null;23,6;18,1;13,5;null;null;11,4;2,6;
2019-07-07;0;997,6;null;25,7;16,3;9,5;null;null;7;1,7;
2019-07-08;0;995,6;null;30,9;17,7;8,5;null;null;3,9;,7;
2019-07-09;0;994,6;null;33,6;19,9;10,6;null;null;4,5;,8;
2019-07-10;0;993,3;null;34,4;21,7;14,1;null;null;5,5;,9;
2019-07-11;0;991;null;33,7;22,1;14;null;null;8,5;1;
2019-07-12;0;990,7;null;34,1;21,1;11,9;null;null;6,1;,9;
2019-07-13;0;991;null;34,4;22,2;14,3;null;null;4,8;,8;
2019-07-14;0;990,1;null;35,3;22,8;14,8;null;null;5,6;,8;
2019-07-15;0;990;null;36;23,2;14,8;null;null;6,3;,8;
2019-07-16;0;992;null;32,3;23,3;16,9;null;null;6,8;1,2;
2019-07-17;0;993,4;null;33,8;24,2;18,1;null;null;5,9;1,1;
2019-07-18;0;992,3;null;35,7;24,4;17,1;null;null;6,2;1;
2019-07-19;0;992,2;null;35,8;23,4;15,3;null;null;5,2;,9;
2019-07-20;0;991,2;null;34,7;23;15,3;null;null;7,9;1;
2019-07-21;0;990,5;null;33,1;22,4;14,4;null;null;8,9;1,2;
2019-07-22;0;991,1;null;34,5;23,1;14,8;null;null;8,2;1,1;
2019-07-23;0;992;null;34,5;22,5;13,8;null;null;6,9;,9;
2019-07-24;0;992,4;null;34,1;23;13,5;null;null;8,3;1,1;
2019-07-25;0;995,6;null;26,5;18,5;15,2;null;null;8,2;2,5;
2019-07-26;0;996,9;null;25,5;17,8;13,7;null;null;9,6;2,2;
2019-07-27;0;997,1;null;28,6;20,2;13,9;null;null;7,7;1,9;
2019-07-28;0;994,3;null;32,5;22;15,3;null;null;5;1;
2019-07-29;0;991,8;null;33,9;21,3;11,8;null;null;6,9;1;
2019-07-30;0;992,3;null;34,7;21,9;12,7;null;null;3,9;,7;
2019-07-31;0;991,2;null;35,5;22,9;14,2;null;null;5,1;,8;
2019-08-01;0;988,3;null;37;23,9;13,8;null;null;10,5;1,3;
2019-08-02;0;991,7;null;35,2;23,7;16;null;null;11,6;1,7;
2019-08-03;0;999,7;null;23;17,5;12,5;null;null;13,8;3,4;
2019-08-04;0;998,7;null;25,3;17,4;11,3;null;null;9,5;2,5;
2019-08-05;0;996,6;null;30,4;18,6;8,9;null;null;7,6;1,2;
2019-08-06;0;994,1;null;35;22,7;13,4;null;null;6,5;,9;
2019-08-07;0;993,7;null;36,4;24,3;15,4;null;null;11,4;1,3;
2019-08-08;0;994,4;null;36,3;23,6;13,6;null;null;7,7;,9;
2019-08-09;0;993;null;36;23;13,1;null;null;9,7;1,2;
2019-08-10;0;993,4;null;35,3;22,5;12,1;null;null;6,8;1,1;
2019-08-11;0;992,5;null;37,4;24,2;14;null;null;8,5;1;
2019-08-12;null;null;null;null;null;null;null;null;7;null;
2019-08-13;0;992,4;null;34,9;24,6;16;null;null;10,6;1,7;
