Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2016-05-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-31;null;null;null;null;null;null;null;null;null;null;
2016-06-01;null;null;null;null;null;null;null;80;10,2;null;
2016-06-02;null;905,8;11,9;18,4;14,2;10,9;87,1;57;8,8;1,3;
2016-06-03;0;906,5;11,2;17,8;13,2;11,1;88,6;62;4,1;,9;
2016-06-04;0;907,1;12;18,1;13,4;11,3;91,8;65;6,7;1,5;
2016-06-05;,8;906,5;12,4;15,1;12,9;11,4;97;91;5,4;1,3;
2016-06-06;12;906,5;11,6;14,6;12,1;10,5;96,8;90;5,4;1,4;
2016-06-07;,6;909,6;9;15,5;11,1;9,1;87,6;60;6;,9;
2016-06-08;0;912,6;2,2;15,6;7,2;,1;75,3;31;10,3;1,2;
2016-06-09;0;914,3;-,4;14,3;5,6;-,6;72,4;18;5;,8;
2016-06-10;0;913,2;,1;15,3;6;-1,1;71;26;7,8;1,2;
2016-06-11;0;915;-1,6;11,6;4,8;-1;68,4;28;7;1,1;
2016-06-12;0;917,6;-2,5;13,8;4;-2,9;69,5;26;6,7;1,1;
2016-06-13;0;919,6;,2;15,5;4,6;-3,1;77,8;28;9,9;1;
2016-06-14;0;919,2;5,9;16,6;9;2,8;83,1;52;7,6;1,3;
2016-06-15;0;917,4;8,3;21,2;11,5;5,6;83,6;43;6,6;1;
2016-06-16;0;915,1;9,7;23,6;14,5;6,6;79,7;33;5,9;,8;
2016-06-17;0;912,6;12,3;23,2;16,4;9,4;83,1;49;9,6;1,5;
2016-06-18;0;914;12,2;17,2;12,6;11,2;97,2;78;5,2;1,4;
2016-06-19;22,8;914,6;11,9;17,5;12,6;10,2;95,5;78;4,3;1,1;
2016-06-20;2;915,5;8,2;13;8,6;8,6;97,6;94;5;1,4;
2016-06-21;29,8;917,5;7,4;11,1;8;5,9;95,8;90;6,7;1,3;
2016-06-22;22,2;915,5;10,1;12,8;10,6;7,9;96,8;91;7,4;1,1;
2016-06-23;5;914,1;9,1;15,8;10,5;6,4;91,9;65;5,8;,8;
2016-06-24;0;915,9;8,9;16,1;10,4;7,4;90,8;66;5,3;1,3;
2016-06-25;0;917,9;9,6;17,8;11,7;8,5;87,5;58;6,3;1,3;
2016-06-26;0;918,4;10,8;13,7;12;10,2;92,9;86;5,3;1;
2016-06-27;0;918,7;8,4;19;12,6;9,9;78,6;31;5,2;1,1;
2016-06-28;0;917,5;7,2;19,5;10,5;3,3;82,3;50;7,6;1;
2016-06-29;0;916,3;8,5;20,9;12,2;5,8;82,4;47;6,5;1;
2016-06-30;0;917;10,7;20,2;13,6;7,6;84,5;56;5,3;,8;
